measured_on,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2020-01-01,1844.513,21627.0,120023.0
2020-02-01,1665.457,19528.0,108372.0
2020-03-01,1562.168,18317.0,101652.0
2020-04-01,1524.713,17877.0,99214.0
2020-05-01,1578.013,18502.0,102682.0
2020-06-01,1814.994,21281.0,118102.0
2020-07-01,1946.867,22827.0,126683.0
2020-08-01,1725.542,20232.0,112283.0
2020-09-01,1431.975,16790.0,93180.0
2020-10-01,1447.992,16978.0,94222.0
2020-11-01,1191.437,13970.0,77528.0
2020-12-01,1680.879,19708.0,109376.0
2021-01-01,1811.997,21246.0,120588.0
2021-02-01,1587.454,18613.0,105644.0
2021-03-01,1301.536,15261.0,86616.0
2021-04-01,1427.581,16739.0,95005.0
2021-05-01,1492.013,17494.0,99293.0
2021-06-01,1723.252,20205.0,114682.0
2021-07-01,1855.713,21758.0,123497.0
2021-08-01,2064.579,24207.0,137396.0
2021-09-01,1561.425,18308.0,103912.0
2021-10-01,1818.553,21323.0,121024.0
2021-11-01,1849.504,21686.0,123084.0
2021-12-01,1945.263,22808.0,129456.0
2022-01-01,1804.892,21163.0,116791.0
2022-02-01,1577.22,18493.0,102059.0
2022-03-01,1415.003,16591.0,91563.0
2022-04-01,1587.751,18617.0,102741.0
2022-05-01,1602.438,18789.0,103691.0
2022-06-01,1713.248,20088.0,110862.0
2022-07-01,1795.031,21047.0,116153.0
2022-08-01,1735.746,20352.0,112318.0
2022-09-01,1423.279,16688.0,92098.0
2022-10-01,1840.88,21584.0,119121.0
2022-11-01,1641.114,19242.0,106194.0
2022-12-01,1841.518,21592.0,119162.0
2023-01-01,1676.129,19653.0,116492.0
2023-02-01,1577.761,18499.0,109657.0
2023-03-01,1667.664,19554.0,115905.0
2023-04-01,1294.589,15179.0,89976.0
2023-05-01,1475.772,17304.0,102568.0
2023-06-01,1938.823,22733.0,134750.0
2023-07-01,1959.993,22981.0,136221.0
2023-08-01,1686.826,19778.0,117236.0
2023-09-01,1506.013,17658.0,104670.0
2023-10-01,1420.489,16655.0,98725.0
2023-11-01,1518.126,17800.0,105511.0
2023-12-01,1665.205,19525.0,115733.0
2024-01-01,1440.952,16895.0,115465.0
2024-02-01,1425.417,16713.0,114218.0
2024-03-01,1435.719,16834.0,115044.0
2024-04-01,1194.136,14001.0,95686.0
2024-05-01,1395.724,16365.0,111838.0
2024-06-01,1467.697,17209.0,117606.0
2024-07-01,1716.65,20128.0,137555.0
2024-08-01,1639.454,19223.0,131369.0
2024-09-01,1307.22,15327.0,104747.0
2024-10-01,1616.856,18958.0,129558.0
2024-11-01,1317.584,15449.0,105578.0
2024-12-01,1496.771,17550.0,119936.0
