measured_on,"Municiapl Landfill Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Municiapl Landfill Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Municiapl Landfill Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2003-01-01,2285.598,28169.0,28169.0,,,
2003-02-01,2108.795,25990.0,25990.0,,,
2003-03-01,2324.692,28651.0,28651.0,,,
2003-04-01,2198.428,27094.0,27094.0,,,
2003-05-01,2517.1620000000003,31023.0,31023.0,,,
2003-06-01,2622.632,32323.0,32323.0,,,
2003-07-01,3367.221,41499.0,41499.0,,,
2003-08-01,3163.386,38987.0,38987.0,,,
2003-09-01,2890.735,35627.0,35627.0,,,
2003-10-01,2720.4370000000004,33528.0,33528.0,,,
2003-11-01,2302.849,28381.0,28381.0,,,
2003-12-01,2445.063,30134.0,30134.0,,,
2004-01-01,2488.628,30890.0,30890.0,,,
2004-02-01,2488.628,30890.0,30890.0,,,
2004-03-01,2488.628,30890.0,30890.0,,,
2004-04-01,2488.628,30890.0,30890.0,,,
2004-05-01,2488.628,30890.0,30890.0,,,
2004-06-01,2488.628,30890.0,30890.0,,,
2004-07-01,2488.628,30890.0,30890.0,,,
2004-08-01,2488.628,30890.0,30890.0,,,
2004-09-01,2488.628,30890.0,30890.0,,,
2004-10-01,2488.628,30890.0,30890.0,,,
2004-11-01,2488.628,30890.0,30890.0,,,
2004-12-01,2488.628,30890.0,30890.0,,,
2005-01-01,2724.473,56463.35,56463.35,,,
2005-02-01,2323.6040000000003,48155.55,48155.55,,,
2005-03-01,2595.825,53797.19,53797.19,,,
2005-04-01,2396.7270000000003,49670.98,49670.98,,,
2005-05-01,2625.998,54422.52,54422.52,,,
2005-06-01,2546.255,52769.87,52769.87,,,
2005-07-01,2735.588,56693.7,56693.7,,,
2005-08-01,2635.121,54611.58,54611.58,,,
2005-09-01,2508.8140000000003,51993.94,51993.94,,,
2005-10-01,2165.0840000000003,44870.3,44870.3,,,
2005-11-01,2410.813,49962.91,49962.91,,,
2005-12-01,2697.697,55908.44,55908.44,,,
2006-01-01,2643.9410000000003,55707.0,55707.0,,,
2006-02-01,2443.4030000000002,51482.0,51482.0,,,
2006-03-01,2695.2380000000003,56788.0,56788.0,,,
2006-04-01,1983.0430000000001,41782.0,41782.0,,,
2006-05-01,2424.4390000000003,51082.0,51082.0,,,
2006-06-01,2539.695,53511.0,53511.0,,,
2006-07-01,2635.782,55535.0,55535.0,,,
2006-08-01,2619.931,55201.0,55201.0,,,
2006-09-01,2506.0260000000003,52801.0,52801.0,,,
2006-10-01,2600.437,54790.0,54790.0,,,
2006-11-01,2626.409,55338.0,55338.0,,,
2006-12-01,2530.656,53320.0,53320.0,,,
2007-01-01,2502.5170000000003,37002.0,37002.0,,,
2007-02-01,2286.002,33800.0,33800.0,,,
2007-03-01,2468.761,36502.0,36502.0,,,
2007-04-01,2311.41,34176.0,34176.0,,,
2007-05-01,2297.608,33972.0,33972.0,,,
2007-06-01,2432.76,35970.0,35970.0,,,
2007-07-01,2485.1730000000002,36745.0,36745.0,,,
2007-08-01,2495.2740000000003,36895.0,36895.0,,,
2007-09-01,2405.268,35564.0,35564.0,,,
2007-10-01,2130.246,31497.0,31497.0,,,
2007-11-01,2451.154,36242.0,36242.0,,,
2007-12-01,2485.825,36755.0,36755.0,,,
2008-01-01,2357.1130000000003,37271.0,37271.0,,,
2008-02-01,2448.7470000000003,38721.0,38721.0,,,
2008-03-01,2648.0550000000003,41873.0,41873.0,,,
2008-04-01,2533.118,40055.0,40055.0,,,
