measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2003-01-01,153.0,2743.0,2743.0,796.0,14432.0,14432.0
2003-02-01,288.0,5371.0,5371.0,1234.0,23116.0,23116.0
2003-03-01,0.0,0.0,0.0,206.0,3905.0,3905.0
2003-04-01,-16.0,0.0,0.0,0.0,0.0,0.0
2003-05-01,0.0,0.0,0.0,2.0,33.0,33.0
2003-06-01,-12.0,0.0,0.0,0.0,0.0,0.0
2003-07-01,0.0,0.0,0.0,250.0,3150.0,3150.0
2003-08-01,0.0,0.0,0.0,649.0,8176.0,8176.0
2003-09-01,0.0,0.0,0.0,849.0,14592.0,14592.0
2003-10-01,-19.0,0.0,0.0,0.0,0.0,0.0
2003-11-01,0.0,0.0,0.0,570.0,10567.0,10567.0
2003-12-01,0.0,0.0,0.0,18.0,427.0,427.0
2004-01-01,31.746000000000002,1066.0,1066.0,1067.866,26589.0,26589.0
2004-02-01,1.231,41.0,41.0,443.684,11047.0,11047.0
2004-03-01,1.867,63.0,63.0,865.175,21542.0,21542.0
2004-04-01,0.8180000000000001,27.0,27.0,323.81800000000004,8063.0,8063.0
2004-05-01,2.999,101.0,101.0,539.982,13445.0,13445.0
2004-06-01,6.572,221.0,221.0,517.294,12880.0,12880.0
2004-07-01,5.24,176.0,176.0,828.415,20627.0,20627.0
2004-08-01,1.085,36.0,36.0,221.74900000000002,5521.0,5521.0
2004-09-01,2.362,79.0,79.0,400.75300000000004,9978.0,9978.0
2004-10-01,0.382,13.0,13.0,79.60900000000001,1982.0,1982.0
2004-11-01,3.565,120.0,120.0,241.8,6021.0,6021.0
2004-12-01,2.133,72.0,72.0,317.855,7914.0,7914.0
2005-01-01,10.721,430.45,430.45,13.78,663.36,663.36
2005-02-01,3.6830000000000003,147.89,147.89,11.024000000000001,530.69,530.69
2005-03-01,4.082,163.92,163.92,15.298,736.44,736.44
2005-04-01,4.945,198.55,198.55,14.521,699.07,699.07
2005-05-01,4.593,184.4,184.4,13.886000000000001,668.47,668.47
2005-06-01,5.961,239.34,239.34,26.213,1261.89,1261.89
2005-07-01,6.067,243.61,243.61,34.508,1661.22,1661.22
2005-08-01,7.128,286.19,286.19,34.28,1650.25,1650.25
2005-09-01,4.666,187.34,187.34,20.754,999.12,999.12
2005-10-01,5.181,208.05,208.05,14.716000000000001,708.44,708.44
2005-11-01,4.165,167.25,167.25,12.897,620.89,620.89
2005-12-01,8.808,353.65,353.65,16.123,776.17,776.17
2006-01-01,0.235,6.0,6.0,122.30300000000001,2261.0,2261.0
2006-02-01,0.12300000000000001,3.0,3.0,138.25300000000001,2555.0,2555.0
2006-03-01,0.10300000000000001,2.0,2.0,182.184,3367.0,3367.0
2006-04-01,0.198,5.0,5.0,150.763,2787.0,2787.0
2006-05-01,0.185,4.0,4.0,198.59400000000002,3671.0,3671.0
2006-06-01,0.168,4.0,4.0,255.812,4728.0,4728.0
2006-07-01,0.24400000000000002,6.0,6.0,457.766,8461.0,8461.0
2006-08-01,0.23600000000000002,6.0,6.0,406.766,7518.0,7518.0
2006-09-01,0.109,3.0,3.0,239.268,4422.0,4422.0
2006-10-01,0.115,3.0,3.0,259.175,4790.0,4790.0
2006-11-01,0.135,3.0,3.0,174.241,3220.0,3220.0
2006-12-01,0.15,4.0,4.0,176.876,3269.0,3269.0
2007-01-01,0.0,0.0,0.0,64.504,1578.0,1578.0
2007-02-01,0.0,0.0,0.0,96.52,2362.0,2362.0
2007-03-01,0.0,0.0,0.0,72.725,1780.0,1780.0
2007-04-01,0.0,0.0,0.0,58.376000000000005,1428.0,1428.0
2007-05-01,0.0,0.0,0.0,49.644000000000005,1215.0,1215.0
2007-06-01,0.0,0.0,0.0,69.31,1696.0,1696.0
2007-07-01,0.0,0.0,0.0,77.186,1889.0,1889.0
2007-08-01,0.0,0.0,0.0,111.836,2737.0,2737.0
2007-09-01,0.0,0.0,0.0,43.205,1057.0,1057.0
2007-10-01,0.0,0.0,0.0,63.286,1549.0,1549.0
2007-11-01,0.0,0.0,0.0,40.946000000000005,1002.0,1002.0
2007-12-01,0.0,0.0,0.0,55.463,1357.0,1357.0
2008-01-01,0.056,6.0,6.0,3.6430000000000002,543.0,543.0
2008-02-01,0.054,6.0,6.0,4.024,600.0,600.0
2008-03-01,0.033,6.0,6.0,3.8280000000000003,570.0,570.0
2008-04-01,0.035,6.0,6.0,1.8470000000000002,275.0,275.0
2008-05-01,0.019,0.0,0.0,1.199,179.0,179.0
2008-06-01,0.06,17.0,17.0,2.073,309.0,309.0
2008-07-01,0.032,6.0,6.0,4.015000000000001,598.0,598.0
2008-08-01,0.016,0.0,0.0,3.4570000000000003,515.0,515.0
2008-09-01,0.022000000000000002,6.0,6.0,2.1,313.0,313.0
2008-10-01,0.01,0.0,0.0,3.637,542.0,542.0
2008-11-01,0.014,0.0,0.0,1.435,214.0,214.0
2008-12-01,0.04,6.0,6.0,2.351,350.0,350.0
2009-01-01,0.025,6.0,6.0,3.0380000000000003,725.0,725.0
2009-02-01,0.024,6.0,6.0,2.307,551.0,551.0
2009-03-01,0.027,6.0,6.0,2.2390000000000003,534.0,534.0
2009-04-01,0.02,6.0,6.0,2.7510000000000003,656.0,656.0
2009-05-01,0.039,6.0,6.0,1.4260000000000002,340.0,340.0
2009-06-01,0.028,6.0,6.0,2.478,591.0,591.0
2009-07-01,0.021,6.0,6.0,1.3030000000000002,311.0,311.0
2009-08-01,0.028,6.0,6.0,2.7710000000000004,661.0,661.0
2009-09-01,0.012,6.0,6.0,2.423,578.0,578.0
2009-10-01,0.017,6.0,6.0,1.8230000000000002,435.0,435.0
2009-11-01,0.02,6.0,6.0,1.7770000000000001,424.0,424.0
2009-12-01,0.027,6.0,6.0,2.3760000000000003,567.0,567.0
2010-01-01,-1.324,11.0,11.0,-16.524,166.0,166.0
2010-02-01,-0.8490000000000001,6.0,6.0,-14.142000000000001,142.0,142.0
2010-03-01,-0.513,6.0,6.0,-10.019,101.0,101.0
2010-04-01,-0.459,6.0,6.0,-5.065,50.0,50.0
2010-05-01,-0.5630000000000001,6.0,6.0,-8.553,85.0,85.0
2010-06-01,-0.404,6.0,6.0,-13.212000000000002,132.0,132.0
2010-07-01,-0.611,6.0,6.0,-23.546,235.0,235.0
2010-08-01,-1.71,17.0,17.0,-23.492,235.0,235.0
2010-09-01,-1.5050000000000001,17.0,17.0,-6.9,69.0,69.0
2010-10-01,-0.76,6.0,6.0,-5.4510000000000005,54.0,54.0
2010-11-01,-0.47100000000000003,6.0,6.0,-4.428,44.0,44.0
2010-12-01,-1.1280000000000001,11.0,11.0,-6.371,63.0,63.0
2011-01-01,0.602,34.0,34.0,18.843,913.0,913.0
2011-02-01,0.924,46.0,46.0,19.28,935.0,935.0
2011-03-01,1.089,51.0,51.0,27.366,1327.0,1327.0
2011-04-01,1.799,86.0,86.0,17.45,846.0,846.0
2011-05-01,1.328,63.0,63.0,28.876,1400.0,1400.0
2011-06-01,1.841,92.0,92.0,23.022,1116.0,1116.0
2011-07-01,2.429,120.0,120.0,52.203,2531.0,2531.0
2011-08-01,1.92,92.0,92.0,36.74,1781.0,1781.0
2011-09-01,0.819,40.0,40.0,10.176,493.0,493.0
2011-10-01,0.524,23.0,23.0,22.881,1110.0,1110.0
2011-11-01,1.335,63.0,63.0,25.848,1253.0,1253.0
2011-12-01,1.91,92.0,92.0,30.795,1492.0,1492.0
2012-01-01,0.609,11.0,11.0,105.158,2297.0,2297.0
2012-02-01,0.57,11.0,11.0,142.224,3107.0,3107.0
2012-03-01,0.377,6.0,6.0,113.643,2483.0,2483.0
2012-04-01,0.235,6.0,6.0,119.456,2610.0,2610.0
2012-05-01,0.719,17.0,17.0,172.87,3777.0,3777.0
2012-06-01,0.859,17.0,17.0,176.494,3856.0,3856.0
2012-07-01,2.669,57.0,57.0,250.606,5476.0,5476.0
2012-08-01,0.441,11.0,11.0,141.949,3101.0,3101.0
2012-09-01,0.965,23.0,23.0,73.709,1611.0,1611.0
2012-10-01,0.86,17.0,17.0,42.549,930.0,930.0
2012-11-01,1.495,34.0,34.0,88.625,1937.0,1937.0
2012-12-01,0.411,11.0,11.0,85.507,1868.0,1868.0
2013-01-01,0.0,0.0,0.0,176.305,5967.0,5967.0
2013-02-01,0.0,0.0,0.0,151.183,5116.0,5116.0
2013-03-01,0.0,0.0,0.0,191.521,6482.0,6482.0
2013-04-01,0.0,0.0,0.0,174.408,5902.0,5902.0
2013-05-01,0.0,0.0,0.0,109.813,3716.0,3716.0
2013-06-01,0.0,0.0,0.0,152.748,5170.0,5170.0
2013-07-01,0.0,0.0,0.0,229.183,7757.0,7757.0
2013-08-01,0.0,0.0,0.0,234.458,7935.0,7935.0
2013-09-01,0.0,0.0,0.0,150.292,5086.0,5086.0
2013-10-01,0.0,0.0,0.0,153.476,5194.0,5194.0
2013-11-01,0.0,0.0,0.0,134.069,4538.0,4538.0
2013-12-01,0.0,0.0,0.0,128.544,4351.0,4351.0
2014-01-01,0.0,0.0,0.0,65.257,1814.0,1814.0
2014-02-01,0.0,0.0,0.0,51.92,1442.0,1442.0
2014-03-01,0.0,0.0,0.0,45.332,1259.0,1259.0
2014-04-01,0.0,0.0,0.0,51.859,1440.0,1440.0
2014-05-01,0.0,0.0,0.0,78.115,2170.0,2170.0
2014-06-01,0.0,0.0,0.0,60.028,1667.0,1667.0
2014-07-01,0.0,0.0,0.0,59.428,1651.0,1651.0
2014-08-01,0.0,0.0,0.0,80.128,2226.0,2226.0
2014-09-01,0.0,0.0,0.0,56.081,1558.0,1558.0
2014-10-01,0.0,0.0,0.0,96.993,2694.0,2694.0
2014-11-01,0.0,0.0,0.0,73.026,2028.0,2028.0
2014-12-01,0.0,0.0,0.0,66.833,1856.0,1856.0
2015-01-01,0.0,0.0,0.0,39.438,1051.0,1051.0
2015-02-01,0.0,0.0,0.0,44.166,1177.0,1177.0
2015-03-01,0.0,0.0,0.0,44.831,1195.0,1195.0
2015-04-01,0.0,0.0,0.0,33.53,893.0,893.0
2015-05-01,0.0,0.0,0.0,36.085,961.0,961.0
2015-06-01,0.0,0.0,0.0,39.917,1064.0,1064.0
2015-07-01,0.0,0.0,0.0,52.97,1412.0,1412.0
2015-08-01,0.0,0.0,0.0,41.112,1095.0,1095.0
2015-09-01,0.0,0.0,0.0,42.413,1130.0,1130.0
2015-10-01,0.0,0.0,0.0,37.49,999.0,999.0
2015-11-01,0.0,0.0,0.0,37.509,1000.0,1000.0
2015-12-01,0.0,0.0,0.0,49.539,1320.0,1320.0
2016-01-01,0.0,0.0,0.0,118.236,2204.0,2204.0
2016-02-01,0.0,0.0,0.0,122.538,2285.0,2285.0
2016-03-01,0.0,0.0,0.0,158.886,2963.0,2963.0
2016-04-01,0.0,0.0,0.0,108.939,2031.0,2031.0
2016-05-01,0.0,0.0,0.0,107.509,2005.0,2005.0
2016-06-01,0.0,0.0,0.0,132.549,2471.0,2471.0
2016-07-01,0.0,0.0,0.0,149.404,2786.0,2786.0
2016-08-01,0.0,0.0,0.0,158.545,2957.0,2957.0
2016-09-01,0.0,0.0,0.0,88.533,1651.0,1651.0
2016-10-01,0.0,0.0,0.0,56.499,1053.0,1053.0
2016-11-01,0.0,0.0,0.0,74.819,1395.0,1395.0
2016-12-01,0.0,0.0,0.0,73.543,1371.0,1371.0
2017-01-01,0.0,0.0,0.0,-13.841,0.0,0.0
2017-02-01,0.0,0.0,0.0,-12.934,0.0,0.0
2017-03-01,0.0,0.0,0.0,-18.522,0.0,0.0
2017-04-01,0.0,0.0,0.0,-8.494,0.0,0.0
2017-05-01,0.0,0.0,0.0,-8.111,0.0,0.0
2017-06-01,0.0,0.0,0.0,-15.272,0.0,0.0
2017-07-01,0.0,0.0,0.0,-20.944,0.0,0.0
2017-08-01,0.0,0.0,0.0,-18.284,0.0,0.0
2017-09-01,0.0,0.0,0.0,-15.075,0.0,0.0
2017-10-01,0.0,0.0,0.0,-14.868,0.0,0.0
2017-11-01,0.0,0.0,0.0,-15.274,0.0,0.0
2017-12-01,0.0,0.0,0.0,-16.381,0.0,0.0
