measured_on,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2003-01-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2003-02-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2003-03-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2003-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2003-05-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2003-06-01,,,,1612.0,14283.0,109160.0,,,
2003-07-01,,,,4512.0,34715.0,115296.0,7825.0,124983.0,264744.0
2003-08-01,,,,4255.0,32337.0,103622.0,8437.0,149756.0,291078.0
2003-09-01,,,,4231.0,33114.0,103339.0,8220.0,131048.0,267498.0
2003-10-01,,,,4042.0,56685.0,123612.0,10726.0,150426.0,328028.0
2003-11-01,,,,494.0,3645.0,12002.0,14650.0,108072.0,355832.0
2003-12-01,,,,6018.0,26540.0,149165.0,8913.0,196454.0,378081.0
2004-01-01,,,,4582.0534,27689.71,154268.1,9340.375600000001,56444.63,314470.8
2004-02-01,,,,2819.80586,17040.31,96446.7,8268.77814,49968.88,282819.6
2004-03-01,,,,2857.33278,17267.09,98091.0,8090.08722,48889.04,277729.2
2004-04-01,,,,4083.9993000000004,24679.93,135185.4,4990.8357000000005,30160.01,165202.8
2004-05-01,,,,4131.96995,24969.82,135185.4,5049.45805,30514.28,165202.8
2004-06-01,,,,2983.52372,18029.67,88099.2,8080.09228,48828.64,238593.6
2004-07-01,,,,2918.82045,17638.66,90417.6,9054.20055,54715.25,280476.0
2004-08-01,,,,2723.42685,16457.88,90848.16,7750.56515,46837.28,258543.6
2004-09-01,,,,2799.75915,16919.17,88275.6,7393.82585,44681.47,233125.2
2004-10-01,,,,3643.42158,22017.48,104743.8,9633.68642,58217.13,276956.4
2004-11-01,,,,2670.26701,16136.64,94172.4,7906.47699,47779.47,278838.0
2004-12-01,,,,3114.95772,18823.94,115957.8,8463.37928,51144.87,315058.8
2005-01-01,,,,3497.72187,21137.01,124336.8,8842.13313,53433.71,314319.6
2005-02-01,,,,3406.17821,20583.8,123637.5,6892.07979,41649.38,250168.8
2005-03-01,,,,3854.88245,23295.36,138965.4,7345.09655,44387.0,264784.8
2005-04-01,,,,3809.63678,23021.94,157317.3,4394.20522,26554.53,181456.8
2005-05-01,,,,3086.55172,18652.28,121249.8,5689.63028,34382.88,223507.2
2005-06-01,,,,3196.95077,19319.43,111850.2,5068.35123,30628.45,177324.0
2005-07-01,,,,3415.50672,20640.18,117243.0,5125.40128,30973.21,175938.0
2005-08-01,,,,3026.21544,18287.66,93460.5,5720.19656,34567.6,176660.4
2005-09-01,,,,2726.86236,16478.64,90266.4,6081.00964,36748.02,201297.6
2005-10-01,,,,5755.62831,34781.72,165860.1,6333.58869,38274.38,182515.2
2005-11-01,,,,2994.12858,18093.76,112511.7,7177.36942,43373.41,269707.2
2005-12-01,,,,3178.48557,19207.84,123687.9,8332.63043,50354.74,324256.8
2006-01-01,,,,3233.5541000000003,19540.62,129112.2,8383.1949,50660.31,334731.6
2006-02-01,,,,2455.81504,14840.68,98034.3,7350.76896,44421.28,293437.2
2006-03-01,,,,2667.43923,16119.55,101348.1,7967.88377,48150.55,302736.0
2006-04-01,,,,3185.86445,19252.43,120506.4,6537.17355,39504.65,247270.8
2006-05-01,,,,2225.69442,13450.05,94827.6,5732.31158,34640.81,244230.0
2006-06-01,,,,2404.45329,14530.3,96648.3,6670.38171,40309.64,268119.6
2006-07-01,,,,2592.85452,15668.82,102482.1,6202.53348,37482.4,245154.0
2006-08-01,,,,2785.84937,16835.11,94833.9,7488.40063,45253.0,254914.8
2006-09-01,,,,5348.03287,32318.58,173231.1,4904.13013,29636.05,158852.4
2006-10-01,,,,3929.07905,23743.73,114080.33,7643.49695,46190.25,221928.0
2006-11-01,,,,3551.38296,21461.29,128967.3,8509.02404,51420.71,309002.4
2006-12-01,,,,4040.19031,24415.19,145454.4,9793.89169,59185.26,352598.4
2007-01-01,,,,4949.457,29912.0,158754.0,9811.314,59287.0,314698.0
2007-02-01,,,,4559.868,27556.0,149990.0,9097.519,54978.0,299250.0
2007-03-01,,,,3924.831,23720.0,143382.0,10248.237,61933.0,374388.0
2007-04-01,,,,3147.722,19020.0,124803.0,7705.589,46570.0,305516.0
2007-05-01,,,,1940.593,11724.0,103509.0,4527.028,27359.0,241466.0
2007-06-01,,,,1957.9470000000001,11831.0,95590.0,4715.178,28493.0,230202.0
2007-07-01,,,,2030.9640000000002,12272.0,98683.0,4058.2980000000002,24528.0,197190.0
2007-08-01,,,,2886.696,17445.0,105078.0,5844.352,35322.0,212738.0
2007-09-01,,,,5129.321,30996.0,181761.0,2942.9610000000002,17783.0,104286.0
2007-10-01,,,,3015.8940000000002,18226.0,103383.0,7488.828,45259.0,256712.0
2007-11-01,,,,3054.28,18459.0,112008.0,8164.905000000001,49342.0,299426.0
2007-12-01,,,,4397.5160000000005,26573.0,154300.0,9371.266,56633.0,328818.0
2008-01-01,,,,10863.873,65651.0,196245.0,,,
2008-02-01,,,,12262.071,74101.0,158508.0,,,
2008-03-01,,,,16203.142,97917.0,166937.0,,,
2008-04-01,,,,9411.9,56877.0,117193.0,,,
2008-05-01,,,,7843.731000000001,47400.0,95981.0,,,
2008-06-01,,,,7344.375,44383.0,52139.0,,,
2008-07-01,,,,3681.79,6206.0,6206.0,,,
2008-08-01,,,,4147.536,5777.0,5777.0,,,
2008-09-01,,,,4993.56,7277.0,7277.0,,,
2008-10-01,,,,3623.212,21895.0,74838.0,,,
2008-11-01,,,,3535.824,21367.0,28558.0,,,
2008-12-01,,,,7363.581,44499.0,97946.0,,,
2009-01-01,,,,6228.506,37639.0,133724.0,,,
2009-02-01,,,,1499.028,9059.0,38688.0,,,
2009-03-01,,,,1368.428,8270.0,67971.0,,,
2009-04-01,,,,211.26600000000002,1277.0,2117.0,,,
2009-05-01,,,,565.6170000000001,3418.0,9318.0,,,
2009-06-01,,,,944.935,5710.0,7043.0,,,
2009-07-01,,,,676.052,4085.0,4316.0,,,
2009-08-01,,,,651.0840000000001,3935.0,21351.0,,,
2009-09-01,,,,435.016,2629.0,8694.0,,,
2009-10-01,,,,919.9670000000001,2892.0,2892.0,,,
2009-11-01,,,,1342.499,2602.0,2602.0,,,
2009-12-01,,,,860.4290000000001,5200.0,9356.0,,,
2010-01-01,,,,616.513,3726.0,6552.0,,,
2010-02-01,,,,412.92900000000003,2495.0,5355.0,,,
2010-03-01,,,,581.942,3169.0,3169.0,,,
2010-04-01,,,,423.492,2559.0,45713.0,,,
2010-05-01,,,,756.716,4573.0,5519.0,,,
2010-06-01,,,,1647.875,9958.0,10055.0,,,
2010-07-01,,,,1619.066,9784.0,18509.0,,,
2010-08-01,,,,1596.019,5651.0,5651.0,,,
2010-09-01,,,,901.721,5449.0,14786.0,,,
2010-10-01,,,,1471.18,2640.0,2640.0,,,
2010-11-01,,,,1974.3770000000002,11931.0,18717.0,,,
2010-12-01,,,,2394.0280000000002,14467.0,23001.0,,,
2011-01-01,,,,21.678,131.0,4428.0,1266.084,7651.0,258624.0
2011-02-01,,,,14.298,86.0,5157.0,691.522,4179.0,249400.0
2011-03-01,,,,14.084,85.0,6179.0,626.436,3786.0,274832.0
2011-04-01,,,,0.0,0.0,256.0,0.0,0.0,0.0
2011-05-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2011-06-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-01,,,,267.599,1617.0,14678.0,1242.953,7511.0,68176.0
2011-11-01,,,,29.828,180.0,4307.0,1102.366,6662.0,159168.0
2011-12-01,,,,10.109,61.0,2083.0,881.049,5324.0,181560.0
2012-01-01,,,,11.521,70.0,2102.0,1080.34,6529.0,197128.0
2012-02-01,,,,19.578,118.0,2302.0,1353.652,8180.0,159184.0
2012-03-01,,,,11.467,69.0,1571.0,1252.288,7568.0,171560.0
2012-04-01,,,,20.225,122.0,1838.0,1739.045,10509.0,158040.0
2012-05-01,,,,8.548,52.0,1399.0,969.997,5862.0,158776.0
2012-06-01,,,,7.414,45.0,1482.0,721.453,4360.0,144192.0
2012-07-01,,,,36.615,221.0,5133.0,806.528,4874.0,113056.0
2012-08-01,,,,12.954,78.0,2550.0,647.733,3914.0,127520.0
2012-09-01,,,,13.601,82.0,2678.0,715.267,4322.0,140816.0
2012-10-01,,,,21.752,131.0,2417.0,1314.986,7947.0,146104.0
2012-11-01,,,,2.154,13.0,623.0,551.939,3335.0,159736.0
2012-12-01,,,,1.872,11.0,566.0,538.777,3256.0,162952.0
2013-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
