measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,138131.0,1635083.0,1635083.0,17940.0,212365.0,212365.0,0.0,0.0,0.0
2003-02-01,154354.0,1738329.0,1738329.0,16088.0,181179.0,181179.0,1072.0,12077.0,12077.0
2003-03-01,177511.0,1972504.0,1972504.0,21104.0,234503.0,234503.0,354.0,3938.0,3938.0
2003-04-01,118989.0,1323087.0,1323087.0,11299.0,125639.0,125639.0,367.0,4081.0,4081.0
2003-05-01,104087.0,1172866.0,1172866.0,14956.0,168530.0,168530.0,0.0,0.0,0.0
2003-06-01,124665.0,1484725.0,1484725.0,15684.0,186799.0,186799.0,0.0,0.0,0.0
2003-07-01,164055.0,1868684.0,1868684.0,17638.0,200913.0,200913.0,0.0,0.0,0.0
2003-08-01,164606.0,1840391.0,1840391.0,20065.0,224338.0,224338.0,0.0,0.0,0.0
2003-09-01,121320.0,1414477.0,1414477.0,17045.0,198730.0,198730.0,0.0,0.0,0.0
2003-10-01,156799.0,1747072.0,1747072.0,18686.0,208201.0,208201.0,0.0,0.0,0.0
2003-11-01,166245.0,1920396.0,1920396.0,17131.0,197892.0,197892.0,0.0,0.0,0.0
2003-12-01,145246.0,1732314.0,1732314.0,13917.0,165985.0,165985.0,0.0,0.0,0.0
2004-01-01,132597.0,1649287.0,1649287.0,12037.0,149723.0,149723.0,0.0,0.0,0.0
2004-02-01,192927.0,2177346.0,2177346.0,1062.0,11987.0,11987.0,0.0,0.0,0.0
2004-03-01,197721.0,2212154.0,2212154.0,4271.0,47787.0,47787.0,0.0,0.0,0.0
2004-04-01,121048.0,1359775.0,1359775.0,1189.0,13359.0,13359.0,0.0,0.0,0.0
2004-05-01,101864.0,1144860.0,1144860.0,2333.0,26222.0,26222.0,0.0,0.0,0.0
2004-06-01,148576.0,1673037.0,1673037.0,2115.0,23820.0,23820.0,323.0,3642.0,3642.0
2004-07-01,166163.0,1881963.0,1881963.0,1498.0,16970.0,16970.0,0.0,0.0,0.0
2004-08-01,170703.0,1930736.0,1930736.0,1549.0,17523.0,17523.0,0.0,0.0,0.0
