measured_on,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Generation,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Distillate Fuel Oil-Combined Cycle Steam Part Generation,Distillate Fuel Oil-Combined Cycle Steam Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Steam Part Total Fuel Consumed,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Kerosene-Combined Cycle Combustion Turbine Part Generation,Kerosene-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Kerosene-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Kerosene-Combined Cycle Steam Part Generation,Kerosene-Combined Cycle Steam Part Quantity Consumed For Electricity,Kerosene-Combined Cycle Steam Part Total Fuel Consumed,Kerosene-Combustion (Gas) Turbine (including jet engine design) Generation,Kerosene-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Kerosene-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Natural Gas-Combined Cycle Combustion Turbine Part Generation,Natural Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Natural Gas-Combined Cycle Steam Part Generation,Natural Gas-Combined Cycle Steam Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Steam Part Total Fuel Consumed,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Residual Fuel Oil-Combined Cycle Combustion Turbine Part Generation,Residual Fuel Oil-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Residual Fuel Oil-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Residual Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Residual Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Residual Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,2758.0,35496.0,35496.0,0.0,0.0,0.0,,,,,,,,,,,,,2671.0,34354.0,34354.0,,,,,,,-9.0,0.0,0.0,,,,,,,-32.0,0.0,0.0
2003-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,15689.0,215290.0,215290.0,3943.0,0.0,0.0,61.0,1026.0,1026.0,92.0,1249.0,1249.0,,,,,,,1831.0,24740.0,24740.0
2003-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,577.0,10155.0,10155.0,-225.0,0.0,0.0,23.0,499.0,499.0,-90.0,0.0,0.0,,,,,,,-91.0,0.0,0.0
2003-04-01,0.0,0.0,0.0,,,,6.0,128.0,128.0,,,,,,,,,,22415.0,221541.0,221541.0,0.0,0.0,0.0,110.0,2312.0,2312.0,-162.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2003-05-01,1890.0,18537.0,18537.0,,,,1.0,6.0,6.0,,,,,,,,,,16933.0,165634.0,165634.0,0.0,0.0,0.0,389.0,7513.0,7513.0,167.0,2406.0,2406.0,,,,,,,2900.0,41643.0,41643.0
2003-06-01,7044.0,69333.0,69333.0,,,,0.0,0.0,0.0,,,,,,,,,,10179.0,100086.0,100086.0,0.0,0.0,0.0,47.0,1000.0,1000.0,40.0,740.0,740.0,,,,,,,610.0,11246.0,11246.0
2003-07-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,27389.0,339260.0,339260.0,8263.0,0.0,0.0,109.0,2246.0,2246.0,57.0,943.0,943.0,,,,,,,930.0,15227.0,15227.0
2003-08-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,25492.0,316286.0,316286.0,7737.0,0.0,0.0,37.0,750.0,750.0,-81.0,0.0,0.0,,,,,,,-82.0,0.0,0.0
2003-09-01,0.0,0.0,0.0,,,,1.0,11.0,11.0,,,,,,,,,,29997.0,381072.0,381072.0,9411.0,0.0,0.0,145.0,2917.0,2917.0,,,,,,,,,,,,
2003-10-01,0.0,0.0,0.0,,,,1.0,6.0,6.0,,,,,,,,,,6429.0,82656.0,82656.0,1438.0,0.0,0.0,,,,-136.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2003-11-01,21.0,279.0,279.0,,,,-1.0,0.0,0.0,,,,,,,,,,11774.0,151780.0,151780.0,3088.0,0.0,0.0,-1.0,0.0,0.0,-73.0,0.0,0.0,,,,,,,-73.0,0.0,0.0
2003-12-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,4164.0,51410.0,51410.0,712.0,0.0,0.0,,,,-73.0,0.0,0.0,,,,,,,-73.0,0.0,0.0
2004-01-01,1587.0,20782.0,20782.0,398.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,1003.0,13194.0,13194.0,0.0,0.0,0.0,-1.0,72.0,72.0,-69.0,0.0,0.0,,,,,,,-68.0,0.0,0.0
2004-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,228.0,4550.0,4550.0,-281.0,0.0,0.0,0.0,0.0,0.0,-63.0,0.0,0.0,,,,,,,-64.0,0.0,0.0
2004-03-01,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,6.0,6.0,,,,,,,,,,-146.0,785.0,785.0,-319.0,0.0,0.0,-1.0,0.0,0.0,-70.0,0.0,0.0,,,,,,,-70.0,0.0,0.0
2004-04-01,0.0,0.0,0.0,-297.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,-140.0,0.0,0.0,0.0,0.0,0.0,18.0,394.0,394.0,-67.0,0.0,0.0,,,,,,,-67.0,0.0,0.0
2004-05-01,86.0,843.0,843.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,770.0,12725.0,12725.0,-227.0,0.0,0.0,-3.0,18.0,18.0,-70.0,0.0,0.0,,,,,,,-71.0,0.0,0.0
2004-06-01,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,12.0,12.0,,,,,,,,,,10870.0,139446.0,139446.0,2821.0,0.0,0.0,0.0,0.0,0.0,-68.0,0.0,0.0,,,,,,,-67.0,0.0,0.0
2004-07-01,1.0,17.0,17.0,0.0,0.0,0.0,-2.0,0.0,0.0,,,,,,,,,,6735.0,88240.0,88240.0,1514.0,0.0,0.0,-2.0,0.0,0.0,-68.0,0.0,0.0,,,,,,,-68.0,0.0,0.0
2004-08-01,16.0,197.0,197.0,0.0,0.0,0.0,1.0,29.0,29.0,,,,,,,,,,13303.0,172035.0,172035.0,3642.0,0.0,0.0,38.0,878.0,878.0,-63.0,0.0,0.0,,,,,,,-64.0,0.0,0.0
2004-09-01,787.0,10349.0,10349.0,0.0,0.0,0.0,1.0,35.0,35.0,,,,,,,,,,19136.0,251050.0,251050.0,6020.0,0.0,0.0,22.0,629.0,629.0,-70.0,0.0,0.0,,,,,,,-69.0,0.0,0.0
2004-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,21172.0,280033.0,280033.0,6112.0,0.0,0.0,8.0,226.0,226.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2004-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,4843.0,65878.0,65878.0,902.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2004-12-01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,12.0,,,,,,,,,,3639.0,47814.0,47814.0,312.0,0.0,0.0,12.0,128.0,128.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2005-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,1016.0,15847.63,15847.63,-264.0,0.0,0.0,-3.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0
2005-02-01,797.0,10579.64,10579.64,0.0,0.0,0.0,-1.0,0.0,0.0,,,,,,,,,,1038.0,13719.69,13719.69,157.0,0.0,0.0,-1.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0
2005-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,1661.0,23395.63,23395.63,-95.0,0.0,0.0,-3.0,0.0,0.0,,,,,,,,,,0.0,100.88,100.88
2005-04-01,0.0,0.0,0.0,-297.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,-140.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0
2005-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,11252.0,161408.38,161408.38,3296.0,0.0,0.0,8.0,170.01,170.01,,,,,,,,,,0.0,0.0,0.0
