measured_on,"Electricity used for energy storage - Energy Storage, Battery - Other - Generation","Electricity used for energy storage - Energy Storage, Battery - Other - Quantity Consumed For Electricity","Electricity used for energy storage - Energy Storage, Battery - Other - Total Fuel Consumed"
2022-03-01,-29.347,0.0,0.0
2022-04-01,-24.327,0.0,0.0
2022-05-01,-37.755,0.0,0.0
2022-06-01,-31.533,0.0,0.0
2022-07-01,-28.403,0.0,0.0
2022-08-01,-25.344,0.0,0.0
2022-09-01,-18.91,0.0,0.0
2022-10-01,-25.862,0.0,0.0
2022-11-01,-26.727,0.0,0.0
2022-12-01,-20.792,0.0,0.0
2023-01-01,-20.0,0.0,0.0
2023-02-01,-24.0,0.0,0.0
2023-03-01,-47.0,0.0,0.0
2023-04-01,-55.0,0.0,0.0
2023-05-01,-51.0,0.0,0.0
2023-06-01,-45.0,0.0,0.0
2023-07-01,-63.0,0.0,0.0
2023-08-01,-66.0,0.0,0.0
2023-09-01,-53.0,0.0,0.0
2023-10-01,-28.0,0.0,0.0
2023-11-01,-70.0,0.0,0.0
2023-12-01,-64.0,0.0,0.0
2024-01-01,-11.0,0.0,0.0
2024-02-01,-13.0,0.0,0.0
2024-03-01,-14.0,0.0,0.0
2024-04-01,-13.0,0.0,0.0
2024-05-01,-14.0,0.0,0.0
2024-06-01,-13.0,0.0,0.0
2024-07-01,-12.0,0.0,0.0
2024-08-01,-8.0,0.0,0.0
2024-09-01,-7.0,0.0,0.0
2024-10-01,-9.0,0.0,0.0
2024-11-01,-9.0,0.0,0.0
2024-12-01,-9.0,0.0,0.0
