measured_on,"Agricultural By-Products - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Generation","Agricultural By-Products - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Quantity Consumed For Electricity","Agricultural By-Products - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Total Fuel Consumed","Other Biomass Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Generation","Other Biomass Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Quantity Consumed For Electricity","Other Biomass Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Total Fuel Consumed","Other Biomass Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Generation","Other Biomass Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Quantity Consumed For Electricity","Other Biomass Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Total Fuel Consumed"
2004-01-01,,,,,,,2392.667,11441.74,201943.44
2004-02-01,,,,,,,2392.667,11441.74,201943.44
2004-03-01,,,,,,,2392.667,11441.74,201943.44
2004-04-01,,,,,,,2392.667,11441.74,201943.44
2004-05-01,,,,,,,2392.667,11441.74,201943.44
2004-06-01,,,,,,,2392.667,11441.74,201943.44
2004-07-01,,,,,,,2392.667,11441.74,201943.44
2004-08-01,,,,,,,2392.667,11441.74,201943.44
2004-09-01,,,,,,,2392.667,11441.74,201943.44
2004-10-01,,,,,,,2392.667,11441.74,201943.44
2004-11-01,,,,,,,2392.667,11441.74,201943.44
2004-12-01,,,,,,,2392.667,11441.74,201943.44
2005-01-01,2042.921,9769.25,189392.04,,,,,,
2005-02-01,1742.334,8331.84,161525.7,,,,,,
2005-03-01,1946.4560000000001,9307.95,180449.1,,,,,,
2005-04-01,1797.164,8594.04,166608.72,,,,,,
2005-05-01,1969.0810000000001,9416.15,182546.64,,,,,,
2005-06-01,1909.286,9130.21,177003.18,,,,,,
2005-07-01,2051.2560000000003,9809.11,190164.78,,,,,,
2005-08-01,1975.922,9448.86,183180.78,,,,,,
2005-09-01,1881.212,8995.96,174400.56,,,,,,
2005-10-01,1623.469,7763.43,150506.1,,,,,,
2005-11-01,1807.727,8644.55,167587.92,,,,,,
2005-12-01,2022.844,9673.24,187530.84,,,,,,
2006-01-01,2112.3920000000003,10101.46,73414.32,,,,,,
2006-02-01,1891.8760000000002,9046.95,65750.46,,,,,,
2006-03-01,1698.4830000000002,8122.15,59029.26,,,,,,
2006-04-01,1544.199,7384.36,53667.24,,,,,,
2006-05-01,1797.143,8593.94,62458.08,,,,,,
2006-06-01,1222.276,5844.93,42479.1,,,,,,
2006-07-01,1621.198,7752.57,56343.3,,,,,,
2006-08-01,1593.5240000000001,7620.24,55381.5,,,,,,
2006-09-01,1481.842,7086.17,51500.1,,,,,,
2006-10-01,1698.087,8120.25,59015.52,,,,,,
2006-11-01,1865.1560000000002,8919.17,64821.84,,,,,,
2006-12-01,1912.8490000000002,9147.24,66479.34,,,,,,
2007-01-01,255.0,4271.0,102138.0,,,,,,
2007-02-01,210.0,5084.0,122906.0,,,,,,
2007-03-01,351.0,5389.0,123465.0,,,,,,
2007-04-01,227.0,5402.0,97867.0,,,,,,
2007-05-01,501.0,4843.0,93469.0,,,,,,
2007-06-01,521.0,7385.0,126236.0,,,,,,
2007-07-01,185.0,6114.0,108747.0,,,,,,
2007-08-01,520.0,7054.0,115788.0,,,,,,
2007-09-01,1344.0,10600.0,150588.0,,,,,,
2007-10-01,450.0,6368.0,118076.0,,,,,,
2007-11-01,225.0,5325.0,105035.0,,,,,,
2007-12-01,302.0,4271.0,63753.0,,,,,,
2008-01-01,506.0,7559.0,122640.0,,,,,,
2008-02-01,506.0,7559.0,122640.0,,,,,,
2008-03-01,506.0,7559.0,122640.0,,,,,,
2008-04-01,506.0,7559.0,122640.0,,,,,,
2008-05-01,506.0,7559.0,122640.0,,,,,,
2008-06-01,506.0,7559.0,122640.0,,,,,,
2008-07-01,507.0,7559.0,122640.0,,,,,,
2008-08-01,507.0,7559.0,122640.0,,,,,,
