measured_on,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed"
2003-01-01,,,,2208.0,24835.0,24835.0,0.0,0.0,0.0
2003-02-01,,,,4999.0,60661.0,60661.0,3321.0,39119.0,39119.0
2003-03-01,,,,42304.0,446692.0,446692.0,0.0,0.0,0.0
2003-04-01,,,,50481.0,547507.0,547507.0,0.0,0.0,0.0
2003-05-01,,,,55392.0,617174.0,617174.0,0.0,0.0,0.0
2003-06-01,,,,52282.0,577304.0,577304.0,0.0,0.0,0.0
2003-07-01,,,,108441.0,1140306.0,1140306.0,0.0,0.0,0.0
2003-08-01,,,,104306.0,1122253.0,1122253.0,0.0,0.0,0.0
2003-09-01,,,,53432.0,591117.0,591117.0,0.0,0.0,0.0
2003-10-01,,,,87513.0,930432.0,930432.0,0.0,0.0,0.0
2003-11-01,,,,14671.0,171006.0,171006.0,0.0,0.0,0.0
2003-12-01,,,,22363.0,250699.0,250699.0,21274.0,243883.0,243883.0
2004-01-01,,,,22350.0,240251.0,240251.0,12534.0,134751.0,134751.0
2004-02-01,,,,57672.0,644641.0,644641.0,0.0,0.0,0.0
2004-03-01,,,,33329.0,417073.0,417073.0,0.0,0.0,0.0
2004-04-01,,,,45654.0,564315.0,564315.0,0.0,0.0,0.0
2004-05-01,,,,48328.0,563318.0,563318.0,0.0,0.0,0.0
2004-06-01,,,,34993.0,408819.0,408819.0,0.0,0.0,0.0
2004-07-01,,,,41188.0,477722.0,477722.0,0.0,0.0,0.0
2004-08-01,,,,57139.0,691681.0,691681.0,0.0,0.0,0.0
2004-09-01,,,,38855.0,458046.0,458046.0,0.0,0.0,0.0
2004-10-01,,,,12768.0,153109.0,153109.0,0.0,0.0,0.0
2004-11-01,,,,22025.0,262237.0,262237.0,0.0,0.0,0.0
2004-12-01,,,,3271.0,41386.0,41386.0,0.0,0.0,0.0
2005-01-01,,,,448.0,10276.67,10276.67,0.0,0.0,0.0
2005-02-01,,,,4019.0,51055.12,51055.12,0.0,0.0,0.0
2005-03-01,,,,169.0,12112.6,12112.6,0.0,0.0,0.0
2005-04-01,,,,60392.0,619320.25,619320.25,0.0,0.0,0.0
2005-05-01,,,,61839.0,720579.5,720579.5,0.0,0.0,0.0
2005-06-01,,,,89886.0,982994.14,982994.14,0.0,0.0,0.0
2005-07-01,,,,87948.0,1042029.53,1042029.53,0.0,0.0,0.0
2005-08-01,,,,91922.0,1050936.79,1050936.79,0.0,0.0,0.0
2005-09-01,,,,62400.0,740258.64,740258.64,3629.0,42952.41,42952.41
2005-10-01,,,,36656.0,451265.88,451265.88,4854.0,56607.55,56607.55
2005-11-01,,,,32375.0,369066.46,369066.46,0.0,0.0,0.0
2005-12-01,,,,24463.0,276859.26,276859.26,0.0,0.0,0.0
2006-01-01,,,,665.0,11846.0,11846.0,0.0,0.0,0.0
2006-02-01,,,,66915.0,775538.0,775538.0,0.0,0.0,0.0
2006-03-01,,,,63090.0,756852.0,756852.0,0.0,0.0,0.0
2006-04-01,,,,20401.0,247476.0,247476.0,0.0,0.0,0.0
2006-05-01,,,,57362.0,661765.0,661765.0,14149.0,162964.0,162964.0
2006-06-01,,,,47751.0,592930.0,592930.0,2109.0,26147.0,26147.0
2006-07-01,,,,70909.0,866496.0,866496.0,0.0,0.0,0.0
2006-08-01,,,,79621.0,1005470.0,1005470.0,0.0,0.0,0.0
2006-09-01,,,,27371.0,321548.0,321548.0,0.0,0.0,0.0
2006-10-01,,,,27636.0,352596.0,352596.0,0.0,0.0,0.0
2006-11-01,,,,33739.0,410792.0,410792.0,0.0,0.0,0.0
2006-12-01,,,,21931.0,253437.0,253437.0,0.0,0.0,0.0
2007-01-01,,,,10635.0,134202.0,134202.0,0.0,0.0,0.0
2007-02-01,,,,49573.0,570555.0,570555.0,0.0,0.0,0.0
2007-03-01,,,,77058.0,849930.0,849930.0,0.0,0.0,0.0
2007-04-01,,,,12977.0,177331.0,177331.0,0.0,0.0,0.0
2007-05-01,,,,19110.0,252977.0,252977.0,0.0,0.0,0.0
2007-06-01,,,,18225.999,245514.0,245514.0,0.0,0.0,0.0
2007-07-01,,,,5298.999000000001,72523.0,72523.0,0.0,0.0,0.0
2007-08-01,,,,61415.0,752978.0,752978.0,0.0,0.0,0.0
2007-09-01,,,,36461.0,470819.0,470819.0,0.0,0.0,0.0
2007-10-01,,,,24916.0,332645.0,332645.0,0.0,0.0,0.0
2007-11-01,,,,20959.0,269133.0,269133.0,0.0,0.0,0.0
2007-12-01,,,,27401.0,339568.0,339568.0,0.0,0.0,0.0
2008-01-01,0.0,0.0,0.0,11574.0,146187.0,146187.0,0.0,0.0,0.0
2008-02-01,0.0,0.0,0.0,28203.0,347213.0,347213.0,0.0,0.0,0.0
2008-03-01,0.0,0.0,0.0,30243.0,400680.0,400680.0,0.0,0.0,0.0
2008-04-01,0.0,0.0,0.0,28028.0,372355.0,372355.0,0.0,0.0,0.0
2008-05-01,0.0,0.0,0.0,27966.0,348424.0,348424.0,0.0,0.0,0.0
2008-06-01,0.0,0.0,0.0,43964.0,574126.0,574126.0,0.0,0.0,0.0
2008-07-01,0.0,0.0,0.0,66426.0,773052.0,773052.0,0.0,0.0,0.0
2008-08-01,0.0,0.0,0.0,45923.0,564650.0,564650.0,0.0,0.0,0.0
2008-09-01,0.0,0.0,0.0,6686.0,89768.0,89768.0,0.0,0.0,0.0
