measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Other Generation,Other Quantity Consumed For Electricity,Other Total Fuel Consumed,Solar Generation,Solar Quantity Consumed For Electricity,Solar Total Fuel Consumed,Subbituminous Coal Generation,Subbituminous Coal Quantity Consumed For Electricity,Subbituminous Coal Total Fuel Consumed
2002-04-01,115.0,1576.0,1576.0,0.0,8.5,8.5,-13.0,225.0,225.0,,,,,,,,,
2002-05-01,26274.0,349320.0,349320.0,33.0,535.0,535.0,649.0,8991.0,8991.0,,,,,,,,,
2002-06-01,37783.0,521875.0,521875.0,215.0,3380.5,3380.5,1371.0,17752.0,17752.0,,,,,,,,,
2002-07-01,39485.0,529830.0,529830.0,458.5,8002.5,8002.5,481.0,7804.0,7804.0,,,,,,,,,
2002-08-01,38079.0,530525.0,530525.0,758.5,11916.0,11916.0,879.0,14362.0,14362.0,,,,,,,,,
2002-09-01,32863.0,474293.0,474293.0,56.5,945.5,945.5,967.0,14705.0,14705.0,,,,,,,,,
2002-10-01,8193.0,118094.0,118094.0,-1.0,32.0,32.0,502.0,7986.0,7986.0,,,,,,,,,
2002-11-01,21790.0,305025.0,305025.0,50.0,713.5,713.5,432.0,6401.0,6401.0,,,,,,,,,
2002-12-01,25818.0,370673.0,370673.0,637.0,8839.5,8839.5,748.0,11685.0,11685.0,,,,,,,,,
2003-01-01,33368.0,477338.0,477338.0,44.666666666666664,1214.0,1214.0,289.0,4377.0,4377.0,,,,,,,,,
2003-02-01,36927.0,538885.0,538885.0,219.0,2963.0,2963.0,374.0,5621.0,5621.0,,,,,,,,,
2003-03-01,30932.0,456284.0,456284.0,329.5,4633.0,4633.0,192.5,2919.0,2919.0,,,,,,,,,
2003-04-01,16196.0,232461.0,232461.0,64.5,965.5,965.5,335.0,4951.0,4951.0,,,,,,,,,
2003-05-01,41989.0,589668.0,589668.0,4.5,58.0,58.0,479.5,6780.0,6780.0,,,,,,,,,
2003-06-01,39632.0,544912.0,544912.0,221.66666666666666,3389.0,3389.0,460.5,6455.5,6455.5,,,,,,,,,
2003-07-01,41325.0,600570.0,600570.0,231.0,3589.6666666666665,3589.6666666666665,206.0,2978.5,2978.5,,,,,,,,,
2003-08-01,42145.0,606528.0,606528.0,96.0,1475.6666666666667,1475.6666666666667,293.5,4406.0,4406.0,,,,,,,,,
2003-09-01,25461.0,422661.0,422661.0,4.5,72.5,72.5,132.5,2385.0,2385.0,,,,,,,,,
2003-10-01,0.0,0.0,0.0,-9.5,0.0,0.0,-273.0,0.0,0.0,,,,,,,,,
2003-11-01,0.0,0.0,0.0,-25.0,0.0,0.0,-168.5,0.0,0.0,,,,,,,,,
2003-12-01,19041.0,242964.0,242964.0,7.0,93.0,93.0,467.5,6170.5,6170.5,,,,,,,,,
2004-01-01,26232.663,351821.0,351821.0,201.25425,3332.25,3332.25,351.0845,4999.0,4999.0,,,,,,,0.0,0.0,0.0
2004-02-01,21142.38,283552.0,283552.0,81.686,1397.5,1397.5,373.736,5134.0,5134.0,,,,,,,0.0,0.0,0.0
2004-03-01,20389.155,273451.0,273451.0,25.844749999999998,446.25,446.25,258.651,3463.0,3463.0,,,,,,,0.0,0.0,0.0
2004-04-01,18965.946,254363.0,254363.0,50.72675,809.25,809.25,259.829,3495.0,3495.0,,,,,,,0.0,0.0,0.0
2004-05-01,22134.241,296855.0,296855.0,97.16725000000001,1556.5,1556.5,194.3115,2939.5,2939.5,,,,,,,0.0,0.0,0.0
2004-06-01,22625.948,303449.0,303449.0,32.517,604.5,604.5,191.52150000000003,2914.5,2914.5,,,,,,,0.0,0.0,0.0
2004-07-01,23458.866,314620.0,314620.0,18.84675,318.5,318.5,206.881,2898.0,2898.0,,,,,,,0.0,0.0,0.0
2004-08-01,21948.445,294363.0,294363.0,18.691000000000003,308.0,308.0,185.87550000000002,2678.0,2678.0,,,,,,,0.0,0.0,0.0
2004-09-01,21385.255,286810.0,286810.0,8.3345,144.0,144.0,301.436,4114.5,4114.5,,,,,,,0.0,0.0,0.0
2004-10-01,20530.724,275349.0,275349.0,7.97925,133.25,133.25,54.897000000000006,728.0,728.0,,,,,,,0.0,0.0,0.0
2004-11-01,19800.87,265561.0,265561.0,12.508750000000001,218.75,218.75,199.7575,2809.0,2809.0,,,,,,,0.0,0.0,0.0
2004-12-01,23533.507,315621.0,315621.0,123.9435,1992.5,1992.5,311.0195,4150.0,4150.0,,,,,,,0.0,0.0,0.0
2005-01-01,25532.261,331961.98,331961.98,336.265,5300.6,5300.6,200.018,2594.04,2594.04,,,,,,,,,
2005-02-01,22230.073,289028.02,289028.02,77.40100000000001,1220.09,1220.09,160.01600000000002,2075.245,2075.245,,,,,,,,,
2005-03-01,23063.639,299865.78,299865.78,66.42,1046.99,1046.99,222.0515,2879.7900000000004,2879.7900000000004,,,,,,,,,
2005-04-01,20554.239,267239.38,267239.38,66.45700000000001,1047.58,1047.58,210.7835,2733.66,2733.66,,,,,,,,,
2005-05-01,22564.422,293375.11,293375.11,67.005,1056.22,1056.22,201.55949999999999,2614.03,2614.03,,,,,,,,,
2005-06-01,25132.087,326759.04,326759.04,81.168,1279.47,1279.47,380.486,4934.535000000001,4934.535000000001,,,,,,,,,
2005-07-01,26567.275,345418.89,345418.89,153.723,2423.16,2423.16,500.89250000000004,6496.085,6496.085,,,,,,,,,
2005-08-01,26862.862,349261.99,349261.99,136.15300000000002,2146.21,2146.21,497.5865,6453.215,6453.215,,,,,,,,,
2005-09-01,24617.574,320069.5,320069.5,75.759,1194.2,1194.2,301.25700000000006,3907.0049999999997,3907.0049999999997,,,,,,,,,
2005-10-01,23246.688000000002,302245.72,302245.72,106.215,1674.29,1674.29,213.609,2770.3,2770.3,,,,,,,,,
2005-11-01,22664.443,294675.56,294675.56,71.521,1127.4,1127.4,187.211,2427.9449999999997,2427.9449999999997,,,,,,,,,
2005-12-01,25311.436999999998,329090.89,329090.89,195.912,3088.2,3088.2,234.0305,3035.15,3035.15,,,,,,,,,
2006-01-01,26522.482,343618.0,343618.0,162.65300000000002,2546.0,2546.0,102.3545,1365.5,1365.5,,,,,,,,,
2006-02-01,25259.753,327258.0,327258.0,85.111,1332.0,1332.0,115.70300000000002,1543.5,1543.5,,,,,,,,,
2006-03-01,25810.794,334397.0,334397.0,71.494,1119.0,1119.0,152.4685,2033.5,2033.5,,,,,,,,,
2006-04-01,21959.238,284497.0,284497.0,136.951,2143.0,2143.0,126.173,1683.0,1683.0,,,,,,,,,
2006-05-01,23467.396,304037.0,304037.0,128.014,2003.0,2003.0,166.202,2217.0,2217.0,,,,,,,,,
2006-06-01,25423.400999999998,329378.0,329378.0,116.35600000000001,1821.0,1821.0,214.08700000000002,2855.5,2855.5,,,,,,,,,
2006-07-01,28919.073,374667.0,374667.0,168.545,2638.0,2638.0,383.10150000000004,5110.0,5110.0,,,,,,,,,
2006-08-01,29127.74,377370.0,377370.0,163.487,2559.0,2559.0,340.4195,4540.5,4540.5,,,,,,,,,
2006-09-01,24201.636,313549.0,313549.0,75.10900000000001,1175.0,1175.0,200.242,2670.5,2670.5,,,,,,,,,
2006-10-01,25032.781,324317.0,324317.0,79.339,1242.0,1242.0,216.9015,2893.0,2893.0,,,,,,,,,
2006-11-01,24751.329,320671.0,320671.0,93.424,1462.0,1462.0,145.82100000000003,1945.0,1945.0,,,,,,,,,
2006-12-01,26795.378,347153.0,347153.0,103.515,1620.0,1620.0,148.0265,1974.5,1974.5,,,,,,,,,
2007-01-01,36109.04,473650.0,473650.0,150.018,2637.0,2637.0,297.70050000000003,3990.5,3990.5,0.0,0.0,0.0,,,,,,
2007-02-01,38108.522,493919.0,493919.0,591.344,10402.0,10402.0,293.01250000000005,3891.5,3891.5,0.0,0.0,0.0,,,,,,
2007-03-01,36012.465,468717.0,468717.0,314.03700000000003,5526.0,5526.0,293.6165,3854.5,3854.5,0.0,0.0,0.0,,,,,,
2007-04-01,12222.575,152723.0,152723.0,59.896,1055.0,1055.0,118.322,1564.0,1564.0,0.0,0.0,0.0,,,,,,
2007-05-01,31261.945,409304.0,409304.0,79.622,1401.0,1401.0,225.4045,3123.5,3123.5,0.0,0.0,0.0,,,,,,
2007-06-01,34850.36,450476.0,450476.0,251.855,4430.0,4430.0,231.7955,3175.0,3175.0,0.0,0.0,0.0,,,,,,
2007-07-01,37386.708,482539.0,482539.0,137.489,2420.0,2420.0,195.72000000000003,2742.5,2742.5,0.0,0.0,0.0,,,,,,
2007-08-01,38408.813,513382.0,513382.0,164.54600000000002,2895.0,2895.0,261.039,4047.5,4047.5,0.0,0.0,0.0,,,,,,
2007-09-01,34261.737,446129.0,446129.0,108.61,1910.0,1910.0,330.922,4522.5,4522.5,0.0,0.0,0.0,,,,,,
2007-10-01,21876.303,274285.0,274285.0,70.291,1236.0,1236.0,258.193,3424.5,3424.5,0.0,0.0,0.0,,,,,,
2007-11-01,1223.875,24347.0,24347.0,48.72,856.0,856.0,14.487,357.5,357.5,0.0,0.0,0.0,,,,,,
2007-12-01,36441.762,469475.0,469475.0,117.57300000000001,2069.0,2069.0,271.735,3617.0,3617.0,0.0,0.0,0.0,,,,,,
2008-01-01,38347.352,498925.0,498925.0,26.286,1572.0,1572.0,285.824,3719.0,3719.0,0.0,0.0,0.0,,,,,,
2008-02-01,36477.063,473431.0,473431.0,21.038,1264.0,1264.0,313.4685,4068.5,4068.5,0.0,0.0,0.0,,,,,,
2008-03-01,39274.979,514334.0,514334.0,6.859,412.0,412.0,608.0105,7962.5,7962.5,0.0,0.0,0.0,,,,,,
2008-04-01,9676.051000000001,123614.0,123614.0,4.719,284.0,284.0,101.9745,1302.5,1302.5,0.0,0.0,0.0,,,,,,
2008-05-01,26913.811999999998,355824.0,355824.0,4.8420000000000005,290.0,290.0,286.594,3789.0,3789.0,0.0,0.0,0.0,,,,,,
2008-06-01,39115.211,500415.0,500415.0,19.504,1172.0,1172.0,210.39450000000002,2691.5,2691.5,0.0,0.0,0.0,,,,,,
2008-07-01,39626.792,510402.0,510402.0,9.094000000000001,545.0,545.0,240.604,3099.0,3099.0,0.0,0.0,0.0,,,,,,
2008-08-01,38134.182,482075.0,482075.0,5.643000000000001,336.0,336.0,208.90900000000002,2641.0,2641.0,0.0,0.0,0.0,,,,,,
2008-09-01,30692.208,398510.0,398510.0,7.0360000000000005,423.0,423.0,334.896,4348.5,4348.5,0.0,0.0,0.0,,,,,,
2008-10-01,12169.143,155580.0,155580.0,3.306,197.0,197.0,118.9285,1520.5,1520.5,0.0,0.0,0.0,,,,,,
2008-11-01,3354.85,58071.0,58071.0,7.085,423.0,423.0,95.075,1645.5,1645.5,0.0,0.0,0.0,,,,,,
2008-12-01,10597.27,165812.0,165812.0,13.588000000000001,818.0,818.0,55.365,866.5,866.5,0.0,0.0,0.0,,,,,,
2009-01-01,20102.121,309554.0,309554.0,117.464,4480.0,4480.0,717.4395000000001,11048.0,11048.0,,,,,,,,,
2009-02-01,6448.193,110221.0,110221.0,22.656000000000002,866.0,866.0,202.4035,3459.5,3459.5,,,,,,,,,
2009-03-01,8746.745,142076.0,142076.0,27.836000000000002,1063.0,1063.0,93.1275,1512.5,1512.5,,,,,,,,,
2009-04-01,-142.561,1446.0,1446.0,10.421000000000001,395.0,395.0,-65.7195,666.5,666.5,,,,,,,,,
2009-05-01,19074.839,232710.0,232710.0,9.874,378.0,378.0,218.5805,2666.5,2666.5,,,,,,,,,
2009-06-01,27312.184,354493.0,354493.0,8.738,331.0,331.0,859.408,11154.5,11154.5,,,,,,,,,
2009-07-01,31749.616,438721.0,438721.0,13.712000000000002,523.0,523.0,164.692,2275.5,2275.5,,,,,,,,,
2009-08-01,30962.826,406584.0,406584.0,11.746,447.0,447.0,272.087,3573.0,3573.0,,,,,,,,,
2009-09-01,21333.121,287097.0,287097.0,7.497000000000001,285.0,285.0,475.4395,6398.5,6398.5,,,,,,,,,
2009-10-01,-283.5,0.0,0.0,7.803,296.0,296.0,-141.75,0.0,0.0,,,,,,,,,
2009-11-01,-136.852,4170.0,4170.0,9.245,354.0,354.0,-16.574,505.0,505.0,,,,,,,,,
2009-12-01,23326.683,309345.0,309345.0,9.008000000000001,343.0,343.0,107.1585,1421.0,1421.0,,,,,,,,,
2010-01-01,10569.044,160350.0,160350.0,49.609,1653.0,1653.0,78.25800000000001,1341.5,1341.5,,,,,,,,,
2010-02-01,8113.869000000001,143268.0,143268.0,15.912,528.0,528.0,180.20350000000002,3276.0,3276.0,,,,,,,,,
2010-03-01,8626.661,129274.0,129274.0,15.932,528.0,528.0,212.0575,3255.0,3255.0,,,,,,,,,
2010-04-01,7.2170000000000005,2585.0,2585.0,11.848,394.0,394.0,7.91,4390.0,4390.0,,,,,,,,,
2010-05-01,23287.405,291127.0,291127.0,13.189,435.0,435.0,72.0035,1185.0,1185.0,,,,,,,,,
2010-06-01,25787.53,328691.0,328691.0,28.262,940.0,940.0,191.5275,2837.0,2837.0,,,,,,,,,
2010-07-01,32379.912,486477.0,486477.0,87.63300000000001,2906.0,2906.0,87.049,2000.5,2000.5,,,,,,,,,
2010-08-01,35176.332,568078.0,568078.0,35.617000000000004,1183.0,1183.0,79.733,2099.5,2099.5,,,,,,,,,
2010-09-01,21613.82,293323.0,293323.0,16.162,534.0,534.0,143.256,2237.5,2237.5,,,,,,,,,
2010-10-01,0.0,0.0,0.0,10.344000000000001,342.0,342.0,-201.927,1695.0,1695.0,,,,,,,,,
2010-11-01,0.0,0.0,0.0,11.065000000000001,365.0,365.0,-113.8755,2099.5,2099.5,,,,,,,,,
2010-12-01,6748.394,125133.0,125133.0,37.427,1241.0,1241.0,84.7125,2217.0,2217.0,,,,,,,,,
2011-01-01,7929.601,129096.0,129096.0,86.921,2085.0,2085.0,315.9375,5888.0,5888.0,,,,,,,,,
2011-02-01,2628.504,54432.0,54432.0,33.066,795.0,795.0,291.716,6370.0,6370.0,,,,,,,,,
2011-03-01,2664.0,52484.0,52484.0,62.401,1503.0,1503.0,203.39100000000002,4732.0,4732.0,,,,,,,,,
2011-04-01,0.0,0.0,0.0,56.047,1348.0,1348.0,-106.196,1878.0,1878.0,,,,,,,,,
2011-05-01,4093.262,65690.0,65690.0,82.648,1993.0,1993.0,254.48250000000002,4839.0,4839.0,,,,,,,,,
2011-06-01,20594.792,294033.0,294033.0,50.175,1210.0,1210.0,284.848,4810.5,4810.5,,,,,,,,,
2011-07-01,21775.587,335210.0,335210.0,99.943,2408.0,2408.0,1008.7485,16746.5,16746.5,,,,,,,,,
2011-08-01,22448.015,331846.0,331846.0,33.37,806.0,806.0,640.506,10600.0,10600.0,,,,,,,,,
2011-09-01,7054.904,128550.0,128550.0,32.19,778.0,778.0,301.7375,6030.5,6030.5,,,,,,,,,
2011-10-01,-446.309,0.0,0.0,35.893,864.0,864.0,64.006,2008.5,2008.5,,,,,,,,,
2011-11-01,0.0,0.0,0.0,31.255,755.0,755.0,-189.551,2126.0,2126.0,,,,,,,,,
2011-12-01,0.0,0.0,0.0,33.091,795.0,795.0,-47.304,5355.5,5355.5,,,,,,,,,
2023-01-01,,,,,,,,,,,,,0.0,0.0,0.0,,,
2023-02-01,,,,,,,,,,,,,0.0,0.0,0.0,,,
2023-03-01,,,,,,,,,,,,,0.0,0.0,0.0,,,
2023-04-01,,,,,,,,,,,,,0.0,0.0,0.0,,,
2023-05-01,,,,,,,,,,,,,0.0,0.0,0.0,,,
2023-06-01,,,,,,,,,,,,,0.0,0.0,0.0,,,
2023-07-01,,,,,,,,,,,,,0.0,0.0,0.0,,,
2023-08-01,,,,,,,,,,,,,0.0,0.0,0.0,,,
2023-09-01,,,,,,,,,,,,,0.0,0.0,0.0,,,
2023-10-01,,,,,,,,,,,,,0.0,0.0,0.0,,,
2023-11-01,,,,,,,,,,,,,0.0,0.0,0.0,,,
2023-12-01,,,,,,,,,,,,,0.0,0.0,0.0,,,
2024-01-01,,,,,,,,,,,,,38.0,130.0,130.0,,,
2024-02-01,,,,,,,,,,,,,102.0,348.0,348.0,,,
2024-03-01,,,,,,,,,,,,,128.0,437.0,437.0,,,
2024-04-01,,,,,,,,,,,,,135.0,461.0,461.0,,,
2024-05-01,,,,,,,,,,,,,136.0,464.0,464.0,,,
2024-06-01,,,,,,,,,,,,,144.0,491.0,491.0,,,
2024-07-01,,,,,,,,,,,,,96.0,328.0,328.0,,,
2024-08-01,,,,,,,,,,,,,149.0,508.0,508.0,,,
2024-09-01,,,,,,,,,,,,,132.0,450.0,450.0,,,
2024-10-01,,,,,,,,,,,,,150.0,512.0,512.0,,,
2024-11-01,,,,,,,,,,,,,92.0,314.0,314.0,,,
2024-12-01,,,,,,,,,,,,,59.0,201.0,201.0,,,
