measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Other Generation,Other Quantity Consumed For Electricity,Other Total Fuel Consumed,Solar Generation,Solar Quantity Consumed For Electricity,Solar Total Fuel Consumed,Subbituminous Coal Generation,Subbituminous Coal Quantity Consumed For Electricity,Subbituminous Coal Total Fuel Consumed
2001-01-01,43236.0,581802.0,581802.0,26.5,353.5,353.5,420.0,6624.0,6624.0,,,,,,,,,
2001-02-01,32988.0,444103.0,444103.0,14.0,143.5,143.5,359.0,5859.0,5859.0,,,,,,,,,
2001-03-01,24225.0,326809.0,326809.0,0.0,0.0,0.0,181.0,3213.0,3213.0,,,,,,,,,
2001-04-01,31280.0,414530.0,414530.0,71.0,1126.0,1126.0,717.0,8063.0,8063.0,,,,,,,,,
2001-05-01,29803.0,379413.0,379413.0,4.5,52.5,52.5,987.0,12879.0,12879.0,,,,,,,,,
2001-06-01,26657.0,354461.0,354461.0,177.5,2755.0,2755.0,936.0,12472.0,12472.0,,,,,,,,,
2001-07-01,31102.0,434327.0,434327.0,4.0,49.5,49.5,2030.0,28634.0,28634.0,,,,,,,,,
2001-08-01,29911.0,418908.0,418908.0,881.0,13727.0,13727.0,2346.0,35819.0,35819.0,,,,,,,,,
2001-09-01,17740.0,265353.0,265353.0,57.5,1085.0,1085.0,315.0,3918.0,3918.0,,,,,,,,,
2001-10-01,0.0,0.0,0.0,-12.0,17.5,17.5,-441.0,111.0,111.0,,,,,,,,,
2001-11-01,99.0,5910.0,5910.0,14.5,453.5,453.5,204.0,12176.0,12176.0,,,,,,,,,
2001-12-01,26602.0,326541.0,326541.0,0.0,0.0,0.0,269.0,4407.0,4407.0,,,,,,,,,
2002-01-01,26597.0,330445.0,330445.0,23.5,327.0,327.0,444.0,4952.0,4952.0,,,,,,,,,
2002-02-01,13550.0,181041.0,181041.0,3.0,37.5,37.5,1301.0,16456.0,16456.0,,,,,,,,,
2002-03-01,10587.0,178581.0,178581.0,3.0,35.0,35.0,63.0,1958.0,1958.0,,,,,,,,,
