measured_on,Waste heat not directly attributed to a fuel source-Other Generation,Waste heat not directly attributed to a fuel source-Other Quantity Consumed For Electricity,Waste heat not directly attributed to a fuel source-Other Total Fuel Consumed,"Waste heat not directly attributed to a fuel source-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Waste heat not directly attributed to a fuel source-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Waste heat not directly attributed to a fuel source-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2019-08-01,17636.031,157049.0,157049.0,,,
2019-09-01,19182.974,170824.0,170824.0,,,
2019-10-01,16799.062,149596.0,149596.0,,,
2019-11-01,16407.9,146112.0,146112.0,,,
2019-12-01,14703.033,130931.0,130931.0,,,
2020-01-01,15679.462,137462.0,137462.0,0.0,0.0,0.0
2020-02-01,14780.017,129576.0,129576.0,0.0,0.0,0.0
2020-03-01,13825.659,121210.0,121210.0,0.0,0.0,0.0
2020-04-01,13260.206,116252.0,116252.0,0.0,0.0,0.0
2020-05-01,11870.267,104067.0,104067.0,0.0,0.0,0.0
2020-06-01,13221.868,115916.0,115916.0,0.0,0.0,0.0
2020-07-01,14829.995,130015.0,130015.0,0.0,0.0,0.0
2020-08-01,17660.604,154831.0,154831.0,0.0,0.0,0.0
2020-09-01,15410.792,135106.0,135106.0,0.0,0.0,0.0
2020-10-01,17515.935,153562.0,153562.0,0.0,0.0,0.0
2020-11-01,16224.146,142237.0,142237.0,0.0,0.0,0.0
2020-12-01,15385.049,134881.0,134881.0,0.0,0.0,0.0
2021-01-01,17417.779,154043.0,154043.0,0.0,0.0,0.0
2021-02-01,13648.803,120710.0,120710.0,0.0,0.0,0.0
2021-03-01,16622.109,147006.0,147006.0,0.0,0.0,0.0
2021-04-01,16181.109,143106.0,143106.0,0.0,0.0,0.0
2021-05-01,17919.259,158478.0,158478.0,0.0,0.0,0.0
2021-06-01,19154.028,169398.0,169398.0,0.0,0.0,0.0
2021-07-01,17056.878,150851.0,150851.0,0.0,0.0,0.0
2021-08-01,16141.302,142754.0,142754.0,0.0,0.0,0.0
2021-09-01,17035.104,150658.0,150658.0,0.0,0.0,0.0
2021-10-01,19333.081,170982.0,170982.0,0.0,0.0,0.0
2021-11-01,14734.781,130314.0,130314.0,0.0,0.0,0.0
2021-12-01,20815.767,184095.0,184095.0,0.0,0.0,0.0
2022-01-01,25082.039,85580.0,85580.0,0.0,0.0,0.0
2022-02-01,21319.495,72742.0,72742.0,0.0,0.0,0.0
2022-03-01,21528.885,73457.0,73457.0,0.0,0.0,0.0
2022-04-01,16263.815,55492.0,55492.0,0.0,0.0,0.0
2022-05-01,23760.52,81071.0,81071.0,0.0,0.0,0.0
2022-06-01,23014.822,78527.0,78527.0,0.0,0.0,0.0
2022-07-01,21414.412,73066.0,73066.0,0.0,0.0,0.0
2022-08-01,18303.93,62453.0,62453.0,0.0,0.0,0.0
2022-09-01,15989.267,54555.0,54555.0,0.0,0.0,0.0
2022-10-01,18480.152,63054.0,63054.0,0.0,0.0,0.0
2022-11-01,18534.973,63241.0,63241.0,0.0,0.0,0.0
2022-12-01,17068.69,58238.0,58238.0,0.0,0.0,0.0
2023-01-01,19412.043,66234.0,66234.0,0.0,0.0,0.0
2023-02-01,19255.281,65699.0,65699.0,0.0,0.0,0.0
2023-03-01,19582.338,66815.0,66815.0,0.0,0.0,0.0
2023-04-01,16407.865,55984.0,55984.0,0.0,0.0,0.0
2023-05-01,19704.284,67231.0,67231.0,0.0,0.0,0.0
2023-06-01,16687.375,56937.0,56937.0,0.0,0.0,0.0
2023-07-01,15244.527,52014.0,52014.0,0.0,0.0,0.0
2023-08-01,20121.985,68656.0,68656.0,0.0,0.0,0.0
2023-09-01,18769.5,64042.0,64042.0,0.0,0.0,0.0
2023-10-01,18780.083,64078.0,64078.0,0.0,0.0,0.0
2023-11-01,17519.589,59777.0,59777.0,0.0,0.0,0.0
2023-12-01,17342.13,59171.0,59171.0,0.0,0.0,0.0
2024-01-01,,,,15113.79,51568.0,51568.0
2024-02-01,,,,17050.67,58177.0,58177.0
2024-03-01,,,,18077.165,61679.0,61679.0
2024-04-01,,,,17273.849,58938.0,58938.0
2024-05-01,,,,18193.778,62077.0,62077.0
2024-06-01,,,,16638.382,56770.0,56770.0
2024-07-01,,,,16441.336,56098.0,56098.0
2024-08-01,,,,17027.666,58098.0,58098.0
2024-09-01,,,,14818.862,50562.0,50562.0
2024-10-01,,,,16909.582,57695.0,57695.0
2024-11-01,,,,15741.518,53710.0,53710.0
2024-12-01,,,,17901.402,61080.0,61080.0
