measured_on,"Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2012-01-01,2.284,25.0,25.0
2012-02-01,3.091,33.0,33.0
2012-03-01,3.471,36.0,36.0
2012-04-01,3.967,42.0,42.0
2012-05-01,3.129,33.0,33.0
2012-06-01,5.362,56.0,56.0
2012-07-01,8.801,92.0,92.0
2012-08-01,4.129,44.0,44.0
2012-09-01,2.855,30.0,30.0
2012-10-01,1.183,12.0,12.0
2012-11-01,1.697,18.0,18.0
2012-12-01,1.191,12.0,12.0
2013-01-01,2.227,1.0,1.0
2013-02-01,2.225,2.0,2.0
2013-03-01,4.152,4.0,4.0
2013-04-01,3.575,4.0,4.0
2013-05-01,2.603,3.0,3.0
2013-06-01,2.425,2.0,2.0
2013-07-01,6.594,7.0,7.0
2013-08-01,4.586,5.0,5.0
2013-09-01,2.706,3.0,3.0
2013-10-01,1.289,1.0,1.0
2013-11-01,1.866,2.0,2.0
2013-12-01,1.752,2.0,2.0
2014-01-01,2.7,24.0,24.0
2014-02-01,0.661,6.0,6.0
2014-03-01,0.943,9.0,9.0
2014-04-01,0.827,8.0,8.0
2014-05-01,2.553,23.0,23.0
2014-06-01,2.218,20.0,20.0
2014-07-01,1.593,15.0,15.0
2014-08-01,2.944,27.0,27.0
2014-09-01,1.851,17.0,17.0
2014-10-01,2.307,21.0,21.0
2014-11-01,1.556,14.0,14.0
2014-12-01,1.847,17.0,17.0
2015-01-01,1.924,14.0,14.0
2015-02-01,1.718,12.0,12.0
2015-03-01,1.862,12.0,12.0
2015-04-01,1.739,12.0,12.0
2015-05-01,1.411,9.0,9.0
2015-06-01,2.132,14.0,14.0
2015-07-01,3.097,21.0,21.0
2015-08-01,2.309,15.0,15.0
2015-09-01,2.523,17.0,17.0
2015-10-01,2.063,14.0,14.0
2015-11-01,2.116,14.0,14.0
2015-12-01,2.586,17.0,17.0
2016-01-01,1.503,9.0,9.0
2016-02-01,1.555,10.0,11.0
2016-03-01,2.091,14.0,14.0
2016-04-01,1.574,11.0,11.0
2016-05-01,1.5,10.0,10.0
2016-06-01,2.108,14.0,14.0
2016-07-01,3.423,23.0,23.0
2016-08-01,3.017,20.0,21.0
2016-09-01,2.019,14.0,14.0
2016-10-01,1.901,13.0,13.0
2016-11-01,1.407,9.0,10.0
2016-12-01,1.422,10.0,10.0
2017-01-01,1.056,6.0,6.0
2017-02-01,1.032,7.0,7.0
2017-03-01,1.284,9.0,9.0
2017-04-01,1.031,7.0,7.0
2017-05-01,1.119,7.0,8.0
2017-06-01,1.51,10.0,10.0
2017-07-01,1.805,12.0,12.0
2017-08-01,1.468,10.0,10.0
2017-09-01,1.117,7.0,8.0
2017-10-01,1.105,7.0,7.0
2017-11-01,0.829,6.0,6.0
2017-12-01,1.344,9.0,9.0
2018-01-01,2.628,17.0,17.0
2018-02-01,1.936,13.0,13.0
2018-03-01,3.05,20.0,20.0
2018-04-01,1.648,11.0,11.0
2018-05-01,2.96,20.0,20.0
2018-06-01,3.248,21.0,21.0
2018-07-01,4.017,27.0,27.0
2018-08-01,4.044,27.0,27.0
2018-09-01,3.243,21.0,21.0
2018-10-01,2.153,14.0,14.0
2018-11-01,2.523,17.0,17.0
2018-12-01,1.87,12.0,12.0
2019-01-01,1.774,6.0,6.0
2019-02-01,1.603,6.0,6.0
2019-03-01,1.693,6.0,6.0
2019-04-01,1.851,6.0,6.0
2019-05-01,1.693,6.0,6.0
2019-06-01,1.984,7.0,7.0
2019-07-01,3.288,11.0,11.0
2019-08-01,2.811,10.0,10.0
2019-09-01,1.803,6.0,6.0
2019-10-01,1.737,6.0,6.0
2019-11-01,1.788,6.0,6.0
2019-12-01,2.475,9.0,9.0
2020-01-01,1.73,6.0,6.0
2020-02-01,1.573,5.0,5.0
2020-03-01,1.633,6.0,6.0
2020-04-01,1.194,4.0,4.0
2020-05-01,1.021,4.0,4.0
2020-06-01,1.566,5.0,5.0
2020-07-01,2.251,8.0,8.0
2020-08-01,1.679,6.0,6.0
2020-09-01,1.098,4.0,4.0
2020-10-01,1.159,4.0,4.0
2020-11-01,0.539,2.0,2.0
2020-12-01,1.217,4.0,4.0
2021-01-01,0.914,3.0,3.0
2021-02-01,0.592,2.0,2.0
2021-03-01,0.719,3.0,3.0
2021-04-01,0.538,2.0,2.0
2021-05-01,0.4,1.0,1.0
2021-06-01,0.851,3.0,3.0
2021-07-01,1.106,4.0,4.0
2021-08-01,1.366,5.0,5.0
2021-09-01,0.763,3.0,3.0
2021-10-01,0.956,3.0,3.0
2021-11-01,0.795,3.0,3.0
2021-12-01,0.8,3.0,3.0
2022-01-01,1.249,4.0,4.0
2022-02-01,0.829,3.0,3.0
2022-03-01,0.892,3.0,3.0
2022-04-01,0.425,2.0,2.0
2022-05-01,0.569,2.0,2.0
2022-06-01,1.003,4.0,4.0
2022-07-01,1.16,4.0,4.0
2022-08-01,1.15,4.0,4.0
2022-09-01,1.143,4.0,4.0
2022-10-01,0.731,3.0,3.0
2022-11-01,0.792,3.0,3.0
2022-12-01,0.837,3.0,3.0
2023-01-01,0.39,1.0,1.0
2023-02-01,0.353,1.0,1.0
2023-03-01,0.315,1.0,1.0
2023-04-01,0.116,0.0,0.0
2023-05-01,0.244,1.0,1.0
2023-06-01,0.351,1.0,1.0
2023-07-01,0.423,3.0,3.0
2023-08-01,0.427,2.0,2.0
2023-09-01,0.401,2.0,2.0
2023-10-01,0.331,1.0,1.0
2023-11-01,0.272,1.0,1.0
2023-12-01,0.297,1.0,1.0
2024-01-01,0.989,3.0,3.0
2024-02-01,1.004,4.0,4.0
2024-03-01,0.849,3.0,3.0
2024-04-01,0.496,2.0,2.0
2024-05-01,0.601,2.0,2.0
2024-06-01,1.045,4.0,4.0
2024-07-01,1.318,5.0,5.0
2024-08-01,1.464,5.0,5.0
2024-09-01,1.294,5.0,5.0
2024-10-01,1.027,4.0,4.0
2024-11-01,0.62,2.0,2.0
2024-12-01,1.053,4.0,4.0
