measured_on,Natural Gas - Fuel Cell - Natural Gas - Generation,Natural Gas - Fuel Cell - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Fuel Cell - Natural Gas - Total Fuel Consumed
2016-02-01,1753.709,14192.0,14192.0
2016-03-01,1609.48,13024.0,13024.0
2016-04-01,2045.315,16551.0,16551.0
2016-05-01,1838.03,14874.0,14874.0
2016-06-01,1654.799,13391.0,13391.0
2016-07-01,2008.84,16257.0,16257.0
2016-08-01,2155.848,17446.0,17446.0
2016-09-01,1774.572,14360.0,14360.0
2016-10-01,1744.268,14115.0,14115.0
2016-11-01,1779.432,14399.0,14399.0
2016-12-01,1708.707,13828.0,13828.0
2017-01-01,2292.509,18118.0,18118.0
2017-02-01,1834.017,14493.0,14493.0
2017-03-01,1735.227,13712.0,13712.0
2017-04-01,1576.671,12460.0,12460.0
2017-05-01,1424.875,11259.0,11259.0
2017-06-01,1670.089,13197.0,13197.0
2017-07-01,2277.829,18000.0,18000.0
2017-08-01,2271.463,17949.0,17949.0
2017-09-01,1680.203,13278.0,13278.0
2017-10-01,1995.246,15766.0,15766.0
2017-11-01,2237.281,17679.0,17679.0
2017-12-01,2259.59,17856.0,17856.0
2018-01-01,1507.644,12356.0,12356.0
2018-02-01,1478.396,12116.0,12116.0
2018-03-01,1748.983,14334.0,14334.0
2018-04-01,1478.509,12117.0,12117.0
2018-05-01,1386.671,11365.0,11365.0
2018-06-01,1883.869,15440.0,15440.0
2018-07-01,2268.517,18592.0,18592.0
2018-08-01,2371.808,19438.0,19438.0
2018-09-01,1966.697,16118.0,16118.0
2018-10-01,1962.907,16087.0,16087.0
2018-11-01,2077.486,17026.0,17026.0
2018-12-01,2168.513,17772.0,17772.0
2019-01-01,1544.444,12145.0,12145.0
2019-02-01,1380.117,10853.0,10853.0
2019-03-01,1392.1,10948.0,10948.0
2019-04-01,1521.137,11962.0,11962.0
2019-05-01,1449.912,11402.0,11402.0
2019-06-01,1585.66,12470.0,12470.0
2019-07-01,2125.491,16715.0,16715.0
2019-08-01,1943.231,15281.0,15281.0
2019-09-01,1564.879,12307.0,12307.0
2019-10-01,1298.866,10214.0,10214.0
2019-11-01,1635.45,12861.0,12861.0
2019-12-01,2032.713,15986.0,15986.0
2020-01-01,1249.816,11228.0,11228.0
2020-02-01,1171.151,10522.0,10522.0
2020-03-01,1061.399,9536.0,9536.0
2020-04-01,1086.615,9762.0,9762.0
2020-05-01,963.393,8656.0,8656.0
2020-06-01,1288.014,11571.0,11571.0
2020-07-01,1548.3,13910.0,13910.0
2020-08-01,1379.457,12394.0,12394.0
2020-09-01,1215.938,10924.0,10924.0
2020-10-01,992.542,8917.0,8917.0
2020-11-01,1109.627,9969.0,9969.0
2020-12-01,1251.748,11246.0,11246.0
2021-01-01,1937.007,14247.0,14247.0
2021-02-01,1784.594,13127.0,13127.0
2021-03-01,1991.852,14651.0,14651.0
2021-04-01,1528.714,11244.0,11244.0
2021-05-01,1708.773,12568.0,12568.0
2021-06-01,2195.742,16150.0,16150.0
2021-07-01,2236.522,16450.0,16450.0
2021-08-01,2405.366,17692.0,17692.0
2021-09-01,2023.877,14886.0,14886.0
2021-10-01,1744.451,12831.0,12831.0
2021-11-01,2400.133,17653.0,17653.0
2021-12-01,2070.969,15233.0,15233.0
2022-01-01,1899.138,15298.0,15298.0
2022-02-01,1535.88,12374.0,12374.0
2022-03-01,1969.611,15868.0,15868.0
2022-04-01,1558.621,12557.0,12557.0
2022-05-01,1644.18,13247.0,13247.0
2022-06-01,2123.596,17109.0,17109.0
2022-07-01,2520.142,20304.0,20304.0
2022-08-01,2553.994,20576.0,20576.0
2022-09-01,2258.228,18193.0,18193.0
2022-10-01,1803.728,14532.0,14532.0
2022-11-01,1987.006,16008.0,16008.0
2022-12-01,1660.876,13381.0,13381.0
2023-01-01,1710.938,14818.0,14818.0
2023-02-01,1467.285,12708.0,12708.0
2023-03-01,1851.019,16031.0,16031.0
2023-04-01,1745.89,15121.0,15121.0
2023-05-01,1381.77,11968.0,11968.0
2023-06-01,2071.332,17940.0,17940.0
2023-07-01,2092.503,18123.0,18123.0
2023-08-01,1889.458,16364.0,16364.0
2023-09-01,1788.469,15489.0,15489.0
2023-10-01,1542.416,13359.0,13359.0
2023-11-01,1831.354,15862.0,15862.0
2023-12-01,1770.566,15335.0,15335.0
2024-01-01,1895.0,15871.0,15871.0
2024-02-01,2024.0,14929.0,14929.0
2024-03-01,1889.0,16069.0,16069.0
2024-04-01,1751.0,15383.0,15383.0
2024-05-01,809.0,11291.0,11291.0
2024-06-01,1652.0,9751.0,9751.0
2024-07-01,653.0,11238.0,11238.0
2024-08-01,1587.0,13217.0,13217.0
2024-09-01,1716.0,14944.0,14944.0
2024-10-01,1763.0,15460.0,15460.0
2024-11-01,790.0,9367.0,9367.0
2024-12-01,1140.0,8554.0,8554.0
