measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Lignite Coal Generation,Lignite Coal Quantity Consumed For Electricity,Lignite Coal Total Fuel Consumed
2011-01-01,0.0,0.0,0.0,420842.0,4369310.0,4369310.0
2011-02-01,76.568,719.0,719.0,355010.43,3334586.0,3334586.0
2011-03-01,20.661,226.0,226.0,321372.34,3518454.0,3518454.0
2011-04-01,974.542,10579.0,10579.0,121501.46,1318967.0,1318967.0
2011-05-01,0.555,6.0,6.0,422414.45,4411373.0,4411373.0
2011-06-01,1075.721,11113.0,11113.0,345540.28,3569625.0,3569625.0
2011-07-01,759.824,8213.0,8213.0,392056.18,4237662.0,4237662.0
2011-08-01,817.257,9071.0,9071.0,418533.74,4645546.0,4645546.0
2011-09-01,548.745,5997.0,5997.0,402422.26,4398051.0,4398051.0
2011-10-01,0.0,0.0,0.0,412594.0,4517235.0,4517235.0
2011-11-01,2077.237,22637.0,22637.0,196977.76,2146633.0,2146633.0
2011-12-01,3681.249,45112.0,45112.0,195385.75,2394383.0,2394383.0
2012-01-01,1032.203,10515.0,10515.0,419585.8,4274463.0,4274463.0
2012-02-01,823.973,11739.0,11739.0,351721.03,5010994.0,5010994.0
2012-03-01,1537.595,15759.0,15759.0,336686.41,3450652.0,3450652.0
2012-04-01,308.108,3265.0,3265.0,65288.892,691946.0,691946.0
2012-05-01,2424.546,26367.0,26367.0,294850.45,3206482.0,3206482.0
2012-06-01,0.0,0.0,0.0,418551.0,4667066.0,4667066.0
2012-07-01,307.861,3428.0,3428.0,405478.14,4514688.0,4514688.0
2012-08-01,466.093,5150.0,5150.0,412226.91,4555176.0,4555176.0
2012-09-01,1539.734,16501.0,16501.0,374030.27,4008401.0,4008401.0
2012-10-01,412.91,4443.0,4443.0,426448.09,4588467.0,4588467.0
2012-11-01,0.0,0.0,0.0,422913.0,4486896.0,4486896.0
2012-12-01,0.0,0.0,0.0,436108.0,4723604.0,4723604.0
2013-01-01,3296.215,36865.0,36865.0,321350.79,3593980.0,3593980.0
2013-02-01,650.941,7186.0,7186.0,350308.06,3867299.0,3867299.0
2013-03-01,0.0,0.0,0.0,440434.0,4636531.0,4636531.0
2013-04-01,121.392,1276.0,1276.0,363388.61,3819711.0,3819711.0
2013-05-01,1544.297,18183.0,18183.0,97761.703,1151074.0,1151074.0
2013-06-01,0.0,0.0,0.0,433328.0,4603492.0,4603492.0
2013-07-01,611.223,6624.0,6624.0,431615.78,4677264.0,4677264.0
2013-08-01,486.173,5313.0,5313.0,417982.83,4567635.0,4567635.0
2013-09-01,2142.469,22980.0,22980.0,413037.53,4430139.0,4430139.0
2013-10-01,101.601,1061.0,1061.0,417613.4,4362709.0,4362709.0
2013-11-01,1879.272,20074.0,20074.0,390046.73,4166358.0,4166358.0
2013-12-01,7.624,81.0,81.0,448044.38,4771802.0,4771802.0
2014-01-01,278.575,2894.0,2894.0,422134.43,4385689.0,4385689.0
2014-02-01,329.188,3573.0,3573.0,376984.81,4091554.0,4091554.0
2014-03-01,0.536,6.0,6.0,426836.46,4620799.0,4620799.0
2014-04-01,0.544,6.0,6.0,221085.46,2355394.0,2355394.0
2014-05-01,0.502,6.0,6.0,99592.498,1151390.0,1151390.0
2014-06-01,2237.692,25590.0,25590.0,241108.31,2757245.0,2757245.0
2014-07-01,1.655,17.0,17.0,447010.35,4699848.0,4699848.0
2014-08-01,752.105,7969.0,7969.0,403351.9,4273858.0,4273858.0
2014-09-01,2837.147,31709.0,31709.0,328557.85,3672037.0,3672037.0
2014-10-01,0.0,0.0,0.0,443195.0,4786623.0,4786623.0
2014-11-01,104.085,1148.0,1148.0,351221.92,3875131.0,3875131.0
2014-12-01,262.334,2813.0,2813.0,420913.67,4513451.0,4513451.0
2015-01-01,797.123,8799.0,8799.0,360926.88,3983891.0,3983891.0
2015-02-01,971.951,10747.0,10747.0,310441.05,3432718.0,3432718.0
2015-03-01,4307.852,47659.0,47659.0,282567.15,3126095.0,3126095.0
2015-04-01,1443.436,17069.0,17069.0,173558.56,2052423.0,2052423.0
2015-05-01,1285.079,16478.0,16478.0,66282.921,849906.0,849906.0
2015-06-01,1353.026,13520.0,13520.0,375748.97,3754584.0,3754584.0
2015-07-01,0.0,0.0,0.0,436571.0,4259699.0,4259699.0
2015-08-01,1014.674,10643.0,10643.0,357751.33,3752482.0,3752482.0
2015-09-01,357.191,3776.0,3776.0,410533.81,4339678.0,4339678.0
2015-10-01,530.829,5672.0,5672.0,368775.17,3940705.0,3940705.0
2015-11-01,15.644,180.0,180.0,51166.356,588081.0,588081.0
2015-12-01,731.226,8335.0,8335.0,198685.77,2264645.0,2264645.0
2016-01-01,0.558,6.0,6.0,436128.44,4532712.0,4532712.0
