measured_on,"Electricity used for energy storage-Energy Storage, Battery Generation","Electricity used for energy storage-Energy Storage, Battery Quantity Consumed For Electricity","Electricity used for energy storage-Energy Storage, Battery Total Fuel Consumed",Solar-Photovoltaic Generation,Solar-Photovoltaic Quantity Consumed For Electricity,Solar-Photovoltaic Total Fuel Consumed
2019-12-01,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01,-7.308,0.0,0.0,248.918,2182.0,2182.0
2020-02-01,-6.219,0.0,0.0,326.044,2858.0,2858.0
2020-03-01,-6.901,0.0,0.0,496.104,4349.0,4349.0
2020-04-01,-6.757,0.0,0.0,475.666,4170.0,4170.0
2020-05-01,-6.964,0.0,0.0,670.598,5879.0,5879.0
2020-06-01,-5.116,0.0,0.0,633.578,5555.0,5555.0
2020-07-01,-6.686,0.0,0.0,623.938,5470.0,5470.0
2020-08-01,-7.009,0.0,0.0,589.81,5171.0,5171.0
2020-09-01,-6.924,0.0,0.0,512.107,4490.0,4490.0
2020-10-01,-7.134,0.0,0.0,372.319,3264.0,3264.0
2020-11-01,-6.969,0.0,0.0,266.273,2334.0,2334.0
2020-12-01,-7.013,0.0,0.0,202.645,1777.0,1777.0
2021-01-01,0.0,0.0,0.0,259.39,2294.0,2294.0
2021-02-01,0.0,0.0,0.0,204.879,1812.0,1812.0
2021-03-01,0.0,0.0,0.0,648.479,5735.0,5735.0
2021-04-01,0.0,0.0,0.0,524.862,4642.0,4642.0
2021-05-01,0.0,0.0,0.0,652.329,5769.0,5769.0
2021-06-01,0.0,0.0,0.0,676.242,5981.0,5981.0
2021-07-01,0.0,0.0,0.0,532.158,4706.0,4706.0
2021-08-01,0.0,0.0,0.0,536.413,4744.0,4744.0
2021-09-01,0.0,0.0,0.0,498.518,4409.0,4409.0
2021-10-01,0.0,0.0,0.0,368.417,3258.0,3258.0
2021-11-01,0.0,0.0,0.0,364.364,3222.0,3222.0
2021-12-01,0.0,0.0,0.0,194.949,1724.0,1724.0
2022-01-01,-11.353,0.0,0.0,466.92,1593.0,1593.0
2022-02-01,-9.421,0.0,0.0,307.276,1048.0,1048.0
2022-03-01,-9.743,0.0,0.0,458.59,1565.0,1565.0
2022-04-01,-11.663,0.0,0.0,560.305,1912.0,1912.0
2022-05-01,-11.665,0.0,0.0,630.633,2152.0,2152.0
2022-06-01,-11.852,0.0,0.0,634.314,2164.0,2164.0
2022-07-01,-11.352,0.0,0.0,700.187,2389.0,2389.0
2022-08-01,-11.122,0.0,0.0,617.653,2107.0,2107.0
2022-09-01,-11.336,0.0,0.0,512.063,1747.0,1747.0
2022-10-01,-11.692,0.0,0.0,405.891,1385.0,1385.0
2022-11-01,-11.276,0.0,0.0,334.788,1142.0,1142.0
2022-12-01,-11.525,0.0,0.0,217.38,742.0,742.0
2023-01-01,-6.0,0.0,0.0,168.0,573.0,573.0
2023-02-01,-8.0,0.0,0.0,292.0,996.0,996.0
2023-03-01,-15.0,0.0,0.0,487.0,1662.0,1662.0
2023-04-01,-16.0,0.0,0.0,532.0,1815.0,1815.0
2023-05-01,-19.0,0.0,0.0,753.0,2569.0,2569.0
2023-06-01,-20.0,0.0,0.0,549.0,1873.0,1873.0
2023-07-01,-19.0,0.0,0.0,609.0,2078.0,2078.0
2023-08-01,-15.0,0.0,0.0,452.0,1542.0,1542.0
2023-09-01,-14.0,0.0,0.0,477.0,1628.0,1628.0
2023-10-01,-15.0,0.0,0.0,404.0,1378.0,1378.0
2023-11-01,-14.0,0.0,0.0,342.0,1167.0,1167.0
2023-12-01,-11.0,0.0,0.0,210.0,717.0,717.0
2024-01-01,-10.0,0.0,0.0,137.0,467.0,467.0
2024-02-01,-14.0,0.0,0.0,417.0,1423.0,1423.0
2024-03-01,-16.0,0.0,0.0,453.0,1546.0,1546.0
2024-04-01,-14.0,0.0,0.0,530.0,1808.0,1808.0
2024-05-01,-17.0,0.0,0.0,609.0,2078.0,2078.0
2024-06-01,-17.0,0.0,0.0,628.0,2143.0,2143.0
2024-07-01,-15.0,0.0,0.0,656.0,2238.0,2238.0
2024-08-01,-15.0,0.0,0.0,548.0,1870.0,1870.0
2024-09-01,-15.0,0.0,0.0,539.0,1839.0,1839.0
2024-10-01,-16.0,0.0,0.0,465.0,1587.0,1587.0
2024-11-01,-14.0,0.0,0.0,348.0,1187.0,1187.0
2024-12-01,-7.0,0.0,0.0,225.0,768.0,768.0
