measured_on,"Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed","Other Biomass Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Generation","Other Biomass Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Quantity Consumed For Electricity","Other Biomass Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Total Fuel Consumed"
2003-01-01,16.7,163.0,165.0,195.114,1905.0,1929.0
2003-02-01,16.011,156.0,158.0,187.065,1827.0,1849.0
2003-03-01,16.178,158.0,160.0,189.014,1846.0,1869.0
2003-04-01,14.79,144.0,146.0,172.79600000000002,1687.0,1708.0
2003-05-01,15.054,147.0,148.0,175.883,1717.0,1739.0
2003-06-01,15.73,153.0,155.0,183.785,1795.0,1817.0
2003-07-01,18.212,177.0,180.0,212.77700000000002,2078.0,2103.0
2003-08-01,19.488,190.0,192.0,227.687,2223.0,2251.0
2003-09-01,16.618000000000002,162.0,164.0,194.16,1896.0,1919.0
2003-10-01,16.186,158.0,160.0,189.11200000000002,1847.0,1870.0
2003-11-01,16.275,159.0,160.0,190.15300000000002,1857.0,1880.0
2003-12-01,17.756,173.0,175.0,207.454,2026.0,2051.0
2004-01-01,50.9161,489.72,671.68,259.0349,2491.43,3417.16
2004-02-01,33.09975,318.36,436.77,258.96025,2490.72,3417.16
2004-03-01,0.27765999999999996,2.67,3.67,258.79534,2489.12,3417.16
2004-04-01,6.39398,61.5,84.42,258.82902,2489.45,3417.16
2004-05-01,1.1122,10.7,14.69,258.7988,2489.17,3417.16
2004-06-01,28.925359999999998,278.21,381.72,258.94064,2490.53,3417.16
2004-07-01,26.69946,256.8,352.36,258.93054,2490.43,3417.16
2004-08-01,9.17454,88.24,121.12,258.84346,2489.59,3417.16
2004-09-01,28.925359999999998,278.21,381.72,258.94064,2490.53,3417.16
2004-10-01,3.05754,29.41,40.37,258.81046,2489.28,3417.16
2004-11-01,0.0,0.0,0.0,258.793,2489.11,3417.16
2004-12-01,7.50646,72.2,99.1,258.83454,2489.51,3417.16
2005-01-01,3.7560499999999997,36.13,158.82,327.43595,3149.32,13845.45
2005-02-01,3.32992,32.03,140.8,292.09808,2809.44,12351.23
2005-03-01,3.9736499999999997,38.22,168.02,333.61735,3208.77,14106.81
2005-04-01,4.07397,39.18,172.27,332.92703,3202.13,14077.65
2005-05-01,3.30508,31.79,139.75,366.00491999999997,3520.27,15476.33
2005-06-01,5.62273,54.08,237.75,362.60527,3487.58,15332.57
2005-07-01,7.245769999999999,69.69,306.38,375.45823,3611.2,15876.06
2005-08-01,7.74668,74.51,327.56,373.76232,3594.89,15804.3
2005-09-01,5.12446,49.29,216.69,352.08054,3386.36,14887.55
2005-10-01,3.5439399999999996,34.09,149.85,355.39906,3418.27,15027.87
2005-11-01,3.18111,30.6,134.51,357.94689,3442.78,15135.61
2005-12-01,3.43693,33.06,145.33,358.74507,3450.46,15169.36
2006-01-01,1.27941,12.31,66.31,171.76659,1652.07,8902.6
2006-02-01,1.2757,12.27,66.12,153.83530000000002,1479.6,7973.24
2006-03-01,1.3917599999999999,13.39,72.13,138.10924,1328.35,7158.2
2006-04-01,1.17017,11.25,60.65,125.56383,1207.69,6507.97
2006-05-01,1.13506,10.92,58.83,146.13194,1405.51,7573.99
2006-06-01,1.45203,13.97,75.26,99.38696999999999,955.93,5151.24
2006-07-01,2.17436,20.91,112.7,131.82564,1267.91,6832.48
2006-08-01,2.04718,19.69,106.1,129.57582,1246.27,6715.85
2006-09-01,1.45204,13.97,75.26,120.49396,1158.93,6245.17
2006-10-01,1.6194000000000002,15.58,83.93,138.07760000000002,1328.05,7156.53
2006-11-01,1.39293,13.4,72.2,151.66207,1458.71,7860.63
2006-12-01,1.36113,13.09,70.55,155.53987,1496.0,8061.63
2007-01-01,2.133,20.0,109.0,256.988,2472.0,13149.0
2007-02-01,3.192,31.0,163.0,209.65300000000002,2016.0,10727.0
2007-03-01,2.405,23.0,123.0,285.446,2745.0,14605.0
2007-04-01,1.93,18.0,99.0,287.236,2763.0,14696.0
2007-05-01,1.6420000000000001,15.0,84.0,300.785,2893.0,15390.0
2007-06-01,2.2920000000000003,22.0,117.0,265.088,2549.0,13563.0
2007-07-01,2.552,24.0,131.0,229.13600000000002,2204.0,11724.0
2007-08-01,3.6980000000000004,36.0,190.0,322.923,3106.0,16523.0
2007-09-01,1.429,13.0,73.0,223.93800000000002,2154.0,11458.0
2007-10-01,2.093,20.0,107.0,223.485,2150.0,11434.0
2007-11-01,1.354,13.0,69.0,267.098,2569.0,13666.0
2007-12-01,1.834,17.0,94.0,260.211,2503.0,13314.0
2008-01-01,0.021,0.0,1.0,13.700000000000001,316.0,1844.0
2008-02-01,0.023,1.0,3.0,15.005,346.0,2020.0
2008-03-01,0.021,0.0,3.0,13.129000000000001,303.0,1768.0
2008-04-01,0.01,0.0,1.0,15.285,352.0,2058.0
2008-05-01,0.007,0.0,1.0,10.56,243.0,1422.0
2008-06-01,0.012,0.0,2.0,11.301,260.0,1522.0
2008-07-01,0.022000000000000002,1.0,3.0,13.344000000000001,308.0,1797.0
2008-08-01,0.019,0.0,3.0,9.324,215.0,1256.0
2008-09-01,0.012,0.0,2.0,12.496,288.0,1683.0
2008-10-01,0.02,0.0,3.0,12.558,289.0,1691.0
2008-11-01,0.008,0.0,1.0,8.194,189.0,1104.0
2008-12-01,0.013000000000000001,0.0,2.0,10.916,252.0,1470.0
