measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed"
2003-01-01,7011.0,81664.0,81664.0,,,,7903.0,125490.0,125490.0
2003-02-01,5288.0,60198.0,60198.0,,,,6919.0,114030.0,114030.0
2003-03-01,5544.0,63156.0,63156.0,,,,8543.0,118005.0,118005.0
2003-04-01,5137.0,59473.0,59473.0,,,,7550.0,122050.0,122050.0
2003-05-01,4885.0,58547.0,58547.0,,,,7930.0,128759.0,128759.0
2003-06-01,2308.0,29605.0,29605.0,,,,5079.0,84842.0,84842.0
2003-07-01,2674.0,32470.0,32470.0,,,,6652.0,108417.0,108417.0
2003-08-01,2043.0,28655.0,28655.0,,,,250.0,4089.0,4089.0
2003-09-01,4124.0,49283.0,49283.0,,,,7514.0,119278.0,119278.0
2003-10-01,2371.0,29095.0,29095.0,,,,7535.0,123140.0,123140.0
2003-11-01,2358.0,30284.0,30284.0,,,,5291.0,86814.0,86814.0
2003-12-01,1392.0,18564.0,18564.0,,,,6720.0,107598.0,107598.0
2004-01-01,2516.6490000000003,33297.0,33297.0,,,,5550.499000000001,90191.0,90191.0
2004-02-01,1723.134,22798.0,22798.0,,,,5080.959,82562.0,82562.0
2004-03-01,1581.092,20919.0,20919.0,,,,5501.0,89387.0,89387.0
2004-04-01,1457.476,19283.0,19283.0,,,,5635.058,91565.0,91565.0
2004-05-01,3272.877,43302.0,43302.0,,,,6428.485000000001,104458.0,104458.0
2004-06-01,3510.952,46452.0,46452.0,,,,5664.192,92039.0,92039.0
2004-07-01,3557.826,47072.0,47072.0,,,,6144.787,99848.0,99848.0
2004-08-01,3448.88,45631.0,45631.0,,,,6381.678,103697.0,103697.0
2004-09-01,4633.794,61308.0,61308.0,,,,6106.629,99228.0,99228.0
2004-10-01,2151.888,28471.0,28471.0,,,,6226.263,101172.0,101172.0
2004-11-01,1666.365,22047.0,22047.0,,,,6031.952,98015.0,98015.0
2004-12-01,1332.068,17624.0,17624.0,,,,5871.4980000000005,95407.0,95407.0
2005-01-01,2630.1530000000002,34068.66,34068.66,,,,5750.057000000001,91644.53,91644.53
2005-02-01,1334.872,17290.75,17290.75,,,,4628.868,73774.99,73774.99
2005-03-01,1615.573,20926.7,20926.7,,,,5406.081,86162.23,86162.23
2005-04-01,1683.46,21806.04,21806.04,,,,5311.218,84650.31,84650.31
2005-05-01,1983.6680000000001,25694.68,25694.68,,,,6205.044,98896.13,98896.13
