measured_on,"Gaseous Propane-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Gaseous Propane-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Gaseous Propane-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,0.0,0.0,0.0,13753.0,344658.0,344658.0
2003-03-01,5.0,125.0,125.0,12771.0,321759.0,321759.0
2003-04-01,0.0,0.0,0.0,14437.0,364752.0,364752.0
2003-05-01,6.0,163.0,163.0,12362.0,312103.0,312103.0
2003-06-01,7.0,165.0,165.0,12835.0,324581.0,324581.0
2003-07-01,0.0,0.0,0.0,11309.0,303586.0,303586.0
2003-08-01,10.0,250.0,250.0,12544.0,321606.0,321606.0
2003-09-01,0.0,0.0,0.0,13661.0,350710.0,350710.0
2003-10-01,0.0,0.0,0.0,14218.0,358326.0,358326.0
2003-11-01,4.0,120.0,120.0,5784.0,162146.0,162146.0
2003-12-01,0.0,0.0,0.0,7616.0,212993.0,212993.0
2004-01-01,,,,7294.0,117106.0,117106.0
2004-02-01,,,,12439.0,194953.0,194953.0
2004-03-01,,,,11043.0,182029.0,182029.0
2004-04-01,,,,9286.0,147869.0,147869.0
2004-05-01,,,,9325.0,129336.0,129336.0
2004-06-01,,,,10533.0,147971.0,147971.0
2004-07-01,,,,11960.0,164669.0,164669.0
2004-08-01,,,,9758.0,139852.0,139852.0
2004-09-01,,,,9325.0,155407.0,155407.0
2004-10-01,,,,10836.0,148135.0,148135.0
2004-11-01,,,,9311.0,132151.0,132151.0
2004-12-01,,,,13080.0,183070.0,183070.0
2005-01-01,16.0,180.0,180.0,9506.0,262344.0,262344.0
2005-02-01,4.0,115.0,115.0,5972.0,169966.0,169966.0
2005-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2005-04-01,8.0,122.5,122.5,9110.0,142851.0,142851.0
2005-05-01,0.0,0.0,0.0,14206.0,217861.8,217861.8
2005-06-01,5.0,82.5,82.5,12284.0,187516.8,187516.8
2005-07-01,0.0,0.0,0.0,16836.0,367472.0,367472.0
2005-08-01,0.0,0.0,0.0,15744.0,384659.0,384659.0
2005-09-01,0.0,0.0,0.0,16929.0,248094.6,248094.6
2005-10-01,0.0,0.0,0.0,16007.0,234273.6,234273.6
2005-11-01,0.0,0.0,0.0,13536.0,199971.0,199971.0
2005-12-01,0.0,0.0,0.0,17394.0,256040.4,256040.4
2006-01-01,0.0,0.0,0.0,15490.0,201699.0,201699.0
2006-02-01,0.0,0.0,0.0,15762.0,204759.0,204759.0
2006-03-01,0.0,0.0,0.0,16359.0,212589.0,212589.0
2006-04-01,0.0,0.0,0.0,11316.0,147546.0,147546.0
2006-05-01,0.0,0.0,0.0,13680.0,179577.0,179577.0
2006-06-01,0.0,0.0,0.0,15945.0,209691.0,209691.0
2006-07-01,0.0,0.0,0.0,16727.0,219492.0,219492.0
2006-08-01,0.0,0.0,0.0,16468.0,217404.0,217404.0
2006-09-01,0.0,0.0,0.0,15960.0,210636.0,210636.0
2006-10-01,0.0,0.0,0.0,9594.0,127314.0,127314.0
2006-11-01,0.0,0.0,0.0,16698.0,217809.0,217809.0
