measured_on,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Wood Waste Solids Generation,Wood Waste Solids Quantity Consumed For Electricity,Wood Waste Solids Total Fuel Consumed
2001-01-01,990.595,16460.0,16460.0,12327.405,204832.0,204832.0
2001-02-01,920.306,15292.0,15292.0,11452.694,190298.0,190298.0
2001-03-01,474.992,7892.0,7892.0,5911.008000000001,98217.0,98217.0
2001-04-01,361.636,6009.0,6009.0,4500.3640000000005,74778.0,74778.0
2001-05-01,1036.86,17228.0,17228.0,12903.14,214399.0,214399.0
2001-06-01,826.884,13740.0,13740.0,10290.116,170981.0,170981.0
2001-07-01,958.6120000000001,15928.0,15928.0,11929.388,198219.0,198219.0
2001-08-01,853.884,14188.0,14188.0,10626.116,176564.0,176564.0
2001-09-01,893.975,14854.0,14854.0,11125.025,184853.0,184853.0
2001-10-01,953.628,15845.0,15845.0,11867.372,197188.0,197188.0
2001-11-01,918.893,15268.0,15268.0,11435.107,190006.0,190006.0
2001-12-01,743.8760000000001,12360.0,12360.0,9257.124,153816.0,153816.0
2002-01-01,323.62100000000004,5997.0,5997.0,3615.53,67088.0,67088.0
2002-02-01,366.835,11259.0,11259.0,6373.511,195350.0,195350.0
2002-03-01,464.785,9382.0,9382.0,4460.594,89968.0,89968.0
2002-04-01,688.535,12676.0,12676.0,2928.915,53968.0,53968.0
2002-05-01,1267.596,25215.0,25215.0,7981.053000000001,158720.0,158720.0
2002-06-01,577.14,19228.0,19228.0,11228.788,374325.0,374325.0
2002-07-01,432.135,14242.0,14242.0,10531.61,347200.0,347200.0
2002-08-01,746.153,14799.0,14799.0,12305.284,244096.0,244096.0
2002-09-01,327.462,6366.0,6366.0,11775.199,228864.0,228864.0
2002-10-01,72.02300000000001,1672.0,1672.0,9991.922,232736.0,232736.0
2002-11-01,175.735,4124.0,4124.0,9599.159,225376.0,225376.0
2002-12-01,335.145,7470.0,7470.0,4404.896000000001,98176.0,98176.0
2003-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2003-02-01,307.0,8416.0,8416.0,3606.0,98800.0,98800.0
2003-03-01,1601.0,38098.0,38098.0,7963.0,189544.0,189544.0
2003-04-01,2215.0,48976.0,48976.0,8803.0,194656.0,194656.0
2003-05-01,2082.0,47825.0,47825.0,8447.0,194072.0,194072.0
2003-06-01,1532.0,31485.0,31485.0,9433.0,193936.0,193936.0
2003-07-01,1303.0,27092.0,27092.0,9784.0,203392.0,203392.0
2003-08-01,1160.0,23031.0,23031.0,9405.0,186656.0,186656.0
2003-09-01,21.0,379.0,379.0,112.0,1984.0,1984.0
2003-10-01,648.0,12657.0,12657.0,6493.0,126800.0,126800.0
2003-11-01,975.0,19170.0,19170.0,10097.0,198456.0,198456.0
2003-12-01,1341.0,27388.0,27388.0,8782.0,179320.0,179320.0
2004-01-01,145.28300000000002,3061.0,3061.0,8975.895,189141.0,189141.0
2004-02-01,181.175,3818.0,3818.0,7956.659000000001,167663.0,167663.0
2004-03-01,229.952,4846.0,4846.0,8424.474,177521.0,177521.0
2004-04-01,220.256,4641.0,4641.0,7822.887000000001,164844.0,164844.0
2004-05-01,250.776,5284.0,5284.0,7432.8330000000005,156625.0,156625.0
2004-06-01,216.63400000000001,4565.0,4565.0,8861.117,186722.0,186722.0
2004-07-01,416.456,8776.0,8776.0,9368.129,197406.0,197406.0
2004-08-01,389.68,8212.0,8212.0,9254.964,195021.0,195021.0
2004-09-01,348.226,7338.0,7338.0,8809.165,185627.0,185627.0
2004-10-01,249.441,5256.0,5256.0,8876.433,187045.0,187045.0
2004-11-01,246.292,5190.0,5190.0,7659.383000000001,161399.0,161399.0
2004-12-01,210.829,4443.0,4443.0,8792.06,185267.0,185267.0
2005-01-01,154.97400000000002,3239.96,3239.96,7315.812,152971.85,152971.85
2005-02-01,139.881,2924.41,2924.41,6584.001,137669.86,137669.86
