measured_on,Solar Generation,Solar Quantity Consumed For Electricity,Solar Total Fuel Consumed
2024-01-01,0.0,0.0,0.0
2024-02-01,0.0,0.0,0.0
2024-03-01,0.0,0.0,0.0
2024-04-01,0.0,0.0,0.0
2024-05-01,0.0,0.0,0.0
2024-06-01,270.0,921.0,921.0
2024-07-01,501.0,1709.0,1709.0
2024-08-01,532.0,1815.0,1815.0
2024-09-01,570.0,1945.0,1945.0
2024-10-01,436.0,1488.0,1488.0
2024-11-01,308.0,1051.0,1051.0
2024-12-01,282.0,962.0,962.0
