measured_on,"Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2010-01-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2010-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2010-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2010-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2010-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2010-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2010-07-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2010-08-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2010-09-01,6413.715,75961.0,265911.0,,,,1482.832,17562.0,61478.0
2010-10-01,15078.508,178583.0,665155.0,,,,4811.226000000001,56982.0,212237.0
2010-11-01,13035.171,154382.0,468710.0,,,,4204.135,49792.0,151170.0
2010-12-01,20400.296,241611.0,695311.0,,,,6987.46,82756.0,238156.0
2011-01-01,19747.229,233877.0,688149.0,,,,6884.771,81540.0,239920.0
2011-02-01,16254.195,192507.0,584811.0,,,,5784.69,68511.0,208128.0
2011-03-01,19833.788,234902.0,692457.0,,,,6560.058,77694.0,229031.0
2011-04-01,16350.883,193652.0,649970.0,,,,5574.687,66024.0,221601.0
2011-05-01,14831.841,175661.0,676948.0,,,,3704.83,43878.0,169094.0
2011-06-01,15367.37,182004.0,603228.0,,,,4545.411,53834.0,178425.0
2011-07-01,17301.728,204913.0,654870.0,,,,4524.931,53591.0,171268.0
2011-08-01,18826.287,222970.0,667525.0,,,,5160.086,61114.0,182961.0
2011-09-01,13453.309,159335.0,539685.0,,,,4936.436,58465.0,198027.0
2011-10-01,19562.769,231692.0,679264.0,,,,6621.731,78425.0,229922.0
2011-11-01,13716.763,162455.0,506944.0,,,,5056.142,59883.0,186865.0
2011-12-01,19483.382,230752.0,677379.0,,,,7154.38,84733.0,248736.0
2012-01-01,17526.135,207571.0,619329.0,,,,6923.103,81994.0,244645.0
2012-02-01,18450.904,218524.0,647923.0,,,,6430.469,76159.0,225813.0
2012-03-01,18635.481,220710.0,672055.0,,,,5341.289,63260.0,192624.0
2012-04-01,18697.192,221441.0,662182.0,,,,5253.65,62222.0,186064.0
2012-05-01,15445.389,182928.0,696333.0,,,,3605.042,42696.0,162528.0
2012-06-01,0.0,204620.0,620155.0,,,,0.0,63028.0,191024.0
2012-07-01,0.0,189952.0,592209.0,,,,0.0,53984.0,168304.0
2012-08-01,0.0,219608.0,664934.0,,,,0.0,56844.0,172112.0
2012-09-01,0.0,153390.0,544949.0,,,,0.0,45018.0,159936.0
2012-10-01,0.0,225386.0,658676.0,,,,0.0,65578.0,191648.0
2012-11-01,0.0,216386.0,632294.0,,,,0.0,66890.0,195456.0
2012-12-01,0.0,236015.0,687916.0,,,,0.0,72191.0,210416.0
2013-01-01,9386.443,111169.0,383326.0,,,,3980.933,47148.0,162574.0
2013-02-01,14927.021,176788.0,545644.0,,,,5645.486,66862.0,206366.0
2013-03-01,17917.465,212206.0,676144.0,,,,5564.751,65906.0,209995.0
2013-04-01,18503.237,219143.0,680780.0,,,,5075.969,60117.0,186758.0
2013-05-01,15533.586,183972.0,680232.0,,,,3793.412,44927.0,166118.0
2013-06-01,17016.508,201535.0,670204.0,,,,3851.771,45619.0,151704.0
2013-07-01,13940.208,165101.0,695522.0,,,,2532.778,29997.0,126368.0
2013-08-01,17993.0,213100.0,712071.0,,,,4485.702,53127.0,177521.0
2013-09-01,14269.197,168998.0,581483.0,,,,4718.815,55887.0,192296.0
2013-10-01,17951.928,212614.0,705331.0,,,,4995.401,59163.0,196269.0
2013-11-01,18238.063,216003.0,671958.0,,,,5978.782,70810.0,220280.0
2013-12-01,19243.076,227906.0,683411.0,,,,6140.534,72726.0,218079.0
2014-01-01,17483.982,207072.0,694809.0,0.0,0.0,0.0,6048.17,71632.0,240353.0
2014-02-01,16841.669,199465.0,649490.0,0.0,0.0,0.0,5405.601,64021.0,208464.0
2014-03-01,13024.085,154251.0,489967.0,0.0,0.0,0.0,4506.192,53369.0,169523.0
2014-04-01,16822.176,199234.0,749125.0,0.0,0.0,0.0,4599.236,54471.0,204813.0
2014-05-01,17837.197,211255.0,670841.0,0.558,7.0,21.0,5407.267,64041.0,203362.0
2014-06-01,16883.109,199955.0,696510.0,0.218,3.0,9.0,4835.778,57273.0,199499.0
2014-07-01,0.0,179833.0,667462.0,0.0,2.0,8.0,0.0,47996.0,178139.0
2014-08-01,0.0,163217.0,691224.0,0.0,2.0,9.0,0.0,32698.0,138477.0
2014-09-01,16709.549,197900.0,661957.0,0.227,3.0,9.0,4351.524,51537.0,172388.0
2014-10-01,0.0,212985.0,681087.0,0.0,3.0,11.0,0.0,61074.0,195304.0
2014-11-01,0.0,194407.0,641465.0,0.0,4.0,12.0,0.0,60091.0,198276.0
2014-12-01,0.0,224715.0,688063.0,0.0,7.0,21.0,0.0,74260.0,227380.0
2015-01-01,0.0,229733.0,699617.0,0.0,8.0,23.0,0.0,69947.0,213011.0
2015-02-01,0.0,184527.0,602007.0,0.0,6.0,20.0,0.0,65817.0,214724.0
2015-03-01,0.0,141369.0,496223.0,0.0,9.0,31.0,0.0,49978.0,175429.0
2015-04-01,0.0,214971.0,670950.0,0.0,2.0,6.0,0.0,61763.0,192769.0
2015-05-01,0.0,222204.0,713787.0,0.0,2.0,7.0,0.0,58067.0,186529.0
2015-06-01,0.0,185462.0,647460.0,0.0,5.0,19.0,0.0,50882.0,177632.0
2015-07-01,0.0,194303.0,687736.0,0.0,4.0,14.0,0.0,46728.0,165396.0
2015-08-01,0.0,129605.0,651984.0,0.0,4.0,18.0,0.0,28924.0,145504.0
2015-09-01,0.0,174987.0,613071.0,0.0,7.0,23.0,0.0,49084.0,171968.0
2015-10-01,0.0,230846.0,715204.0,0.0,12.0,36.0,0.0,54750.0,169626.0
2015-11-01,0.0,201698.0,658197.0,0.0,4.0,12.0,0.0,53823.0,175639.0
2015-12-01,0.0,195792.0,655635.0,0.0,3.0,11.0,0.0,57102.0,191214.0
2016-01-01,15388.432,61434.0,652518.0,0.448,2.0,19.0,4552.71,18175.0,193049.0
2016-02-01,0.0,70784.0,635361.0,0.0,3.0,28.0,0.0,21490.0,192892.0
2016-03-01,0.0,49431.0,501346.0,0.0,2.0,19.0,0.0,16254.0,164854.0
2016-04-01,0.0,70975.0,649749.0,0.0,1.0,11.0,0.0,19361.0,177247.0
2016-05-01,0.0,74969.0,695093.0,0.0,2.0,21.0,0.0,17961.0,166532.0
2016-06-01,0.0,67498.0,666208.0,0.0,3.0,27.0,0.0,15691.0,154873.0
2016-07-01,0.0,70138.0,674383.0,0.0,2.0,23.0,0.0,15846.0,152356.0
2016-08-01,0.0,59456.0,636124.0,0.0,2.0,21.0,0.0,12605.0,134858.0
2016-09-01,0.0,70557.0,668334.0,0.0,3.0,25.0,0.0,14756.0,139770.0
2016-10-01,0.0,58670.0,630402.0,0.0,3.0,37.0,0.0,14929.0,160414.0
2016-11-01,0.0,63965.0,608438.0,0.0,2.0,20.0,0.0,17511.0,166567.0
2016-12-01,0.0,68809.0,651766.0,0.0,3.0,27.0,0.0,19237.0,182212.0
2017-01-01,0.0,71920.0,661049.0,0.0,4.0,36.0,0.0,21009.0,193102.0
2017-02-01,0.0,71437.0,657697.0,0.0,7.0,63.0,0.0,19381.0,178436.0
2017-03-01,0.0,77439.0,711493.0,0.0,2.0,15.0,0.0,21017.0,193102.0
2017-04-01,0.0,67689.0,654729.0,0.0,2.0,17.0,0.0,18173.0,175779.0
2017-05-01,0.0,53444.0,536147.0,0.0,1.0,8.0,0.0,13967.0,140120.0
2017-06-01,0.0,68783.0,662807.0,0.0,2.0,22.0,0.0,17313.0,166829.0
2017-07-01,0.0,71178.0,703745.0,0.0,2.0,15.0,0.0,16168.0,159855.0
2017-08-01,0.0,68632.0,677643.0,0.0,2.0,17.0,0.0,15785.0,155852.0
2017-09-01,0.0,21421.0,679072.0,0.0,1.0,16.0,0.0,3022.0,95790.0
2017-10-01,0.0,57961.0,587470.0,0.0,4.0,36.0,0.0,15401.0,156096.0
2017-11-01,0.0,66302.0,625111.0,0.0,3.0,27.0,0.0,17884.0,168612.0
2017-12-01,0.0,73329.0,668137.0,0.0,4.0,33.0,0.0,18761.0,170937.0
2018-01-01,0.0,53453.0,625767.0,0.0,3.0,34.0,0.0,16103.0,188522.0
2018-02-01,0.0,68590.0,654640.0,0.0,3.0,26.0,0.0,17677.0,168717.0
2018-03-01,0.0,70690.0,678958.0,0.0,3.0,32.0,0.0,17746.0,170447.0
2018-04-01,0.0,65847.0,665461.0,0.0,2.0,25.0,0.0,16686.0,168630.0
2018-05-01,0.0,63016.0,647351.0,0.0,2.0,22.0,0.0,15117.0,155292.0
2018-06-01,0.0,65295.0,667454.0,0.0,1.0,8.0,0.0,14246.0,145626.0
2018-07-01,0.0,71388.0,726340.0,0.0,2.0,17.0,0.0,14562.0,148160.0
2018-08-01,0.0,70004.0,706237.0,0.0,2.0,18.0,0.0,13404.0,135225.0
2018-09-01,0.0,46339.0,562381.0,0.0,2.0,23.0,0.0,6649.0,80688.0
2018-10-01,0.0,48286.0,454974.0,0.0,4.0,37.0,0.0,8944.0,84271.0
2018-11-01,0.0,36884.0,474052.0,0.0,6.0,73.0,0.0,10576.0,135924.0
2018-12-01,0.0,70470.0,704756.0,0.0,7.0,66.0,0.0,14801.0,148021.0
2019-01-01,0.0,74196.0,657492.0,0.0,8.0,67.0,0.0,16970.0,150380.0
2019-02-01,0.0,71444.0,631013.0,0.0,5.0,40.0,0.0,16634.0,146919.0
2019-03-01,0.0,68707.0,665570.0,0.0,3.0,33.0,0.0,18974.0,183802.0
2019-04-01,0.0,56278.0,628769.0,0.0,2.0,20.0,0.0,13659.0,152600.0
2019-05-01,0.0,47908.0,727898.0,0.0,0.0,1.0,0.0,6573.0,99863.0
