measured_on,Waste heat not directly attributed to a fuel source Generation,Waste heat not directly attributed to a fuel source Quantity Consumed For Electricity,Waste heat not directly attributed to a fuel source Total Fuel Consumed
2023-04-01,3364.803,11481.0,11481.0
2023-05-01,4040.807,13787.0,13787.0
2023-06-01,3422.122,11676.0,11676.0
2023-07-01,3126.234,10667.0,10667.0
2023-08-01,4126.466,14080.0,14080.0
2023-09-01,3849.109,13133.0,13133.0
2023-10-01,3851.279,13141.0,13141.0
2023-11-01,3592.786,12259.0,12259.0
2023-12-01,3556.394,12134.0,12134.0
2024-01-01,3995.778,13634.0,13634.0
2024-02-01,4507.849,15381.0,15381.0
2024-03-01,4779.233,16307.0,16307.0
2024-04-01,4566.853,15582.0,15582.0
2024-05-01,4810.064,16412.0,16412.0
2024-06-01,4398.849,15009.0,15009.0
2024-07-01,4346.753,14831.0,14831.0
2024-08-01,4501.767,15360.0,15360.0
2024-09-01,3917.805,13368.0,13368.0
2024-10-01,4470.548,15254.0,15254.0
2024-11-01,4161.736,14200.0,14200.0
2024-12-01,4732.765,16148.0,16148.0
