measured_on,"Electricity used for energy storage - Energy Storage, Battery - Other - Generation","Electricity used for energy storage - Energy Storage, Battery - Other - Quantity Consumed For Electricity","Electricity used for energy storage - Energy Storage, Battery - Other - Total Fuel Consumed","Wind - Wind Turbine, Onshore - Wind - Generation","Wind - Wind Turbine, Onshore - Wind - Quantity Consumed For Electricity","Wind - Wind Turbine, Onshore - Wind - Total Fuel Consumed"
2003-01-01,,,,206.514,2114.91,2114.91
2003-02-01,,,,178.228,1825.23,1825.23
2003-03-01,,,,168.33100000000002,1723.88,1723.88
2003-04-01,,,,164.55800000000002,1685.24,1685.24
2003-05-01,,,,173.00300000000001,1771.72,1771.72
2003-06-01,,,,181.888,1862.72,1862.72
2003-07-01,,,,202.67700000000002,2075.62,2075.62
2003-08-01,,,,211.01100000000002,2160.96,2160.96
2003-09-01,,,,172.59900000000002,1767.59,1767.59
2003-10-01,,,,173.496,1776.77,1776.77
2003-11-01,,,,173.434,1776.14,1776.14
2003-12-01,,,,200.26,2050.86,2050.86
2004-01-01,,,,1407.211,14103.07,14103.07
2004-02-01,,,,968.9060000000001,9710.38,9710.38
2004-03-01,,,,1056.59,10589.14,10589.14
2004-04-01,,,,1089.939,10923.37,10923.37
2004-05-01,,,,706.5360000000001,7080.9,7080.9
2004-06-01,,,,560.018,5612.5,5612.5
2004-07-01,,,,474.868,4759.13,4759.13
2004-08-01,,,,404.048,4049.37,4049.37
2004-09-01,,,,562.173,5634.1,5634.1
2004-10-01,,,,799.135,8008.93,8008.93
2004-11-01,,,,1007.019,10092.34,10092.34
2004-12-01,,,,1373.4080000000001,13764.29,13764.29
2005-01-01,,,,565.6560000000001,5655.99,5655.99
2005-02-01,,,,541.8720000000001,5418.18,5418.18
2005-03-01,,,,771.055,7709.78,7709.78
2005-04-01,,,,725.272,7252.0,7252.0
2005-05-01,,,,736.3960000000001,7363.22,7363.22
2005-06-01,,,,633.4390000000001,6333.76,6333.76
2005-07-01,,,,475.875,4758.28,4758.28
2005-08-01,,,,413.99800000000005,4139.57,4139.57
2005-09-01,,,,594.431,5943.72,5943.72
2005-10-01,,,,628.378,6283.15,6283.15
2005-11-01,,,,891.6890000000001,8916.0,8916.0
2005-12-01,,,,712.938,7128.67,7128.67
2006-01-01,,,,1034.621,10262.0,10262.0
2006-02-01,,,,841.0640000000001,8343.0,8343.0
2006-03-01,,,,858.94,8520.0,8520.0
2006-04-01,,,,863.238,8562.0,8562.0
2006-05-01,,,,812.443,8059.0,8059.0
2006-06-01,,,,545.102,5407.0,5407.0
2006-07-01,,,,555.947,5514.0,5514.0
2006-08-01,,,,481.151,4773.0,4773.0
2006-09-01,,,,587.489,5827.0,5827.0
2006-10-01,,,,833.884,8271.0,8271.0
2006-11-01,,,,941.6930000000001,9341.0,9341.0
2006-12-01,,,,1012.428,10042.0,10042.0
2007-01-01,,,,1066.3980000000001,10540.0,10540.0
2007-02-01,,,,992.1940000000001,9807.0,9807.0
2007-03-01,,,,922.856,9122.0,9122.0
2007-04-01,,,,810.594,8012.0,8012.0
2007-05-01,,,,467.525,4621.0,4621.0
2007-06-01,,,,405.949,4012.0,4012.0
2007-07-01,,,,316.279,3126.0,3126.0
2007-08-01,,,,301.16,2977.0,2977.0
2007-09-01,,,,352.483,3484.0,3484.0
2007-10-01,,,,619.9580000000001,6128.0,6128.0
2007-11-01,,,,617.091,6099.0,6099.0
2007-12-01,,,,821.514,8120.0,8120.0
