measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Jet Fuel Generation,Jet Fuel Quantity Consumed For Electricity,Jet Fuel Total Fuel Consumed,Kerosene Generation,Kerosene Quantity Consumed For Electricity,Kerosene Total Fuel Consumed,Waste/Other Oil Generation,Waste/Other Oil Quantity Consumed For Electricity,Waste/Other Oil Total Fuel Consumed
2001-01-01,,,,,,,,,,56.0,580.0,580.0
2001-02-01,,,,,,,,,,47.0,436.0,436.0
2001-03-01,,,,,,,,,,86.0,1226.0,1226.0
2001-04-01,,,,,,,,,,0.0,0.0,0.0
2001-05-01,,,,,,,,,,78.0,958.0,958.0
2001-06-01,,,,,,,,,,81.0,1016.0,1016.0
2001-07-01,,,,,,,,,,22.0,316.0,316.0
2001-08-01,,,,,,,,,,19.0,307.0,307.0
2001-09-01,,,,,,,,,,0.0,0.0,0.0
2001-10-01,,,,,,,,,,0.0,0.0,0.0
2001-11-01,,,,,,,,,,0.0,0.0,0.0
2001-12-01,,,,,,,,,,0.0,0.0,0.0
2002-01-01,,,,,,,58.0,1106.0,1106.0,,,
2002-02-01,,,,,,,37.0,499.0,499.0,,,
2002-03-01,,,,,,,0.0,0.0,0.0,,,
2002-04-01,,,,,,,25.0,301.0,301.0,,,
2002-05-01,,,,,,,0.0,0.0,0.0,,,
2002-06-01,,,,,,,0.0,0.0,0.0,,,
2002-07-01,,,,,,,0.0,0.0,0.0,,,
2002-08-01,,,,,,,0.0,0.0,0.0,,,
2002-09-01,,,,,,,0.0,12.0,12.0,,,
2002-10-01,,,,,,,0.0,0.0,0.0,,,
2002-11-01,,,,,,,0.0,0.0,0.0,,,
2002-12-01,,,,,,,12.0,255.0,255.0,,,
2003-01-01,,,,,,,51.0,737.0,737.0,,,
2003-02-01,,,,,,,0.0,0.0,0.0,,,
2003-03-01,,,,,,,28.0,374.0,374.0,,,
2003-04-01,,,,,,,102.0,1310.0,1310.0,,,
2003-05-01,,,,,,,34.0,448.0,448.0,,,
2003-06-01,,,,,,,3.0,39.0,39.0,,,
2003-07-01,,,,,,,5.0,102.0,102.0,,,
2003-08-01,,,,,,,155.82,2217.0,2217.0,,,
2003-09-01,,,,,,,0.0,0.0,0.0,,,
2003-10-01,,,,,,,0.0,0.0,0.0,,,
2003-11-01,,,,,,,8.0,196.0,196.0,,,
2003-12-01,,,,,,,14.0,291.0,291.0,,,
2004-01-01,,,,,,,32.333,440.0,440.0,,,
2004-02-01,,,,,,,32.333,440.0,440.0,,,
2004-03-01,,,,,,,32.333,440.0,440.0,,,
2004-04-01,,,,,,,32.333,440.0,440.0,,,
2004-05-01,,,,,,,32.333,440.0,440.0,,,
2004-06-01,,,,,,,32.333,440.0,440.0,,,
2004-07-01,,,,,,,32.333,440.0,440.0,,,
2004-08-01,,,,,,,32.333,440.0,440.0,,,
2004-09-01,,,,,,,32.333,440.0,440.0,,,
2004-10-01,,,,,,,32.333,440.0,440.0,,,
2004-11-01,,,,,,,32.333,440.0,440.0,,,
2004-12-01,,,,,,,32.333,440.0,440.0,,,
2005-01-01,392.778,5503.92,5503.92,,,,,,,,,
2005-02-01,90.41,1266.9,1266.9,,,,,,,,,
2005-03-01,77.58200000000001,1087.15,1087.15,,,,,,,,,
2005-04-01,77.626,1087.77,1087.77,,,,,,,,,
2005-05-01,78.266,1096.74,1096.74,,,,,,,,,
2005-06-01,94.809,1328.54,1328.54,,,,,,,,,
2005-07-01,179.55700000000002,2516.11,2516.11,,,,,,,,,
2005-08-01,159.036,2228.54,2228.54,,,,,,,,,
2005-09-01,88.491,1240.01,1240.01,,,,,,,,,
2005-10-01,124.066,1738.52,1738.52,,,,,,,,,
2005-11-01,83.54100000000001,1170.65,1170.65,,,,,,,,,
2005-12-01,228.83700000000002,3206.66,3206.66,,,,,,,,,
2006-01-01,16.923000000000002,111.0,111.0,,,,,,,,,
2006-02-01,8.856,58.0,58.0,,,,,,,,,
2006-03-01,7.439,49.0,49.0,,,,,,,,,
2006-04-01,14.249,93.0,93.0,,,,,,,,,
2006-05-01,13.319,87.0,87.0,,,,,,,,,
2006-06-01,12.106,79.0,79.0,,,,,,,,,
2006-07-01,17.536,115.0,115.0,,,,,,,,,
2006-08-01,17.01,111.0,111.0,,,,,,,,,
2006-09-01,7.815,51.0,51.0,,,,,,,,,
2006-10-01,8.255,54.0,54.0,,,,,,,,,
2006-11-01,9.72,64.0,64.0,,,,,,,,,
2006-12-01,10.77,70.0,70.0,,,,,,,,,
2007-01-01,0.0,0.0,0.0,40.075,597.0,597.0,0.0,0.0,0.0,,,
2007-02-01,0.0,0.0,0.0,52.094,777.0,777.0,0.0,0.0,0.0,,,
2007-03-01,0.0,0.0,0.0,27.731,418.0,418.0,0.0,0.0,0.0,,,
2007-04-01,0.0,0.0,0.0,16.444,244.0,244.0,0.0,0.0,0.0,,,
2007-05-01,0.0,0.0,0.0,12.845,191.0,191.0,0.0,0.0,0.0,,,
2007-06-01,0.0,0.0,0.0,20.486,307.0,307.0,0.0,0.0,0.0,,,
2007-07-01,0.0,0.0,0.0,17.356,261.0,261.0,0.0,0.0,0.0,,,
2007-08-01,0.0,0.0,0.0,20.849,313.0,313.0,0.0,0.0,0.0,,,
2007-09-01,0.0,0.0,0.0,16.132,244.0,244.0,0.0,0.0,0.0,,,
2007-10-01,0.0,0.0,0.0,12.481,186.0,186.0,0.0,0.0,0.0,,,
2007-11-01,0.0,0.0,0.0,12.371,186.0,186.0,0.0,0.0,0.0,,,
2007-12-01,0.0,0.0,0.0,23.136000000000003,348.0,348.0,0.0,0.0,0.0,,,
