measured_on,"Bituminous Coal - Internal Combustion Engine (diesel, piston, reciprocating) - Coal - Generation","Bituminous Coal - Internal Combustion Engine (diesel, piston, reciprocating) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Internal Combustion Engine (diesel, piston, reciprocating) - Coal - Total Fuel Consumed","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed"
2003-01-01,,,,1110.7740000000001,14546.0,14546.0,0.0,0.0,0.0,,,
2003-02-01,,,,985.638,12907.0,12907.0,0.0,0.0,0.0,,,
2003-03-01,,,,974.219,12758.0,12758.0,0.0,0.0,0.0,,,
2003-04-01,,,,931.236,12195.0,12195.0,0.0,0.0,0.0,,,
2003-05-01,,,,952.591,12474.0,12474.0,0.0,0.0,0.0,,,
2003-06-01,,,,962.29,12601.0,12601.0,0.0,0.0,0.0,,,
2003-07-01,,,,1091.3590000000002,14291.0,14291.0,0.0,0.0,0.0,,,
2003-08-01,,,,1145.7630000000001,15004.0,15004.0,0.0,0.0,0.0,,,
2003-09-01,,,,972.894,12740.0,12740.0,0.0,0.0,0.0,,,
2003-10-01,,,,873.995,11445.0,11445.0,0.0,0.0,0.0,,,
2003-11-01,,,,946.533,12395.0,12395.0,0.0,0.0,0.0,,,
2003-12-01,,,,1047.708,13720.0,13720.0,0.0,0.0,0.0,,,
2004-01-01,,,,2495.958,37851.0,37851.0,0.29700000000000004,28.0,28.0,,,
2004-02-01,,,,2267.6310000000003,34389.0,34389.0,0.537,50.0,50.0,,,
2004-03-01,,,,2305.206,34959.0,34959.0,0.923,86.0,86.0,,,
2004-04-01,,,,2062.737,31282.0,31282.0,0.404,38.0,38.0,,,
2004-05-01,,,,2210.416,33521.0,33521.0,0.657,61.0,61.0,,,
2004-06-01,,,,2291.1690000000003,34746.0,34746.0,0.42700000000000005,40.0,40.0,,,
2004-07-01,,,,2286.91,34681.0,34681.0,0.48400000000000004,45.0,45.0,,,
2004-08-01,,,,2278.695,34557.0,34557.0,0.773,72.0,72.0,,,
2004-09-01,,,,2220.3340000000003,33672.0,33672.0,0.657,61.0,61.0,,,
2004-10-01,,,,2231.075,33834.0,33834.0,0.451,42.0,42.0,,,
2004-11-01,,,,2157.675,32721.0,32721.0,0.497,46.0,46.0,,,
2004-12-01,,,,2467.194,37415.0,37415.0,0.893,83.0,83.0,,,
2005-01-01,,,,3605.722,52455.85,52455.85,0.0,0.0,0.0,2.144,20.53,20.53
2005-02-01,,,,3139.38,45671.51,45671.51,0.0,0.0,0.0,0.737,7.05,7.05
2005-03-01,,,,3257.098,47384.07,47384.07,0.0,0.0,0.0,0.8160000000000001,7.82,7.82
2005-04-01,,,,2902.715,42228.52,42228.52,0.0,0.0,0.0,0.9890000000000001,9.47,9.47
2005-05-01,,,,3186.598,46358.43,46358.43,0.0,0.0,0.0,0.919,8.8,8.8
