measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,Kerosene - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Generation,Kerosene - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Quantity Consumed For Electricity,Kerosene - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Total Fuel Consumed
2003-01-01,0.0,0.0,0.0,983.0,9834.0,9834.0
2003-02-01,0.0,0.0,0.0,491.0,5160.0,5160.0
2003-03-01,,,,1018.0,9528.0,9528.0
2003-04-01,0.0,0.0,0.0,249.0,2195.0,2195.0
2003-05-01,0.0,0.0,0.0,441.0,4783.0,4783.0
2003-06-01,0.0,0.0,0.0,5082.0,54824.0,54824.0
2003-07-01,0.0,0.0,0.0,10699.0,127911.0,127911.0
2003-08-01,0.0,0.0,0.0,12587.0,120766.0,120766.0
2003-09-01,0.0,0.0,0.0,,,
2003-10-01,0.0,0.0,0.0,731.0,8037.0,8037.0
2003-11-01,0.0,0.0,0.0,60.0,568.0,568.0
2003-12-01,0.0,0.0,0.0,2526.0,24319.0,24319.0
2004-01-01,,,,11509.339,110537.0,110537.0
2004-02-01,,,,69.57900000000001,668.0,668.0
2004-03-01,,,,2876.9570000000003,27631.0,27631.0
2004-04-01,,,,0.0,0.0,0.0
2004-05-01,,,,0.0,0.0,0.0
2004-06-01,,,,0.0,0.0,0.0
2004-07-01,,,,0.0,0.0,0.0
2004-08-01,,,,0.0,0.0,0.0
2004-09-01,,,,0.0,0.0,0.0
2004-10-01,,,,0.0,0.0,0.0
2004-11-01,,,,0.0,0.0,0.0
2004-12-01,,,,195.125,1874.0,1874.0
2005-01-01,0.0,0.0,0.0,8576.154,88822.17,88822.17
2005-02-01,0.0,0.0,0.0,1974.0620000000001,20445.11,20445.11
2005-03-01,0.0,0.0,0.0,1693.982,17544.36,17544.36
2005-04-01,0.0,0.0,0.0,1694.942,17554.31,17554.31
2005-05-01,0.0,0.0,0.0,1708.9170000000001,17699.04,17699.04
