measured_on,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed"
2003-01-01,4.632000000000001,53.0,53.0,32.239000000000004,361.0,361.0
2003-02-01,3.8280000000000003,44.0,44.0,26.639000000000003,299.0,299.0
2003-03-01,4.065,47.0,47.0,28.291,317.0,317.0
2003-04-01,3.8720000000000003,44.0,44.0,26.947000000000003,302.0,302.0
2003-05-01,3.988,46.0,46.0,27.754,311.0,311.0
2003-06-01,4.207,48.0,48.0,29.28,328.0,328.0
2003-07-01,5.064,58.0,58.0,35.249,395.0,395.0
2003-08-01,4.895,56.0,56.0,34.072,382.0,382.0
2003-09-01,3.942,45.0,45.0,27.433,308.0,308.0
2003-10-01,3.7670000000000003,43.0,43.0,26.217000000000002,294.0,294.0
2003-11-01,3.156,36.0,36.0,21.962,246.0,246.0
2003-12-01,4.586,53.0,53.0,31.917,358.0,358.0
2004-01-01,0.25,3.0,3.0,3.75,52.0,52.0
2004-02-01,0.25,3.0,3.0,3.75,52.0,52.0
2004-03-01,0.25,3.0,3.0,3.75,52.0,52.0
2004-04-01,0.25,3.0,3.0,3.75,52.0,52.0
2004-05-01,0.25,3.0,3.0,3.75,52.0,52.0
2004-06-01,0.25,3.0,3.0,3.75,52.0,52.0
2004-07-01,0.25,3.0,3.0,3.75,52.0,52.0
2004-08-01,0.25,3.0,3.0,3.75,52.0,52.0
2004-09-01,0.25,3.0,3.0,3.75,52.0,52.0
2004-10-01,0.25,3.0,3.0,3.75,52.0,52.0
2004-11-01,0.25,3.0,3.0,3.75,52.0,52.0
2004-12-01,0.25,3.0,3.0,3.75,52.0,52.0
2005-01-01,9.182,100.28,100.28,5.695,61.72,61.72
2005-02-01,4.66,50.9,50.9,4.728000000000001,51.24,51.24
2005-03-01,5.64,61.6,61.6,5.855,63.45,63.45
2005-04-01,5.877000000000001,64.18,64.18,5.769,62.52,62.52
2005-05-01,6.925,75.63,75.63,6.801,73.7,73.7
2005-06-01,6.27,68.48,68.48,8.583,93.01,93.01
2005-07-01,10.04,109.65,109.65,10.757,116.57,116.57
2005-08-01,11.11,121.34,121.34,11.143,120.76,120.76
2005-09-01,11.033000000000001,120.5,120.5,8.479000000000001,91.89,91.89
2005-10-01,6.5840000000000005,71.9,71.9,6.774,73.41,73.41
2005-11-01,5.248,57.31,57.31,5.779,62.63,62.63
2005-12-01,11.431000000000001,124.84,124.84,5.64,61.12,61.12
2006-01-01,17.79,190.0,190.0,19.014,200.0,200.0
2006-02-01,17.605,188.0,188.0,22.558,238.0,238.0
2006-03-01,15.435,165.0,165.0,25.73,271.0,271.0
2006-04-01,20.362000000000002,217.0,217.0,28.779,303.0,303.0
2006-05-01,18.402,196.0,196.0,33.333,351.0,351.0
2006-06-01,22.008000000000003,235.0,235.0,42.476,448.0,448.0
2006-07-01,21.35,228.0,228.0,53.401,563.0,563.0
2006-08-01,22.977,245.0,245.0,54.075,570.0,570.0
2006-09-01,16.323,174.0,174.0,36.793,388.0,388.0
2006-10-01,21.009,224.0,224.0,33.312000000000005,351.0,351.0
2006-11-01,18.338,196.0,196.0,24.74,261.0,261.0
2006-12-01,20.401,218.0,218.0,25.79,272.0,272.0
2007-01-01,17.525,151.0,151.0,6.292000000000001,54.0,54.0
2007-02-01,12.117,104.0,104.0,18.602,160.0,160.0
2007-03-01,16.375,139.0,139.0,11.222000000000001,96.0,96.0
2007-04-01,18.133,157.0,157.0,5.248,45.0,45.0
2007-05-01,30.113000000000003,261.0,261.0,48.228,414.0,414.0
