measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed",Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Generation,Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Quantity Consumed For Electricity,Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Total Fuel Consumed
2003-01-01,58.982,589.0,589.0,1123.449,11505.24,11505.24
2003-02-01,52.252,522.0,522.0,995.2510000000001,10192.37,10192.37
2003-03-01,53.968,539.0,539.0,1027.949,10527.23,10527.23
2003-04-01,47.39,473.0,473.0,902.652,9244.06,9244.06
2003-05-01,46.509,464.0,464.0,885.865,9072.14,9072.14
2003-06-01,44.255,442.0,442.0,842.946,8632.61,8632.61
2003-07-01,47.364000000000004,473.0,473.0,902.162,9239.04,9239.04
2003-08-01,45.347,453.0,453.0,863.7330000000001,8845.49,8845.49
2003-09-01,48.505,484.0,484.0,923.8870000000001,9461.53,9461.53
2003-10-01,52.287,522.0,522.0,995.933,10199.35,10199.35
2003-11-01,54.865,548.0,548.0,1045.027,10702.12,10702.12
2003-12-01,61.276,612.0,612.0,1167.146,11952.74,11952.74
2004-01-01,91.085,909.0,909.0,931.0930000000001,9331.41,9331.41
2004-02-01,117.82100000000001,1176.0,1176.0,864.9,8668.03,8668.03
2004-03-01,105.74,1056.0,1056.0,966.129,9682.54,9682.54
2004-04-01,71.69800000000001,716.0,716.0,829.8770000000001,8317.03,8317.03
2004-05-01,77.753,776.0,776.0,725.1260000000001,7267.21,7267.21
2004-06-01,74.687,746.0,746.0,767.282,7689.7,7689.7
2004-07-01,118.94200000000001,1187.0,1187.0,1032.973,10352.46,10352.46
2004-08-01,125.917,1257.0,1257.0,1201.276,12039.19,12039.19
2004-09-01,102.54400000000001,1024.0,1024.0,1094.42,10968.28,10968.28
2004-10-01,75.0,749.0,749.0,936.427,9384.87,9384.87
2004-11-01,43.591,435.0,435.0,986.186,9883.56,9883.56
2004-12-01,42.221000000000004,421.0,421.0,923.31,9253.41,9253.41
2005-01-01,131.863,1335.97,1335.97,1087.975,10878.67,10878.67
2005-02-01,45.304,459.0,459.0,996.873,9967.73,9967.73
2005-03-01,50.214000000000006,508.74,508.74,1038.766,10386.62,10386.62
2005-04-01,60.823,616.23,616.23,1038.017,10379.13,10379.13
2005-05-01,56.489000000000004,572.32,572.32,1464.0330000000001,14638.86,14638.86
2005-06-01,73.31700000000001,742.81,742.81,1365.0330000000001,13648.97,13648.97
2005-07-01,74.628,756.09,756.09,1268.895,12687.68,12687.68
2005-08-01,87.67,888.22,888.22,1053.006,10529.01,10529.01
2005-09-01,57.39,581.44,581.44,834.58,8344.97,8344.97
2005-10-01,63.732000000000006,645.7,645.7,900.677,9005.87,9005.87
2005-11-01,51.235,519.09,519.09,970.5870000000001,9704.9,9704.9
2005-12-01,108.335,1097.59,1097.59,1086.558,10864.49,10864.49
2006-01-01,119.522,1224.0,1224.0,1113.8880000000001,11049.0,11049.0
2006-02-01,62.542,640.0,640.0,977.258,9693.0,9693.0
2006-03-01,52.536,538.0,538.0,1050.346,10418.0,10418.0
2006-04-01,100.635,1030.0,1030.0,1268.0330000000001,12578.0,12578.0
2006-05-01,94.068,963.0,963.0,1368.377,13573.0,13573.0
2006-06-01,85.50200000000001,875.0,875.0,1413.3390000000002,14019.0,14019.0
2006-07-01,123.851,1268.0,1268.0,1154.875,11455.0,11455.0
2006-08-01,120.135,1230.0,1230.0,946.946,9393.0,9393.0
2006-09-01,55.192,565.0,565.0,694.205,6886.0,6886.0
2006-10-01,58.3,597.0,597.0,656.54,6512.0,6512.0
2006-11-01,68.651,703.0,703.0,761.802,7556.0,7556.0
2006-12-01,76.066,779.0,779.0,826.3910000000001,8197.0,8197.0
2007-01-01,67.404,708.0,708.0,1274.1390000000001,12594.0,12594.0
2007-02-01,52.2,545.0,545.0,1328.1290000000001,13127.0,13127.0
2007-03-01,103.225,1079.0,1079.0,1376.3790000000001,13604.0,13604.0
2007-04-01,62.788000000000004,655.0,655.0,1304.386,12893.0,12893.0
2007-05-01,57.928000000000004,609.0,609.0,1231.935,12176.0,12176.0
2007-06-01,56.632000000000005,592.0,592.0,1210.861,11968.0,11968.0
2007-07-01,83.62400000000001,876.0,876.0,1223.41,12092.0,12092.0
2007-08-01,105.557,1108.0,1108.0,1077.7830000000001,10653.0,10653.0
2007-09-01,87.685,916.0,916.0,806.173,7968.0,7968.0
2007-10-01,105.894,1108.0,1108.0,829.783,8202.0,8202.0
2007-11-01,77.685,812.0,812.0,883.9830000000001,8737.0,8737.0
2007-12-01,111.378,1166.0,1166.0,983.038,9716.0,9716.0
2008-01-01,120.43900000000001,1166.0,1166.0,1171.286,11542.0,11542.0
2008-02-01,110.239,1073.0,1073.0,1272.26,12537.0,12537.0
2008-03-01,73.765,719.0,719.0,1228.585,12106.0,12106.0
2008-04-01,74.438,725.0,725.0,1177.324,11601.0,11601.0
2008-05-01,77.867,760.0,760.0,870.576,8579.0,8579.0
2008-06-01,52.162,510.0,510.0,1112.8490000000002,10966.0,10966.0
2008-07-01,54.2,528.0,528.0,805.418,7937.0,7937.0
2008-08-01,53.638000000000005,522.0,522.0,972.6210000000001,9584.0,9584.0
2008-09-01,55.966,545.0,545.0,1058.876,10434.0,10434.0
2008-10-01,63.714000000000006,621.0,621.0,1124.354,11079.0,11079.0
2008-11-01,77.703,754.0,754.0,934.7560000000001,9211.0,9211.0
2008-12-01,131.869,1282.0,1282.0,1447.095,14260.0,14260.0
2009-01-01,117.759,1235.0,1235.0,818.465,7988.0,7988.0
2009-02-01,86.427,911.0,911.0,886.05,8648.0,8648.0
2009-03-01,89.769,945.0,945.0,936.498,9140.0,9140.0
2009-04-01,92.236,969.0,969.0,959.2620000000001,9362.0,9362.0
2009-05-01,55.298,580.0,580.0,723.722,7064.0,7064.0
2009-06-01,54.302,568.0,568.0,950.798,9280.0,9280.0
