measured_on,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Other - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Other - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Other - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed","Purchased Steam - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Purchased Steam - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Purchased Steam - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed","Waste heat not directly attributed to a fuel source - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Waste heat not directly attributed to a fuel source - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Waste heat not directly attributed to a fuel source - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed"
2003-01-01,,,,,,,1590.921,0.0,0.0,,,
2003-02-01,,,,,,,1285.404,0.0,0.0,,,
2003-03-01,,,,,,,1346.617,0.0,0.0,,,
2003-04-01,,,,,,,1293.309,0.0,0.0,,,
2003-05-01,,,,,,,1575.382,0.0,0.0,,,
2003-06-01,,,,,,,1576.505,0.0,0.0,,,
2003-07-01,,,,,,,1717.862,0.0,0.0,,,
2003-08-01,,,,,,,1781.883,0.0,0.0,,,
2003-09-01,,,,,,,1486.477,0.0,0.0,,,
2003-10-01,,,,,,,1403.559,0.0,0.0,,,
2003-11-01,,,,,,,1261.909,0.0,0.0,,,
2003-12-01,,,,,,,1458.172,0.0,0.0,,,
2004-01-01,,,,1700.0,0.0,0.0,0.0,0.0,0.0,,,
2004-02-01,,,,1700.0,0.0,0.0,0.0,0.0,0.0,,,
2004-03-01,,,,1700.0,0.0,0.0,0.0,0.0,0.0,,,
2004-04-01,,,,1700.0,0.0,0.0,0.0,0.0,0.0,,,
2004-05-01,,,,1700.0,0.0,0.0,0.0,0.0,0.0,,,
2004-06-01,,,,1700.0,0.0,0.0,0.0,0.0,0.0,,,
2004-07-01,,,,1700.0,0.0,0.0,0.0,0.0,0.0,,,
2004-08-01,,,,1700.0,0.0,0.0,0.0,0.0,0.0,,,
2004-09-01,,,,1700.0,0.0,0.0,0.0,0.0,0.0,,,
2004-10-01,,,,1700.0,0.0,0.0,0.0,0.0,0.0,,,
2004-11-01,,,,1700.0,0.0,0.0,0.0,0.0,0.0,,,
2004-12-01,,,,1700.0,0.0,0.0,0.0,0.0,0.0,,,
2005-01-01,,,,1156.693,11799.43,11799.43,,,,,,
2005-02-01,,,,1159.934,11832.49,11832.49,,,,,,
2005-03-01,,,,1413.5120000000002,14419.24,14419.24,,,,,,
2005-04-01,,,,1284.805,13106.3,13106.3,,,,,,
2005-05-01,,,,1358.953,13862.68,13862.68,,,,,,
2005-06-01,,,,1301.674,13278.38,13278.38,,,,,,
2005-07-01,,,,1540.126,15710.83,15710.83,,,,,,
2005-08-01,,,,1487.8,15177.05,15177.05,,,,,,
2005-09-01,,,,1288.622,13145.23,13145.23,,,,,,
2005-10-01,,,,1075.981,10976.08,10976.08,,,,,,
2005-11-01,,,,1260.904,12862.48,12862.48,,,,,,
2005-12-01,,,,1198.9940000000001,12230.94,12230.94,,,,,,
2006-01-01,,,,1541.516,0.0,0.0,,,,,,
2006-02-01,,,,1418.912,0.0,0.0,,,,,,
2006-03-01,,,,1789.4840000000002,0.0,0.0,,,,,,
2006-04-01,,,,1605.6280000000002,0.0,0.0,,,,,,
2006-05-01,,,,1725.515,0.0,0.0,,,,,,
2006-06-01,,,,1440.767,0.0,0.0,,,,,,
2006-07-01,,,,1648.402,0.0,0.0,,,,,,
2006-08-01,,,,1566.758,0.0,0.0,,,,,,
2006-09-01,,,,1588.394,0.0,0.0,,,,,,
2006-10-01,,,,1723.401,0.0,0.0,,,,,,
2006-11-01,,,,1703.6360000000002,0.0,0.0,,,,,,
2006-12-01,,,,1639.588,0.0,0.0,,,,,,
2007-01-01,,,,,,,,,,1856.09,18346.0,18346.0
2007-02-01,,,,,,,,,,1669.489,16501.0,16501.0
2007-03-01,,,,,,,,,,1800.285,17794.0,17794.0
2007-04-01,,,,,,,,,,2081.5860000000002,20574.0,20574.0
2007-05-01,,,,,,,,,,1954.246,19316.0,19316.0
2007-06-01,,,,,,,,,,1923.6080000000002,19013.0,19013.0
2007-07-01,,,,,,,,,,1680.99,16615.0,16615.0
2007-08-01,,,,,,,,,,1860.152,18386.0,18386.0
2007-09-01,,,,,,,,,,1188.252,11745.0,11745.0
2007-10-01,,,,,,,,,,1712.736,16929.0,16929.0
2007-11-01,,,,,,,,,,1234.429,12201.0,12201.0
2007-12-01,,,,,,,,,,652.1370000000001,6446.0,6446.0
2008-01-01,,,,,,,,,,1032.048,10170.0,10170.0
2008-02-01,,,,,,,,,,1724.15,16990.0,16990.0
2008-03-01,,,,,,,,,,900.9190000000001,8878.0,8878.0
2008-04-01,,,,,,,,,,1341.664,13221.0,13221.0
2008-05-01,,,,,,,,,,1783.3600000000001,17573.0,17573.0
2008-06-01,,,,,,,,,,1695.4850000000001,16707.0,16707.0
2008-07-01,,,,,,,,,,2005.8120000000001,19765.0,19765.0
2008-08-01,,,,,,,,,,1785.1200000000001,17591.0,17591.0
2008-09-01,,,,,,,,,,895.519,8824.0,8824.0
2008-10-01,,,,,,,,,,641.044,6317.0,6317.0
2008-11-01,,,,,,,,,,1061.699,10462.0,10462.0
2008-12-01,,,,,,,,,,1387.18,13669.0,13669.0
2009-01-01,,,,,,,,,,1267.477,12371.0,12371.0
2009-02-01,,,,,,,,,,1363.054,13303.0,13303.0
2009-03-01,,,,,,,,,,600.754,5863.0,5863.0
2009-04-01,,,,,,,,,,830.464,8105.0,8105.0
2009-05-01,,,,,,,,,,1590.4660000000001,15523.0,15523.0
2009-06-01,,,,,,,,,,1655.299,16156.0,16156.0
2009-07-01,,,,,,,,,,1505.4360000000001,14693.0,14693.0
2009-08-01,,,,,,,,,,1080.255,10543.0,10543.0
2009-09-01,,,,,,,,,,986.312,9626.0,9626.0
2009-10-01,,,,,,,,,,1582.154,15442.0,15442.0
2009-11-01,,,,,,,,,,1566.713,15291.0,15291.0
2009-12-01,,,,,,,,,,1547.616,15105.0,15105.0
2010-01-01,,,,,,,,,,1029.372,10043.0,10043.0
2010-02-01,,,,,,,,,,992.988,9688.0,9688.0
2010-03-01,,,,,,,,,,1574.8580000000002,15364.0,15364.0
2010-04-01,,,,,,,,,,1539.587,15020.0,15020.0
2010-05-01,,,,,,,,,,1707.055,16654.0,16654.0
2010-06-01,,,,,,,,,,1720.708,16787.0,16787.0
2010-07-01,,,,,,,,,,1596.161,15572.0,15572.0
2010-08-01,,,,,,,,,,1551.059,15132.0,15132.0
2010-09-01,,,,,,,,,,1394.111,13601.0,13601.0
2010-10-01,,,,,,,,,,1044.2830000000001,10188.0,10188.0
2010-11-01,,,,,,,,,,947.1450000000001,9240.0,9240.0
2010-12-01,,,,,,,,,,1330.673,12982.0,12982.0
2011-01-01,,,,,,,,,,1510.071,14672.0,14672.0
2011-02-01,,,,,,,,,,1082.883,10521.0,10521.0
2011-03-01,,,,,,,,,,1051.569,10217.0,10217.0
2011-04-01,,,,,,,,,,1619.962,15740.0,15740.0
2011-05-01,,,,,,,,,,1757.981,17081.0,17081.0
2011-06-01,,,,,,,,,,1589.86,15447.0,15447.0
2011-07-01,,,,,,,,,,1676.561,16289.0,16289.0
2011-08-01,,,,,,,,,,871.195,8465.0,8465.0
2011-09-01,,,,,,,,,,845.59,8216.0,8216.0
2011-10-01,,,,,,,,,,1139.673,11073.0,11073.0
2011-11-01,,,,,,,,,,1376.527,13374.0,13374.0
2011-12-01,,,,,,,,,,1648.128,16013.0,16013.0
2013-01-01,645.846,4657.0,4657.0,,,,,,,,,
2013-02-01,503.534,3631.0,3631.0,,,,,,,,,
2013-03-01,562.174,4053.0,4053.0,,,,,,,,,
2013-04-01,621.249,4479.0,4479.0,,,,,,,,,
2013-05-01,601.946,4340.0,4340.0,,,,,,,,,
2013-06-01,732.019,5278.0,5278.0,,,,,,,,,
2013-07-01,794.497,5728.0,5728.0,,,,,,,,,
2013-08-01,797.84,5753.0,5753.0,,,,,,,,,
2013-09-01,678.305,4890.0,4890.0,,,,,,,,,
2013-10-01,603.209,4349.0,4349.0,,,,,,,,,
2013-11-01,641.985,4629.0,4629.0,,,,,,,,,
2013-12-01,725.396,5230.0,5230.0,,,,,,,,,
2014-01-01,1061.253,7790.0,7790.0,,,,,,,,,
2014-02-01,876.813,6436.0,6436.0,,,,,,,,,
2014-03-01,819.251,6013.0,6013.0,,,,,,,,,
2014-04-01,915.493,6719.0,6719.0,,,,,,,,,
2014-05-01,1084.75,7962.0,7962.0,,,,,,,,,
2014-06-01,1054.307,7739.0,7739.0,,,,,,,,,
2014-07-01,1090.436,8004.0,8004.0,,,,,,,,,
2014-08-01,1221.381,8965.0,8965.0,,,,,,,,,
2014-09-01,992.573,7285.0,7285.0,,,,,,,,,
2014-10-01,977.409,7174.0,7174.0,,,,,,,,,
2014-11-01,950.585,6977.0,6977.0,,,,,,,,,
2014-12-01,925.749,6795.0,6795.0,,,,,,,,,
2015-01-01,674.871,2819.0,2819.0,,,,,,,,,
2015-02-01,631.678,2637.0,2637.0,,,,,,,,,
2015-03-01,615.829,2572.0,2572.0,,,,,,,,,
2015-04-01,639.517,2671.0,2671.0,,,,,,,,,
2015-05-01,712.349,2974.0,2974.0,,,,,,,,,
2015-06-01,840.797,3511.0,3511.0,,,,,,,,,
2015-07-01,911.185,3805.0,3805.0,,,,,,,,,
2015-08-01,845.605,3531.0,3531.0,,,,,,,,,
2015-09-01,704.338,2941.0,2941.0,,,,,,,,,
