measured_on,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Tire-Derived Fuels Generation,Tire-Derived Fuels Quantity Consumed For Electricity,Tire-Derived Fuels Total Fuel Consumed
2002-01-01,178.612,2575.0,2575.0,4665.51,67271.0,67271.0
2002-02-01,234.234,3378.0,3378.0,6118.407,88220.0,88220.0
2002-03-01,196.109,2828.0,2828.0,5122.5560000000005,73861.0,73861.0
2002-04-01,190.67600000000002,2749.0,2749.0,4980.63,71815.0,71815.0
2002-05-01,177.382,2558.0,2558.0,4633.39,66808.0,66808.0
2002-06-01,231.59300000000002,3339.0,3339.0,6049.409000000001,87225.0,87225.0
2002-07-01,337.076,4860.0,4860.0,8804.733,126953.0,126953.0
2002-08-01,388.99100000000004,5609.0,5609.0,10160.789,146506.0,146506.0
2002-09-01,376.889,5435.0,5435.0,9844.689,141948.0,141948.0
2002-10-01,334.415,4822.0,4822.0,8735.223,125951.0,125951.0
2002-11-01,328.589,4738.0,4738.0,8583.049,123757.0,123757.0
2002-12-01,383.433,5529.0,5529.0,10015.614,144413.0,144413.0
2004-01-01,0.0,0.0,0.0,22.065,314.0,314.0
2004-02-01,0.0,0.0,0.0,15.718,224.0,224.0
2004-03-01,0.0,0.0,0.0,35.588,506.0,506.0
2004-04-01,0.0,0.0,0.0,22.85,325.0,325.0
2004-05-01,0.0,0.0,0.0,27.251,388.0,388.0
2004-06-01,0.0,0.0,0.0,35.178000000000004,501.0,501.0
2004-07-01,0.0,0.0,0.0,34.189,487.0,487.0
2004-08-01,0.0,0.0,0.0,32.869,468.0,468.0
2004-09-01,0.0,0.0,0.0,34.566,492.0,492.0
2004-10-01,0.0,0.0,0.0,40.328,574.0,574.0
2004-11-01,0.0,0.0,0.0,25.112000000000002,357.0,357.0
2004-12-01,0.0,0.0,0.0,39.287,559.0,559.0
2006-01-01,,,,1382.836,28885.0,28885.0
2006-02-01,,,,1244.159,25988.0,25988.0
2006-03-01,,,,1457.715,30449.0,30449.0
2006-04-01,,,,1201.7630000000001,25103.0,25103.0
2006-05-01,,,,969.9530000000001,20261.0,20261.0
2006-06-01,,,,1320.251,27578.0,27578.0
2006-07-01,,,,1330.3210000000001,27788.0,27788.0
2006-08-01,,,,1478.641,30886.0,30886.0
2006-09-01,,,,1224.015,25567.0,25567.0
2006-10-01,,,,1235.24,25802.0,25802.0
2006-11-01,,,,819.344,17115.0,17115.0
2006-12-01,,,,1309.765,27359.0,27359.0
2007-01-01,0.085,3.0,3.0,1383.915,49712.0,49712.0
2007-02-01,,,,0.0,0.0,0.0
2007-03-01,,,,0.0,0.0,0.0
2007-04-01,,,,0.0,0.0,0.0
2007-05-01,,,,0.0,0.0,0.0
2007-06-01,,,,0.0,0.0,0.0
2007-07-01,,,,0.0,0.0,0.0
2007-08-01,,,,0.0,0.0,0.0
2007-09-01,,,,0.0,0.0,0.0
2007-10-01,,,,0.0,0.0,0.0
2007-11-01,,,,0.0,0.0,0.0
2007-12-01,,,,0.0,0.0,0.0
2008-01-01,0.42700000000000005,9.0,9.0,42.573,910.0,910.0
2008-02-01,1.35,22.0,22.0,1304.65,21554.0,21554.0
2008-03-01,1.07,18.0,18.0,1461.93,24934.0,24934.0
2008-04-01,0.549,11.0,11.0,2427.451,49322.0,49322.0
2008-05-01,0.162,3.0,3.0,5705.838000000001,107146.0,107146.0
2008-06-01,0.056,1.0,1.0,7041.944,126880.0,126880.0
2008-07-01,0.054,1.0,1.0,3726.9460000000004,69654.0,69654.0
2008-08-01,0.05,1.0,1.0,3645.9500000000003,73814.0,73814.0
2008-09-01,0.113,2.0,2.0,1155.887,20774.0,20774.0
2008-10-01,0.10600000000000001,2.0,2.0,3624.8940000000002,69056.0,69056.0
2008-11-01,0.0,0.0,0.0,1731.0,43108.0,43108.0
2008-12-01,0.0,0.0,0.0,973.0,22438.0,22438.0
2009-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2009-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2009-05-01,200.019,5945.0,5945.0,516.981,15366.0,15366.0
2009-06-01,355.333,7406.0,7406.0,2932.667,61126.0,61126.0
2009-07-01,79.36,1595.0,1595.0,1390.64,27950.0,27950.0
2009-08-01,73.37700000000001,1436.0,1436.0,4226.6230000000005,82706.0,82706.0
2009-09-01,93.357,1822.0,1822.0,3588.643,70044.0,70044.0
2009-10-01,344.012,6615.0,6615.0,3705.9880000000003,71266.0,71266.0
2009-11-01,34.227000000000004,661.0,661.0,1142.7730000000001,22074.0,22074.0
2009-12-01,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-01,0.15,3.0,3.0,1578.8500000000001,32006.0,32006.0
2010-03-01,0.05,1.0,1.0,556.95,11258.0,11258.0
2010-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-01,0.11,2.0,2.0,84.89,1560.0,1560.0
2010-06-01,0.109,2.0,2.0,2331.891,43420.0,43420.0
2010-07-01,0.369,7.0,7.0,1949.631,37492.0,37492.0
2010-08-01,0.149,3.0,3.0,1779.851,36452.0,36452.0
2010-09-01,0.252,5.0,5.0,1366.748,27482.0,27482.0
2010-10-01,0.262,5.0,5.0,2032.738,39364.0,39364.0
2010-11-01,0.39,5.0,5.0,3026.61,39364.0,39364.0
2010-12-01,0.34700000000000003,7.0,7.0,2366.6530000000002,48412.0,48412.0
2011-01-01,245.851,5850.0,5850.0,1977.149,47044.0,47044.0
2011-02-01,0.0,176.0,176.0,0.0,5029.0,5029.0
2011-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2011-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2011-05-01,102.15,4846.0,4846.0,97.85,4642.0,4642.0
2011-06-01,29.623,735.0,735.0,514.377,12765.0,12765.0
2011-07-01,566.103,13838.0,13838.0,2357.897,57637.0,57637.0
2011-08-01,265.729,6874.0,6874.0,1234.271,31928.0,31928.0
