measured_on,"Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-03-01,6104.0,169905.0,169905.0,16256.0,452452.0,452452.0,,,,8675.0,241443.0,241443.0
2003-05-01,4957.0,137228.0,137228.0,13983.0,387087.0,387087.0,,,,5184.0,143514.0,143514.0
2003-06-01,5160.0,154536.0,154536.0,14570.0,436374.0,436374.0,,,,9082.0,271989.0,271989.0
2003-07-01,4879.0,139755.0,139755.0,9017.0,258284.0,258284.0,,,,8077.0,231363.0,231363.0
2003-08-01,4596.0,137828.0,137828.0,9505.0,285040.0,285040.0,,,,7536.0,225990.0,225990.0
2003-09-01,5995.0,172925.0,172925.0,11905.0,343389.0,343389.0,,,,10072.0,290520.0,290520.0
2004-01-01,4064.0,135501.0,135501.0,12056.0,401993.0,401993.0,,,,6728.0,224334.0,224334.0
2004-02-01,3025.0,113070.0,113070.0,10413.0,389182.0,389182.0,,,,4773.0,178389.0,178389.0
2004-03-01,5525.0,175334.0,175334.0,14430.0,457929.0,457929.0,,,,9361.0,297081.0,297081.0
2004-04-01,4295.0,138039.0,138039.0,11149.0,358308.0,358308.0,,,,7270.0,233631.0,233631.0
2004-05-01,4376.0,138873.0,138873.0,13282.0,421543.0,421543.0,,,,5257.0,166842.0,166842.0
2004-06-01,5088.0,155840.0,155840.0,14650.0,448724.0,448724.0,,,,8486.0,259929.0,259929.0
2004-07-01,4491.0,138815.0,138815.0,10240.0,316509.0,316509.0,,,,7512.0,232191.0,232191.0
2004-08-01,3759.0,123939.0,123939.0,10384.0,342382.0,342382.0,,,,7429.0,244944.0,244944.0
2004-09-01,5665.0,174441.0,174441.0,13912.0,428406.0,428406.0,,,,9235.0,284400.0,284400.0
2004-10-01,4426.0,140283.0,140283.0,11299.0,358147.0,358147.0,,,,6854.0,217260.0,217260.0
2004-11-01,4406.0,138392.0,138392.0,15732.0,494158.0,494158.0,,,,1836.0,57672.0,57672.0
2004-12-01,5164.0,173712.0,173712.0,18724.0,629920.0,629920.0,,,,5009.0,168525.0,168525.0
2005-01-01,3955.0,139402.0,139402.0,11778.0,415108.72,415108.72,,,,7787.0,274428.0,274428.0
2005-02-01,3916.0,137334.0,137334.0,11547.0,404927.59,404927.59,,,,7721.0,270765.0,270765.0
2005-03-01,5125.0,173982.25,173982.25,12503.0,424464.72,424464.72,,,,10680.0,362565.0,362565.0
2005-04-01,1627.0,66528.5,66528.5,5415.0,221375.51,221375.51,,,,5592.0,228618.0,228618.0
2005-05-01,4031.0,131482.5,131482.5,8657.0,282412.46,282412.46,,,,10294.0,335808.0,335808.0
2005-06-01,5318.0,173759.0,173759.0,9268.0,302793.24,302793.24,,,,12882.0,420849.0,420849.0
2005-07-01,4385.0,139801.5,139801.5,8081.0,257650.2,257650.2,,,,9777.0,311733.0,311733.0
2005-08-01,4232.0,139190.5,139190.5,7544.0,248119.2,248119.2,,,,10602.0,348714.0,348714.0
2005-09-01,4474.0,147685.75,147685.75,10151.0,335101.32,335101.32,,,,10324.0,340812.0,340812.0
2005-10-01,6462.0,139366.75,139366.75,1134.0,24466.62,24466.62,,,,13169.0,284031.0,284031.0
2005-11-01,3607.0,126676.75,126676.75,7012.0,246272.27,246272.27,,,,9475.0,332775.0,332775.0
2005-12-01,5227.0,178400.25,178400.25,10625.0,362625.14,362625.14,,,,12792.0,436563.0,436563.0
2006-01-01,4673.0,153584.0,153584.0,8835.0,290382.0,290382.0,,,,8667.0,284859.0,284859.0
