measured_on,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Residual Fuel Oil Generation,Residual Fuel Oil Quantity Consumed For Electricity,Residual Fuel Oil Total Fuel Consumed
2001-01-01,836.37,5881.0,45893.0,90.512,636.0,4967.0
2001-02-01,746.246,5248.0,40947.0,80.759,568.0,4431.0
2001-03-01,789.219,5550.0,43305.0,85.409,601.0,4687.0
2001-04-01,636.61,4477.0,34932.0,68.894,484.0,3780.0
2001-05-01,661.7570000000001,4653.0,36311.0,71.615,504.0,3930.0
2001-06-01,884.644,6221.0,48542.0,95.736,673.0,5253.0
2001-07-01,896.4960000000001,6304.0,49192.0,97.019,682.0,5324.0
2001-08-01,1009.523,7099.0,55394.0,109.251,768.0,5995.0
2001-09-01,789.284,5550.0,43309.0,85.41600000000001,601.0,4687.0
2001-10-01,726.441,5108.0,39861.0,78.616,553.0,4314.0
2001-11-01,730.962,5140.0,40109.0,79.105,556.0,4341.0
2001-12-01,754.466,5305.0,41398.0,81.64800000000001,574.0,4480.0
2002-01-01,443.663,39981.0,39981.0,17.938000000000002,1619.0,1619.0
2002-02-01,403.108,36327.0,36327.0,16.298000000000002,1471.0,1471.0
2002-03-01,427.93,38564.0,38564.0,17.302,1562.0,1562.0
2002-04-01,366.28,33008.0,33008.0,14.809000000000001,1337.0,1337.0
2002-05-01,369.57800000000003,33305.0,33305.0,14.942,1349.0,1349.0
2002-06-01,486.885,43876.0,43876.0,19.685,1777.0,1777.0
2002-07-01,561.047,50560.0,50560.0,22.684,2048.0,2048.0
2002-08-01,572.82,51621.0,51621.0,23.16,2091.0,2091.0
2002-09-01,499.507,45014.0,45014.0,20.196,1823.0,1823.0
2002-10-01,366.705,33046.0,33046.0,14.826,1338.0,1338.0
2002-11-01,429.629,38717.0,38717.0,17.37,1568.0,1568.0
2002-12-01,470.89700000000005,42436.0,42436.0,19.039,1719.0,1719.0
