measured_on,"Nuclear-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Nuclear-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Nuclear-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,473401.0,4933311.82,4933311.82
2003-02-01,403181.0,4201549.2,4201549.2
2003-03-01,463915.0,4834458.22,4834458.22
2003-04-01,457220.0,4764689.62,4764689.62
2003-05-01,352179.0,3670057.36,3670057.36
2003-06-01,449042.0,4679466.68,4679466.68
2003-07-01,454267.0,4733916.41,4733916.41
2003-08-01,364217.0,3795505.36,3795505.36
2003-09-01,447339.0,4661719.72,4661719.72
2003-10-01,470091.0,4898818.31,4898818.31
2003-11-01,445239.0,4639835.62,4639835.62
2003-12-01,476234.0,4962834.51,4962834.51
2004-01-01,468817.0,4888354.86,4888354.86
2004-02-01,441925.0,4607951.98,4607951.98
2004-03-01,470564.0,4906570.83,4906570.83
2004-04-01,433876.0,4524025.05,4524025.05
2004-05-01,378355.0,3945107.59,3945107.59
2004-06-01,413985.0,4316621.6,4316621.6
2004-07-01,444850.0,4638450.95,4638450.95
2004-08-01,447543.0,4666530.86,4666530.86
2004-09-01,287988.0,3002850.88,3002850.88
2004-10-01,462856.0,4826199.51,4826199.51
2004-11-01,122953.0,1282030.93,1282030.93
2004-12-01,483600.0,5042497.2,5042497.2
2005-01-01,470468.0,4909333.58,4909333.58
2005-02-01,428862.0,4475174.97,4475174.97
2005-03-01,465336.0,4855781.16,4855781.16
2005-04-01,445546.0,4649272.51,4649272.51
2005-05-01,463245.0,4833961.58,4833961.58
2005-06-01,401539.0,4190059.47,4190059.47
2005-07-01,445128.0,4644910.68,4644910.68
2005-08-01,427260.0,4458458.1,4458458.1
2005-09-01,439466.0,4585827.71,4585827.71
2005-10-01,464112.0,4843008.72,4843008.72
2005-11-01,454138.0,4738930.03,4738930.03
2005-12-01,469812.0,4902488.22,4902488.22
2006-01-01,393315.0,4103849.0,4103849.0
2006-02-01,335565.0,3501285.0,3501285.0
2006-03-01,464659.0,4848252.0,4848252.0
2006-04-01,451483.0,4710774.0,4710774.0
2006-05-01,365940.0,3818218.0,3818218.0
2006-06-01,439082.0,4581382.0,4581382.0
2006-07-01,441405.0,4605620.0,4605620.0
2006-08-01,424983.0,4434273.0,4434273.0
2006-09-01,413071.0,4309983.0,4309983.0
2006-10-01,185896.0,1939639.0,1939639.0
2006-11-01,261532.0,2728825.0,2728825.0
2006-12-01,467645.0,4879408.0,4879408.0
