measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Electricity used for energy storage - Energy Storage, Battery - Other - Generation","Electricity used for energy storage - Energy Storage, Battery - Other - Quantity Consumed For Electricity","Electricity used for energy storage - Energy Storage, Battery - Other - Total Fuel Consumed",Natural Gas - Combined Cycle Steam Part - Natural Gas - Generation,Natural Gas - Combined Cycle Steam Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Steam Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2003-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1914.0,31303.0,31303.0,210345.0,1970318.0,1970318.0
2003-02-01,4226.0,51417.0,51417.0,0.0,0.0,0.0,,,,,,,747.0,9089.0,9089.0,209244.0,1583113.0,1583113.0
2003-03-01,4499.0,58209.0,58209.0,379.0,3579.0,3579.0,,,,,,,1006.0,13018.0,13018.0,208286.0,1964269.0,1964269.0
2003-04-01,4476.0,58169.0,58169.0,362.0,3576.0,3576.0,,,,,,,1029.0,13375.0,13375.0,208303.0,2056590.0,2056590.0
2003-05-01,489.0,8174.0,8174.0,0.0,0.0,0.0,,,,,,,7002.0,117001.0,117001.0,197889.0,1812395.0,1812395.0
2003-06-01,248.0,4903.0,4903.0,0.0,0.0,0.0,,,,,,,1534.0,30322.0,30322.0,262316.0,2665392.0,2665392.0
2003-07-01,348.0,10386.0,10386.0,0.0,0.0,0.0,,,,,,,431.0,12844.0,12844.0,258890.0,2728575.0,2728575.0
2003-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,9423.0,118842.0,118842.0,70553.0,617901.0,617901.0
2003-09-01,-372.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,4512.0,57624.0,57624.0
2003-10-01,-1075.0,0.0,0.0,0.0,0.0,0.0,,,,,,,8720.0,114149.0,114149.0,307.0,3071.0,3071.0
2003-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1134.0,15839.0,15839.0,,,
2003-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,2556.0,34673.0,34673.0,0.0,0.0,0.0
2004-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,4480.0,55626.0,55626.0,-826.0,20769.0,20769.0
2004-02-01,0.0,0.0,0.0,-649.0,0.0,0.0,,,,,,,1555.0,20770.0,20770.0,0.0,0.0,0.0
2004-03-01,0.0,0.0,0.0,0.0,1346.0,1346.0,,,,,,,11413.0,144128.0,144128.0,-459.0,0.0,0.0
2004-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,17233.0,212776.0,212776.0,-354.0,0.0,0.0
2004-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,6496.0,82893.0,82893.0,-576.0,4361.0,4361.0
2004-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,52546.0,52546.0,4835.0,83637.0,83637.0,27571.0,483279.0,483279.0
2004-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,41825.0,41825.0,3337.0,42216.0,42216.0,113127.0,1356622.0,1356622.0
2004-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,32581.0,32581.0,13080.0,164378.0,164378.0,59361.0,650723.0,650723.0
2004-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,2158.0,2158.0,17491.0,218563.0,218563.0,0.0,0.0,0.0
2004-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,6.0,6.0,6365.0,80668.0,80668.0,0.0,0.0,0.0
2004-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,2768.0,37472.0,37472.0,0.0,0.0,0.0
