measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Residual Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Residual Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Residual Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2003-01-01,,,,707.1510000000001,6816.0,6816.0,,,
2003-02-01,,,,610.293,5882.0,5882.0,,,
2003-03-01,,,,576.404,5556.0,5556.0,,,
2003-04-01,,,,563.484,5431.0,5431.0,,,
2003-05-01,,,,592.4010000000001,5710.0,5710.0,,,
2003-06-01,,,,622.825,6003.0,6003.0,,,
2003-07-01,,,,694.013,6689.0,6689.0,,,
2003-08-01,,,,722.551,6964.0,6964.0,,,
2003-09-01,,,,591.019,5697.0,5697.0,,,
2003-10-01,,,,594.089,5726.0,5726.0,,,
2003-11-01,,,,593.876,5724.0,5724.0,,,
2003-12-01,,,,685.736,6610.0,6610.0,,,
2004-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2005-01-01,,,,1420.097,15206.47,15206.47,,,
2005-02-01,,,,326.87800000000004,3500.23,3500.23,,,
2005-03-01,,,,280.50100000000003,3003.62,3003.62,,,
2005-04-01,,,,280.66,3005.32,3005.32,,,
2005-05-01,,,,282.974,3030.1,3030.1,,,
2005-06-01,,,,342.784,3670.55,3670.55,,,
2005-07-01,,,,649.1940000000001,6951.6,6951.6,,,
2005-08-01,,,,574.9970000000001,6157.09,6157.09,,,
2005-09-01,,,,319.942,3425.95,3425.95,,,
2005-10-01,,,,448.56300000000005,4803.24,4803.24,,,
2005-11-01,,,,302.04400000000004,3234.31,3234.31,,,
2005-12-01,,,,827.3670000000001,8859.48,8859.48,,,
2006-01-01,,,,483.583,4255.63,4255.63,,,
2006-02-01,,,,606.1890000000001,5334.55,5334.55,,,
2006-03-01,,,,1103.7430000000002,9713.09,9713.09,,,
2006-04-01,,,,523.341,4605.49,4605.49,,,
2006-05-01,,,,361.455,3180.89,3180.89,,,
2006-06-01,,,,347.999,3062.46,3062.46,,,
2006-07-01,,,,431.385,3796.27,3796.27,,,
2006-08-01,,,,459.038,4039.58,4039.58,,,
2006-09-01,,,,268.366,2361.64,2361.64,,,
2006-10-01,,,,267.202,2351.44,2351.44,,,
2006-11-01,,,,434.20300000000003,3821.04,3821.04,,,
2006-12-01,,,,483.73600000000005,4256.97,4256.97,,,
2007-01-01,,,,286.28,2405.0,2405.0,0.0,0.0,0.0
2007-02-01,,,,1128.467,9475.0,9475.0,0.0,0.0,0.0
2007-03-01,,,,599.2810000000001,5034.0,5034.0,0.0,0.0,0.0
2007-04-01,,,,114.299,962.0,962.0,0.0,0.0,0.0
2007-05-01,,,,151.943,1273.0,1273.0,0.0,0.0,0.0
2007-06-01,,,,480.61600000000004,4036.0,4036.0,0.0,0.0,0.0
2007-07-01,,,,262.372,2200.0,2200.0,0.0,0.0,0.0
2007-08-01,,,,314.004,2634.0,2634.0,0.0,0.0,0.0
2007-09-01,,,,207.26100000000002,1742.0,1742.0,0.0,0.0,0.0
2007-10-01,,,,134.137,1126.0,1126.0,0.0,0.0,0.0
2007-11-01,,,,92.973,780.0,780.0,0.0,0.0,0.0
2007-12-01,,,,224.365,1883.0,1883.0,0.0,0.0,0.0
2008-01-01,,,,400.39500000000004,3444.0,3444.0,0.0,0.0,0.0
2008-02-01,,,,320.47200000000004,2757.0,2757.0,0.0,0.0,0.0
2008-03-01,,,,104.48400000000001,898.0,898.0,0.0,0.0,0.0
2008-04-01,,,,71.88900000000001,616.0,616.0,0.0,0.0,0.0
2008-05-01,,,,73.76,634.0,634.0,0.0,0.0,0.0
2008-06-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2008-07-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2008-08-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2008-09-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2008-10-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2008-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
