measured_on,Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Generation,Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Quantity Consumed For Electricity,Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Total Fuel Consumed
2003-01-01,717.7270000000001,7350.24,7350.24
2003-02-01,671.909,6881.02,6881.02
2003-03-01,649.1220000000001,6647.66,6647.66
2003-04-01,621.5310000000001,6365.1,6365.1
2003-05-01,630.58,6457.77,6457.77
2003-06-01,658.02,6738.78,6738.78
2003-07-01,758.821,7771.09,7771.09
2003-08-01,769.3480000000001,7878.89,7878.89
2003-09-01,666.658,6827.24,6827.24
2003-10-01,691.254,7079.13,7079.13
2003-11-01,709.491,7265.9,7265.9
2003-12-01,740.539,7583.86,7583.86
2004-01-01,218.0,2184.8,2184.8
2004-02-01,303.0,3036.67,3036.67
2004-03-01,1421.0,14241.26,14241.26
2004-04-01,924.0,9260.33,9260.33
2004-05-01,1082.0,10843.8,10843.8
2004-06-01,1422.0,14251.28,14251.28
2004-07-01,1443.0,14461.75,14461.75
2004-08-01,1243.0,12457.35,12457.35
2004-09-01,1177.0,11795.89,11795.89
2004-10-01,1413.0,14161.09,14161.09
2004-11-01,1166.0,11685.65,11685.65
2004-12-01,812.0,8137.86,8137.86
2005-01-01,386.0,3859.61,3859.61
2005-02-01,836.0,8359.16,8359.16
2005-03-01,1245.0,12448.76,12448.76
2005-04-01,1532.0,15318.47,15318.47
2005-05-01,1372.0,13718.63,13718.63
2005-06-01,1539.0,15388.46,15388.46
2005-07-01,839.0,8389.16,8389.16
2005-08-01,489.0,4889.51,4889.51
2005-09-01,1083.0,10828.92,10828.92
2005-10-01,1491.0,14908.51,14908.51
2005-11-01,1047.0,10468.95,10468.95
2005-12-01,1076.0,10758.92,10758.92
2006-01-01,914.0,9066.0,9066.0
2006-02-01,1175.0,11655.0,11655.0
2006-03-01,1430.0,14184.0,14184.0
2006-04-01,1524.0,15117.0,15117.0
2006-05-01,1568.0,15553.0,15553.0
2006-06-01,1207.0,11972.0,11972.0
2006-07-01,481.0,4771.0,4771.0
2006-08-01,754.0,7479.0,7479.0
2006-09-01,767.0,7608.0,7608.0
2006-10-01,613.0,6080.0,6080.0
2006-11-01,563.0,5584.0,5584.0
2006-12-01,661.0,6556.0,6556.0
2007-01-01,1043.0,10309.0,10309.0
2007-02-01,379.0,3746.0,3746.0
2007-03-01,1189.0,11752.0,11752.0
2007-04-01,1482.0,14648.0,14648.0
2007-05-01,1232.0,12177.0,12177.0
2007-06-01,1018.0,10062.0,10062.0
2007-07-01,329.0,3252.0,3252.0
2007-08-01,658.0,6504.0,6504.0
2007-09-01,927.0,9162.0,9162.0
2007-10-01,1301.0,12859.0,12859.0
2007-11-01,1313.0,12978.0,12978.0
2007-12-01,858.0,8480.0,8480.0
2008-01-01,615.0,6060.0,6060.0
2008-02-01,402.0,3961.0,3961.0
2008-03-01,1091.0,10751.0,10751.0
2008-04-01,1482.0,14604.0,14604.0
2008-05-01,1510.0,14880.0,14880.0
2008-06-01,1125.0,11086.0,11086.0
2008-07-01,837.0,8248.0,8248.0
2008-08-01,426.0,4198.0,4198.0
2008-09-01,248.0,2444.0,2444.0
2008-10-01,434.0,4277.0,4277.0
2008-11-01,440.0,4336.0,4336.0
2008-12-01,298.0,2936.0,2936.0
2009-01-01,280.0,2733.0,2733.0
2009-02-01,574.0,5602.0,5602.0
2009-03-01,1174.0,11458.0,11458.0
2009-04-01,876.0,8550.0,8550.0
2009-05-01,794.0,7749.0,7749.0
2009-06-01,701.0,6842.0,6842.0
2009-07-01,317.0,3094.0,3094.0
2009-08-01,456.0,4451.0,4451.0
2009-09-01,174.0,1698.0,1698.0
2009-10-01,861.0,8403.0,8403.0
2009-11-01,979.0,9555.0,9555.0
2009-12-01,473.0,4616.0,4616.0
2010-01-01,446.0,4351.0,4351.0
2010-02-01,417.0,4068.0,4068.0
2010-03-01,1218.0,11883.0,11883.0
2010-04-01,1379.0,13454.0,13454.0
2010-05-01,1056.0,10302.0,10302.0
2010-06-01,1241.0,12107.0,12107.0
2010-07-01,1406.0,13717.0,13717.0
2010-08-01,1133.0,11054.0,11054.0
2010-09-01,1184.0,11551.0,11551.0
2010-10-01,1403.0,13688.0,13688.0
2010-11-01,1340.0,13073.0,13073.0
2010-12-01,1388.0,13541.0,13541.0
2011-01-01,1409.0,13690.0,13690.0
2011-02-01,1104.0,10726.0,10726.0
2011-03-01,1416.0,13758.0,13758.0
2011-04-01,1348.0,13097.0,13097.0
2011-05-01,1404.0,13641.0,13641.0
2011-06-01,1422.0,13816.0,13816.0
2011-07-01,1468.0,14263.0,14263.0
2011-08-01,1273.0,12368.0,12368.0
2011-09-01,505.0,4907.0,4907.0
2011-10-01,493.0,4790.0,4790.0
2011-11-01,441.0,4285.0,4285.0
2011-12-01,378.0,3673.0,3673.0
2012-01-01,294.0,2798.0,2798.0
2012-02-01,290.0,2760.0,2760.0
2012-03-01,1082.0,10296.0,10296.0
2012-04-01,756.0,7194.0,7194.0
2012-05-01,1356.0,12904.0,12904.0
2012-06-01,1266.0,12047.0,12047.0
2012-07-01,750.0,7137.0,7137.0
2012-08-01,418.0,3978.0,3978.0
2012-09-01,231.0,2198.0,2198.0
2012-10-01,368.0,3502.0,3502.0
2012-11-01,357.0,3397.0,3397.0
2012-12-01,220.0,2094.0,2094.0
2013-01-01,173.0,1651.0,1651.0
2013-02-01,233.0,2223.0,2223.0
2013-03-01,676.0,6450.0,6450.0
2013-04-01,1192.0,11373.0,11373.0
2013-05-01,1476.0,14083.0,14083.0
2013-06-01,1299.0,12394.0,12394.0
2013-07-01,1055.0,10066.0,10066.0
2013-08-01,896.0,8549.0,8549.0
2013-09-01,384.0,3664.0,3664.0
2013-10-01,774.0,7385.0,7385.0
2013-11-01,541.0,5162.0,5162.0
2013-12-01,321.0,3063.0,3063.0
2014-01-01,295.0,2805.0,2805.0
2014-02-01,264.0,2511.0,2511.0
2014-03-01,1001.0,9520.0,9520.0
2014-04-01,1479.0,14065.0,14065.0
2014-05-01,1496.0,14227.0,14227.0
2014-06-01,1356.0,12896.0,12896.0
2014-07-01,1360.0,12934.0,12934.0
2014-08-01,895.0,8511.0,8511.0
2014-09-01,538.0,5116.0,5116.0
2014-10-01,535.0,5088.0,5088.0
2014-11-01,434.0,4127.0,4127.0
2014-12-01,382.0,3633.0,3633.0
2015-01-01,304.0,2833.0,2833.0
2015-02-01,201.0,1873.0,1873.0
2015-03-01,566.0,5275.0,5275.0
2015-04-01,961.0,8956.0,8956.0
2015-05-01,678.0,6318.0,6318.0
2015-06-01,1401.0,13056.0,13056.0
2015-07-01,1504.0,14016.0,14016.0
2015-08-01,1444.0,13457.0,13457.0
2015-09-01,1418.0,13214.0,13214.0
2015-10-01,1016.0,9468.0,9468.0
2015-11-01,975.0,9086.0,9086.0
2015-12-01,1049.0,9776.0,9776.0
2016-01-01,1090.0,10063.0,10063.0
2016-02-01,1047.0,9666.0,9666.0
2016-03-01,1296.0,11965.0,11965.0
2016-04-01,1225.0,11309.0,11309.0
2016-05-01,1248.0,11522.0,11522.0
2016-06-01,1388.0,12814.0,12814.0
2016-07-01,1491.0,13765.0,13765.0
2016-08-01,1426.0,13165.0,13165.0
2016-09-01,1301.0,12011.0,12011.0
2016-10-01,1323.0,12214.0,12214.0
2016-11-01,1335.0,12325.0,12325.0
2016-12-01,1398.0,12906.0,12906.0
2017-01-01,1153.034,10623.0,10623.0
2017-02-01,1062.197,9786.0,9786.0
2017-03-01,1087.082,10015.0,10015.0
2017-04-01,1199.062,11047.0,11047.0
2017-05-01,2244.64,20680.0,20680.0
2017-06-01,1292.682,11909.0,11909.0
2017-07-01,1524.647,14047.0,14047.0
2017-08-01,1111.27,10238.0,10238.0
2017-09-01,846.504,7799.0,7799.0
2017-10-01,1229.34,11326.0,11326.0
2017-11-01,1055.15,9721.0,9721.0
2017-12-01,1169.392,10774.0,10774.0
2018-01-01,907.852,8265.0,8265.0
2018-02-01,818.878,7455.0,7455.0
2018-03-01,933.994,8503.0,8503.0
2018-04-01,1114.929,10150.0,10150.0
2018-05-01,946.504,8617.0,8617.0
2018-06-01,1013.631,9228.0,9228.0
2018-07-01,1672.487,15226.0,15226.0
2018-08-01,786.762,7163.0,7163.0
2018-09-01,941.183,8569.0,8569.0
2018-10-01,1613.949,14693.0,14693.0
2018-11-01,1576.885,14356.0,14356.0
2018-12-01,1471.946,13401.0,13401.0
2019-01-01,1541.02,13723.0,13723.0
2019-02-01,895.639,7976.0,7976.0
2019-03-01,1553.034,13830.0,13830.0
2019-04-01,1559.664,13889.0,13889.0
2019-05-01,1808.596,16106.0,16106.0
2019-06-01,1505.915,13410.0,13410.0
2019-07-01,1044.873,9305.0,9305.0
2019-08-01,779.481,6941.0,6941.0
2019-09-01,881.441,7849.0,7849.0
2019-10-01,948.53,8447.0,8447.0
2019-11-01,945.019,8415.0,8415.0
2019-12-01,1049.788,9348.0,9348.0
2020-01-01,161.63,1417.0,1417.0
2020-02-01,146.523,1285.0,1285.0
2020-03-01,119.195,1045.0,1045.0
2020-04-01,158.324,1388.0,1388.0
2020-05-01,120.318,1055.0,1055.0
2020-06-01,127.452,1117.0,1117.0
2020-07-01,106.81,936.0,936.0
2020-08-01,84.167,738.0,738.0
2020-09-01,52.683,462.0,462.0
2020-10-01,58.976,517.0,517.0
2020-11-01,78.888,692.0,692.0
2020-12-01,81.034,710.0,710.0
2021-01-01,34.182,302.0,302.0
2021-02-01,28.442,252.0,252.0
2021-03-01,27.277,241.0,241.0
2021-04-01,24.061,213.0,213.0
2021-05-01,29.809,264.0,264.0
2021-06-01,32.095,284.0,284.0
2021-07-01,28.577,253.0,253.0
2021-08-01,26.965,238.0,238.0
2021-09-01,22.117,196.0,196.0
2021-10-01,22.696,201.0,201.0
2021-11-01,26.6,235.0,235.0
2021-12-01,34.179,302.0,302.0
2022-01-01,0.0,0.0,0.0
2023-01-01,0.0,0.0,0.0
2023-02-01,0.0,0.0,0.0
2023-03-01,0.0,0.0,0.0
2023-04-01,0.0,0.0,0.0
2023-05-01,0.0,0.0,0.0
2023-06-01,0.0,0.0,0.0
2023-07-01,0.0,0.0,0.0
2023-08-01,0.0,0.0,0.0
2023-09-01,0.0,0.0,0.0
2023-10-01,0.0,0.0,0.0
2023-11-01,0.0,0.0,0.0
2023-12-01,0.0,0.0,0.0
2024-01-01,0.0,0.0,0.0
2024-02-01,0.0,0.0,0.0
2024-03-01,0.0,0.0,0.0
2024-04-01,0.0,0.0,0.0
2024-05-01,0.0,0.0,0.0
2024-06-01,0.0,0.0,0.0
2024-07-01,0.0,0.0,0.0
2024-08-01,0.0,0.0,0.0
2024-09-01,0.0,0.0,0.0
2024-10-01,0.0,0.0,0.0
2024-11-01,0.0,0.0,0.0
2024-12-01,0.0,0.0,0.0
