measured_on,Other Biomass Gas Generation,Other Biomass Gas Quantity Consumed For Electricity,Other Biomass Gas Total Fuel Consumed
2016-11-01,-90.791,89.0,89.0
2016-12-01,-73.209,71.0,71.0
2017-01-01,243.109,6775.0,6775.0
2017-02-01,231.974,6466.0,6466.0
2017-03-01,237.288,6614.0,6614.0
2017-04-01,214.915,5990.0,5990.0
2017-05-01,218.076,6078.0,6078.0
2017-06-01,206.965,5768.0,5768.0
2017-07-01,214.158,5969.0,5969.0
2017-08-01,203.32,5667.0,5667.0
2017-09-01,188.961,5267.0,5267.0
2017-10-01,223.45,6228.0,6228.0
2017-11-01,230.651,6429.0,6429.0
2017-12-01,238.133,6637.0,6637.0
2018-01-01,7.979,155.0,155.0
2018-02-01,7.567,148.0,148.0
2018-03-01,8.053,157.0,157.0
2018-04-01,7.755,151.0,151.0
2018-05-01,7.014,137.0,137.0
2018-06-01,7.588,148.0,148.0
2018-07-01,7.625,149.0,149.0
2018-08-01,7.585,148.0,148.0
2018-09-01,6.232,122.0,122.0
2018-10-01,7.735,151.0,151.0
2018-11-01,7.826,153.0,153.0
2018-12-01,8.041,157.0,157.0
2019-01-01,178.056,2702.0,2702.0
2019-02-01,156.879,2380.0,2380.0
2019-03-01,169.45,2571.0,2571.0
2019-04-01,159.443,2419.0,2419.0
2019-05-01,170.877,2592.0,2592.0
2019-06-01,165.235,2507.0,2507.0
2019-07-01,167.759,2545.0,2545.0
2019-08-01,162.362,2463.0,2463.0
2019-09-01,158.974,2412.0,2412.0
2019-10-01,167.253,2538.0,2538.0
2019-11-01,158.685,2408.0,2408.0
2019-12-01,177.027,2686.0,2686.0
2021-01-01,1060.887,10858.0,10858.0
2021-02-01,990.407,10137.0,10137.0
2021-03-01,1054.682,10795.0,10795.0
2021-04-01,1037.156,10615.0,10615.0
2021-05-01,1046.335,10709.0,10709.0
2021-06-01,961.081,9837.0,9837.0
2021-07-01,991.411,10147.0,10147.0
2021-08-01,959.279,9819.0,9819.0
2021-09-01,883.13,9039.0,9039.0
2021-10-01,937.635,9597.0,9597.0
2021-11-01,935.461,9574.0,9574.0
2021-12-01,1101.476,11274.0,11274.0
2022-01-01,738.828,8358.0,8358.0
2022-02-01,708.455,8015.0,8015.0
2022-03-01,756.168,8554.0,8554.0
2022-04-01,733.602,8299.0,8299.0
2022-05-01,670.415,7584.0,7584.0
2022-06-01,695.086,7863.0,7863.0
2022-07-01,764.261,8646.0,8646.0
2022-08-01,700.564,7925.0,7925.0
2022-09-01,639.931,7239.0,7239.0
2022-10-01,695.872,7872.0,7872.0
2022-11-01,692.172,7830.0,7830.0
2022-12-01,735.546,8321.0,8321.0
2024-01-01,18.355,194.0,194.0
2024-02-01,17.271,181.0,181.0
2024-03-01,16.537,174.0,174.0
2024-04-01,16.704,175.0,175.0
2024-05-01,17.438,183.0,183.0
2024-06-01,14.959,157.0,157.0
2024-07-01,16.131,169.0,169.0
2024-08-01,16.719,176.0,176.0
2024-09-01,15.273,160.0,160.0
2024-10-01,16.38,172.0,172.0
2024-11-01,17.343,182.0,182.0
2024-12-01,16.81,177.0,177.0
