measured_on,Solar - Photovoltaic - Solar - Generation,Solar - Photovoltaic - Solar - Quantity Consumed For Electricity,Solar - Photovoltaic - Solar - Total Fuel Consumed
2018-06-01,1306.901,11898.0,11898.0
2018-07-01,1453.498,13233.0,13233.0
2018-08-01,1221.141,11117.0,11117.0
2018-09-01,1009.063,9187.0,9187.0
2018-10-01,713.336,6494.0,6494.0
2018-11-01,277.35,2525.0,2525.0
2018-12-01,306.711,2792.0,2792.0
2019-01-01,481.475,4288.0,4288.0
2019-02-01,970.281,8640.0,8640.0
2019-03-01,1175.615,10469.0,10469.0
2019-04-01,1216.328,10831.0,10831.0
2019-05-01,1250.466,11135.0,11135.0
2019-06-01,1413.824,12590.0,12590.0
2019-07-01,1709.434,15223.0,15223.0
2019-08-01,1641.917,14621.0,14621.0
2019-09-01,1116.949,9946.0,9946.0
2019-10-01,949.545,8456.0,8456.0
2019-11-01,481.474,4288.0,4288.0
2019-12-01,456.692,4067.0,4067.0
2020-01-01,495.939,4348.0,4348.0
2020-02-01,736.491,6457.0,6457.0
2020-03-01,1083.126,9496.0,9496.0
2020-04-01,1329.412,11655.0,11655.0
2020-05-01,1567.167,13739.0,13739.0
2020-06-01,1926.776,16892.0,16892.0
2020-07-01,1851.084,16228.0,16228.0
2020-08-01,1740.198,15256.0,15256.0
2020-09-01,1361.882,11940.0,11940.0
2020-10-01,1075.887,9432.0,9432.0
2020-11-01,731.259,6411.0,6411.0
2020-12-01,531.779,4662.0,4662.0
2021-01-01,461.097,4078.0,4078.0
2021-02-01,777.849,6879.0,6879.0
2021-03-01,1493.585,13209.0,13209.0
2021-04-01,1366.128,12082.0,12082.0
2021-05-01,1707.245,15099.0,15099.0
2021-06-01,1696.723,15006.0,15006.0
2021-07-01,1764.559,15606.0,15606.0
2021-08-01,1720.166,15213.0,15213.0
2021-09-01,1399.723,12379.0,12379.0
2021-10-01,843.009,7456.0,7456.0
2021-11-01,623.627,5515.0,5515.0
2021-12-01,419.289,3708.0,3708.0
2022-01-01,512.578,1749.0,1749.0
2022-02-01,653.55,2230.0,2230.0
2022-03-01,1064.5,3632.0,3632.0
2022-04-01,1175.773,4012.0,4012.0
2022-05-01,1546.001,5275.0,5275.0
2022-06-01,1910.181,6518.0,6518.0
2022-07-01,1814.142,6190.0,6190.0
2022-08-01,1665.54,5683.0,5683.0
2022-09-01,1252.37,4273.0,4273.0
2022-10-01,1108.77,3783.0,3783.0
2022-11-01,685.164,2338.0,2338.0
2022-12-01,292.431,998.0,998.0
2023-01-01,220.0,751.0,751.0
2023-02-01,731.0,2494.0,2494.0
2023-03-01,1096.0,3740.0,3740.0
2023-04-01,1399.0,4773.0,4773.0
2023-05-01,1955.0,6670.0,6670.0
2023-06-01,1767.0,6029.0,6029.0
2023-07-01,1796.0,6128.0,6128.0
2023-08-01,1608.0,5486.0,5486.0
2023-09-01,1173.0,4002.0,4002.0
2023-10-01,693.0,2365.0,2365.0
2023-11-01,584.0,1993.0,1993.0
2023-12-01,273.0,931.0,931.0
2024-01-01,100.0,341.0,341.0
2024-02-01,839.0,2863.0,2863.0
2024-03-01,1039.0,3545.0,3545.0
2024-04-01,1578.0,5384.0,5384.0
2024-05-01,1830.0,6244.0,6244.0
2024-06-01,1576.0,5377.0,5377.0
2024-07-01,1997.0,6814.0,6814.0
2024-08-01,1663.0,5674.0,5674.0
2024-09-01,1341.0,4575.0,4575.0
2024-10-01,1103.0,3763.0,3763.0
2024-11-01,374.0,1276.0,1276.0
2024-12-01,194.0,662.0,662.0
