measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,36.0,487.0,487.0,619.0,8056.0,8056.0,27430.0,357120.0,357120.0
2003-02-01,225.0,3298.0,3298.0,645.0,7533.0,7533.0,18266.0,213282.0,213282.0
2003-03-01,0.0,0.0,0.0,83.0,905.0,905.0,21601.0,236424.0,236424.0
2003-04-01,0.0,0.0,0.0,2641.0,37995.0,37995.0,84.0,1212.0,1212.0
2003-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-06-01,0.0,0.0,0.0,167.0,2163.0,2163.0,6431.0,83324.0,83324.0
2003-07-01,0.0,0.0,0.0,8156.0,109393.0,109393.0,195.0,2610.0,2610.0
2003-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-09-01,0.0,0.0,0.0,199.0,2384.0,2384.0,6447.0,77314.0,77314.0
2003-10-01,0.0,0.0,0.0,79.0,1224.0,1224.0,1530.0,23587.0,23587.0
2003-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-01,207.126,3477.0,3477.0,96.146,1398.0,1398.0,4492.323,65322.0,65322.0
2004-02-01,23.71,398.0,398.0,31.266000000000002,454.0,454.0,2045.105,29737.0,29737.0
2004-03-01,3.1790000000000003,53.0,53.0,47.827000000000005,695.0,695.0,2656.577,38629.0,38629.0
2004-04-01,15.042000000000002,253.0,253.0,35.025,509.0,509.0,3332.096,48451.0,48451.0
2004-05-01,67.796,1138.0,1138.0,58.665,853.0,853.0,5088.44,73990.0,73990.0
2004-06-01,40.273,676.0,676.0,46.346000000000004,674.0,674.0,2964.708,43109.0,43109.0
2004-07-01,28.613000000000003,480.0,480.0,47.092,685.0,685.0,2181.76,31725.0,31725.0
2004-08-01,37.421,628.0,628.0,37.392,544.0,544.0,4855.499,70603.0,70603.0
2004-09-01,29.901,502.0,502.0,14.109,205.0,205.0,885.234,12872.0,12872.0
2004-10-01,7.336,123.0,123.0,27.921000000000003,406.0,406.0,22.669,330.0,330.0
2004-11-01,15.606,262.0,262.0,32.801,477.0,477.0,10.283000000000001,150.0,150.0
2004-12-01,76.99900000000001,1293.0,1293.0,33.409,486.0,486.0,1547.306,22499.0,22499.0
2005-01-01,459.374,6959.23,6959.23,377.30100000000004,4841.09,4841.09,10767.082,138143.56,138143.56
2005-02-01,105.739,1601.88,1601.88,86.84700000000001,1114.33,1114.33,4395.885,56399.98,56399.98
2005-03-01,90.73700000000001,1374.6,1374.6,74.525,956.22,956.22,6049.408,77614.97,77614.97
2005-04-01,90.78800000000001,1375.38,1375.38,74.568,956.76,956.76,3492.7670000000003,44812.82,44812.82
2005-05-01,91.537,1386.72,1386.72,75.182,964.65,964.65,1434.455,18404.31,18404.31
2005-06-01,110.884,1679.83,1679.83,91.07300000000001,1168.55,1168.55,8042.084000000001,103181.35,103181.35
2005-07-01,210.002,3181.4,3181.4,172.482,2213.09,2213.09,9802.573,125768.73,125768.73
2005-08-01,186.0,2817.79,2817.79,152.769,1960.16,1960.16,11536.591,148016.49,148016.49
2005-09-01,103.495,1567.88,1567.88,85.004,1090.68,1090.68,9008.938,115586.25,115586.25
2005-10-01,145.102,2198.2,2198.2,119.177,1529.14,1529.14,8253.483,105893.64,105893.64
2005-11-01,97.706,1480.18,1480.18,80.24900000000001,1029.67,1029.67,3813.637,48929.64,48929.64
2005-12-01,267.637,4054.54,4054.54,219.82,2820.48,2820.48,11327.095,145328.61,145328.61
2006-01-01,51.123000000000005,992.0,992.0,87.79100000000001,1696.0,1696.0,921.035,17782.0,17782.0
2006-02-01,26.751,519.0,519.0,45.938,887.0,887.0,710.74,13722.0,13722.0
2006-03-01,22.471,436.0,436.0,38.588,745.0,745.0,308.122,5949.0,5949.0
2006-04-01,43.044000000000004,835.0,835.0,73.918,1428.0,1428.0,243.17100000000002,4695.0,4695.0
2006-05-01,40.236000000000004,781.0,781.0,69.09400000000001,1335.0,1335.0,180.368,3482.0,3482.0
2006-06-01,36.571000000000005,709.0,709.0,62.802,1213.0,1213.0,430.341,8308.0,8308.0
