measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2006-07-01,52.975,1028.0,1028.0,90.97,1757.0,1757.0,916.2130000000001,17689.0,17689.0
2006-08-01,51.385,997.0,997.0,88.241,1705.0,1705.0,903.3,17440.0,17440.0
2006-09-01,23.607000000000003,458.0,458.0,40.539,783.0,783.0,207.88400000000001,4014.0,4014.0
2006-10-01,24.937,484.0,484.0,42.822,827.0,827.0,406.43600000000004,7847.0,7847.0
2006-11-01,29.364,570.0,570.0,50.425,974.0,974.0,492.779,9514.0,9514.0
2006-12-01,32.536,631.0,631.0,55.871,1079.0,1079.0,515.61,9955.0,9955.0
2007-01-01,47.204,753.0,753.0,0.0,1414.0,1414.0,0.0,1597.0,1597.0
2007-02-01,290.471,4653.0,4653.0,332.887,5198.0,5198.0,2056.1130000000003,32107.0,32107.0
2007-03-01,69.641,1113.0,1113.0,0.0,2422.0,2422.0,0.0,1193.0,1193.0
2007-04-01,26.513,423.0,423.0,109.961,1831.0,1831.0,1159.039,19302.0,19302.0
2007-05-01,20.658,330.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-06-01,61.992000000000004,991.0,991.0,206.3,2903.0,2903.0,5367.7,75541.0,75541.0
2007-07-01,32.649,522.0,522.0,123.16,1773.0,1773.0,3307.84,47627.0,47627.0
2007-08-01,95.77,1536.0,1536.0,353.265,4862.0,4862.0,11534.735,158753.0,158753.0
2007-09-01,43.515,695.0,695.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-10-01,21.499000000000002,342.0,342.0,166.386,2585.0,2585.0,2506.614,38937.0,38937.0
2007-11-01,13.37,214.0,214.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-12-01,45.718,730.0,730.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-01,93.652,1930.0,1930.0,55.454,1037.0,1037.0,910.546,17032.0,17032.0
2008-02-01,85.85900000000001,1767.0,1767.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-01,19.781000000000002,406.0,406.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-04-01,10.639000000000001,220.0,220.0,31.914,394.0,394.0,600.086,7410.0,7410.0
2008-05-01,33.145,684.0,684.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-06-01,100.034,2057.0,2057.0,9.526,174.0,174.0,586.474,10703.0,10703.0
2008-07-01,95.29,1965.0,1965.0,29.419,197.0,197.0,14346.581,96083.0,96083.0
2008-08-01,25.273,522.0,522.0,20.029,301.0,301.0,1787.971,26901.0,26901.0
2008-09-01,36.698,753.0,753.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-10-01,18.504,382.0,382.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-11-01,20.751,429.0,429.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-01,58.374,1200.0,1200.0,144.92700000000002,1941.0,1941.0,7660.073,102608.0,102608.0
2009-01-01,241.03300000000002,4018.0,4018.0,264.089,3419.0,3419.0,14707.911,190417.0,190417.0
2009-02-01,39.679,657.0,657.0,63.031000000000006,858.0,858.0,3536.969,48127.0,48127.0
2009-03-01,140.626,2338.0,2338.0,-256.0,0.0,0.0,-256.0,0.0,0.0
2009-04-01,14.53,244.0,244.0,-94.0,0.0,0.0,-94.0,0.0,0.0
2009-05-01,19.378,320.0,320.0,-88.5,0.0,0.0,-88.5,0.0,0.0
2009-06-01,24.422,407.0,407.0,-83.5,0.0,0.0,-83.5,0.0,0.0
2009-07-01,33.143,552.0,552.0,-81.5,0.0,0.0,-81.5,0.0,0.0
2009-08-01,24.011000000000003,401.0,401.0,121.43,2363.0,2363.0,533.57,10381.0,10381.0
2009-09-01,18.305,302.0,302.0,-82.0,0.0,0.0,-82.0,0.0,0.0
2009-10-01,30.209000000000003,500.0,500.0,-82.0,0.0,0.0,-82.0,0.0,0.0
2009-11-01,21.151,349.0,349.0,37.551,1901.0,1901.0,1262.449,63898.0,63898.0
2009-12-01,30.513,506.0,506.0,-176.0,0.0,0.0,-176.0,0.0,0.0
2010-01-01,11.824,222.0,222.0,-30.965,510.0,510.0,-253.03500000000003,4167.0,4167.0
2010-02-01,10.955,199.0,199.0,170.953,2782.0,2782.0,2083.047,33894.0,33894.0
2010-03-01,4.196000000000001,76.0,76.0,-4.873,0.0,0.0,-182.127,0.0,0.0
2010-04-01,3.9730000000000003,70.0,70.0,-4.3,0.0,0.0,-160.70000000000002,0.0,0.0
2010-05-01,9.031,164.0,164.0,-4.873,0.0,0.0,-182.127,0.0,0.0
2010-06-01,14.806000000000001,269.0,269.0,50.660000000000004,707.0,707.0,1642.3400000000001,22920.0,22920.0
2010-07-01,32.945,596.0,596.0,262.363,3419.0,3419.0,4796.637000000001,62509.0,62509.0
2010-08-01,22.048000000000002,398.0,398.0,34.6,725.0,725.0,689.4,14449.0,14449.0
2010-09-01,15.923,287.0,287.0,-3.44,0.0,0.0,-128.56,0.0,0.0
2010-10-01,9.109,164.0,164.0,-3.492,0.0,0.0,-130.508,0.0,0.0
2010-11-01,3.7710000000000004,70.0,70.0,-3.6220000000000003,0.0,0.0,-135.37800000000001,0.0,0.0
2010-12-01,25.419,462.0,462.0,-135.524,1029.0,1029.0,-142.476,1082.0,1082.0
2011-01-01,6.988,282.0,282.0,70.325,1053.0,1053.0,314.675,4710.0,4710.0
2011-02-01,3.256,129.0,129.0,-8.94,0.0,0.0,-160.06,0.0,0.0
2011-03-01,1.919,76.0,76.0,-8.569,0.0,0.0,-153.431,0.0,0.0
2011-04-01,2.845,111.0,111.0,-6.93,0.0,0.0,-124.07,0.0,0.0
2011-05-01,4.349,170.0,170.0,70.474,994.0,994.0,1964.526,27713.0,27713.0
2011-06-01,11.222,446.0,446.0,194.013,2494.0,2494.0,2495.987,32090.0,32090.0
2011-07-01,16.701,657.0,657.0,211.001,2765.0,2765.0,7576.999,99291.0,99291.0
2011-08-01,4.36,170.0,170.0,32.489,400.0,400.0,2154.511,26529.0,26529.0
2011-09-01,4.232,170.0,170.0,-132.0,124.0,124.0,0.0,0.0,0.0
2011-10-01,2.372,94.0,94.0,-8.358,0.0,0.0,-149.642,0.0,0.0
2011-11-01,2.874,111.0,111.0,-8.993,0.0,0.0,-161.007,0.0,0.0
2011-12-01,6.882,270.0,270.0,-11.585,0.0,0.0,-207.415,0.0,0.0
2012-01-01,29.97,588.0,588.0,-11.532,0.0,0.0,-272.468,0.0,0.0
2012-02-01,16.513,323.0,323.0,-10.314,0.0,0.0,-243.686,0.0,0.0
2012-03-01,66.999,1298.0,1298.0,-7.999,0.0,0.0,-189.001,0.0,0.0
2012-04-01,22.989,447.0,447.0,-7.431,0.0,0.0,-175.569,0.0,0.0
2012-05-01,38.8,752.0,752.0,-10.07,0.0,0.0,-237.93,0.0,0.0
2012-06-01,83.009,1610.0,1610.0,101.674,1363.0,1363.0,1263.326,16936.0,16936.0
2012-07-01,90.646,1757.0,1757.0,55.111,799.0,799.0,1446.889,20977.0,20977.0
2012-08-01,52.748,1022.0,1022.0,96.241,1334.0,1334.0,1064.759,14755.0,14755.0
2012-09-01,24.275,470.0,470.0,-5.116,0.0,0.0,-120.884,0.0,0.0
2012-10-01,26.296,511.0,511.0,-5.522,0.0,0.0,-130.478,0.0,0.0
2012-11-01,24.035,464.0,464.0,-8.365,0.0,0.0,-197.635,0.0,0.0
2012-12-01,25.72,499.0,499.0,-7.512,0.0,0.0,-177.488,0.0,0.0
2013-01-01,14.816,442.0,442.0,-13.966,0.0,0.0,-208.034,0.0,0.0
2013-02-01,8.08,239.0,239.0,-15.539,0.0,0.0,-231.461,0.0,0.0
2013-03-01,9.788,291.0,291.0,26.781,849.0,849.0,68.219,2163.0,2163.0
2013-04-01,10.673,314.0,314.0,-9.311,0.0,0.0,-138.689,0.0,0.0
2013-05-01,16.524,489.0,489.0,-8.304,0.0,0.0,-123.696,0.0,0.0
2013-06-01,5.36,157.0,157.0,-9.122,0.0,0.0,-135.878,0.0,0.0
2013-07-01,24.911,739.0,739.0,136.945,1995.0,1995.0,2771.055,40373.0,40373.0
2013-08-01,8.918,268.0,268.0,85.77,1117.0,1117.0,1475.23,19210.0,19210.0
2013-09-01,12.862,384.0,384.0,45.112,719.0,719.0,1001.888,15975.0,15975.0
2013-10-01,7.426,221.0,221.0,-8.996,0.0,0.0,-134.004,0.0,0.0
2013-11-01,8.944,268.0,268.0,-10.695,0.0,0.0,-159.305,0.0,0.0
2013-12-01,37.698,1117.0,1117.0,-13.085,0.0,0.0,-194.915,0.0,0.0
2014-01-01,416.358,6893.0,6893.0,264.443,3382.0,3382.0,9803.557,125379.0,125379.0
2014-02-01,53.484,883.0,883.0,87.756,1198.0,1198.0,2213.244,30216.0,30216.0
2014-03-01,115.572,1911.0,1911.0,72.441,896.0,896.0,2632.559,32549.0,32549.0
2014-04-01,15.299,256.0,256.0,-10.814,0.0,0.0,-168.186,0.0,0.0
2014-05-01,17.402,290.0,290.0,-10.028,0.0,0.0,-155.972,0.0,0.0
2014-06-01,15.221,250.0,250.0,33.214,686.0,686.0,496.786,10265.0,10265.0
2014-07-01,12.254,203.0,203.0,-7.914,0.0,0.0,-123.086,0.0,0.0
2014-08-01,14.631,244.0,244.0,-7.672,0.0,0.0,-119.328,0.0,0.0
2014-09-01,11.963,197.0,197.0,72.573,2030.0,2030.0,310.427,8682.0,8682.0
2014-10-01,9.141,151.0,151.0,-7.854,0.0,0.0,-122.146,0.0,0.0
2014-11-01,13.465,221.0,221.0,-10.451,0.0,0.0,-162.549,0.0,0.0
2014-12-01,17.21,285.0,285.0,-12.687,0.0,0.0,-197.313,0.0,0.0
2015-01-01,132.017,1999.0,1999.0,42.413,1274.0,1274.0,359.587,10799.0,10799.0
2015-02-01,351.97,5317.0,5317.0,41.677,576.0,576.0,9540.323,131804.0,131804.0
2015-03-01,67.606,1023.0,1023.0,-285.0,1908.0,1908.0,0.0,0.0,0.0
2015-04-01,44.705,674.0,674.0,-5.512,0.0,0.0,-150.488,0.0,0.0
2015-05-01,71.235,1075.0,1075.0,-145.0,17.0,17.0,0.0,0.0,0.0
2015-06-01,96.36,1459.0,1459.0,-136.0,215.0,215.0,0.0,0.0,0.0
2015-07-01,119.173,1801.0,1801.0,-144.385,1053.0,1053.0,-36.615,267.0,267.0
2015-08-01,68.704,1040.0,1040.0,180.641,3530.0,3530.0,1269.359,24807.0,24807.0
2015-09-01,51.295,773.0,773.0,-4.064,0.0,0.0,-110.936,0.0,0.0
2015-10-01,36.002,546.0,546.0,-4.558,0.0,0.0,-124.442,0.0,0.0
2015-11-01,25.113,378.0,378.0,-184.0,23.0,23.0,0.0,0.0,0.0
2015-12-01,20.82,314.0,314.0,-138.0,35.0,35.0,0.0,0.0,0.0
2016-01-01,-19.7,157.0,157.0,-73.087,3674.0,3674.0,-48.913,2459.0,2459.0
2016-02-01,-13.828,99.0,99.0,12.594,2055.0,2055.0,30.406,4962.0,4962.0
2016-03-01,-6.056,47.0,47.0,-3.053,0.0,0.0,-106.947,0.0,0.0
2016-04-01,-5.909,41.0,41.0,-7.133,0.0,0.0,-249.867,0.0,0.0
2016-05-01,-5.555,41.0,41.0,-256.0,361.0,361.0,0.0,0.0,0.0
2016-06-01,-7.12,52.0,52.0,60.823,1100.0,1100.0,1655.177,29944.0,29944.0
2016-07-01,-7.722,58.0,58.0,-7.3,0.0,0.0,-255.7,0.0,0.0
2016-08-01,-10.701,76.0,76.0,-286.0,629.0,629.0,0.0,0.0,0.0
2016-09-01,-5.014,35.0,35.0,-7.411,0.0,0.0,-259.589,0.0,0.0
2016-10-01,-5.95,41.0,41.0,126.832,3982.0,3982.0,418.168,13130.0,13130.0
2016-11-01,-1.893,12.0,12.0,-6.19,0.0,0.0,-216.81,0.0,0.0
2016-12-01,-3.552,23.0,23.0,48.511,1675.0,1675.0,268.489,9268.0,9268.0
2017-01-01,2.176,298.0,298.0,-341.0,484.0,484.0,0.0,0.0,0.0
2017-02-01,0.577,82.0,82.0,-312.0,303.0,303.0,0.0,0.0,0.0
2017-03-01,1.529,210.0,210.0,-340.0,152.0,152.0,0.0,0.0,0.0
2017-04-01,0.726,99.0,99.0,-33.329,0.0,0.0,-205.671,0.0,0.0
2017-05-01,1.953,268.0,268.0,-29.564,0.0,0.0,-182.436,0.0,0.0
2017-06-01,1.529,210.0,210.0,70.736,1395.0,1395.0,607.264,11972.0,11972.0
2017-07-01,2.316,315.0,315.0,79.456,1622.0,1622.0,548.544,11199.0,11199.0
2017-08-01,1.389,193.0,193.0,-27.054,0.0,0.0,-166.946,0.0,0.0
2017-09-01,2.265,309.0,309.0,-199.0,531.0,531.0,0.0,0.0,0.0
2017-10-01,1.246,169.0,169.0,-27.612,0.0,0.0,-170.388,0.0,0.0
2017-11-01,1.746,239.0,239.0,-306.0,93.0,93.0,0.0,0.0,0.0
2017-12-01,2.548,350.0,350.0,-275.121,1996.0,1996.0,-141.879,1029.0,1029.0
2018-01-01,636.686,10728.0,10728.0,537.623,8042.0,8042.0,5737.377,85819.0,85819.0
2018-02-01,35.677,602.0,602.0,-309.0,333.0,333.0,0.0,0.0,0.0
2018-03-01,44.966,759.0,759.0,-337.0,58.0,58.0,0.0,0.0,0.0
2018-04-01,40.693,683.0,683.0,-32.45,0.0,0.0,-242.55,0.0,0.0
2018-05-01,48.294,812.0,812.0,-227.0,158.0,158.0,0.0,0.0,0.0
2018-06-01,47.173,794.0,794.0,-24.426,0.0,0.0,-182.574,0.0,0.0
2018-07-01,45.651,771.0,771.0,-215.0,82.0,82.0,0.0,0.0,0.0
2018-08-01,63.524,1069.0,1069.0,55.092,911.0,911.0,670.908,11095.0,11095.0
2018-09-01,53.73,905.0,905.0,-24.426,0.0,0.0,-182.574,0.0,0.0
2018-10-01,35.537,602.0,602.0,-26.314,0.0,0.0,-196.686,0.0,0.0
2018-11-01,31.699,531.0,531.0,-32.096,0.0,0.0,-239.904,0.0,0.0
2018-12-01,18.37,310.0,310.0,-36.934,0.0,0.0,-276.066,0.0,0.0
2019-01-01,-7.087,41.0,41.0,-30.305,0.0,0.0,-328.695,0.0,0.0
2019-02-01,-6.517,46.0,46.0,-27.603,0.0,0.0,-299.397,0.0,0.0
2019-03-01,-6.572,46.0,46.0,-28.532,0.0,0.0,-309.468,0.0,0.0
2019-04-01,-3.104,23.0,23.0,-20.259,0.0,0.0,-219.741,0.0,0.0
2019-05-01,-7.97,58.0,58.0,-202.0,116.0,116.0,0.0,0.0,0.0
2019-06-01,-8.844,64.0,64.0,-207.0,568.0,568.0,0.0,0.0,0.0
2019-07-01,-9.675,70.0,70.0,76.413,1264.0,1264.0,1837.587,30406.0,30406.0
2019-08-01,-7.443,52.0,52.0,-16.883,0.0,0.0,-183.117,0.0,0.0
2019-09-01,-11.161,75.0,75.0,-16.376,0.0,0.0,-177.624,0.0,0.0
2019-10-01,-7.282,52.0,52.0,38.872,1148.0,1148.0,361.128,10669.0,10669.0
2019-11-01,-1.521,12.0,12.0,-25.746,0.0,0.0,-279.254,0.0,0.0
2019-12-01,-7.824,52.0,52.0,-29.629,0.0,0.0,-321.371,0.0,0.0
2020-01-01,3.994,203.0,203.0,-17.444,0.0,0.0,-314.556,0.0,0.0
2020-02-01,0.947,52.0,52.0,-17.128,0.0,0.0,-308.872,0.0,0.0
2020-03-01,1.734,93.0,93.0,-17.076,0.0,0.0,-307.924,0.0,0.0
2020-04-01,1.495,81.0,81.0,-14.712,0.0,0.0,-265.288,0.0,0.0
2020-05-01,0.335,17.0,17.0,-13.135,0.0,0.0,-236.865,0.0,0.0
2020-06-01,6.707,354.0,354.0,-11.244,0.0,0.0,-202.756,0.0,0.0
2020-07-01,8.416,442.0,442.0,53.83,933.0,933.0,1033.17,17913.0,17913.0
2020-08-01,3.133,163.0,163.0,-11.559,0.0,0.0,-208.441,0.0,0.0
2020-09-01,3.284,174.0,174.0,-11.349,0.0,0.0,-204.651,0.0,0.0
2020-10-01,0.499,29.0,29.0,-10.403,0.0,0.0,-187.597,0.0,0.0
2020-11-01,0.71,35.0,35.0,-14.134,0.0,0.0,-254.866,0.0,0.0
2020-12-01,1.746,93.0,93.0,-18.81,0.0,0.0,-339.19,0.0,0.0
2021-01-01,96.639,1541.0,1541.0,-18.273,0.0,0.0,-350.727,0.0,0.0
2021-02-01,191.276,3041.0,3041.0,-16.392,0.0,0.0,-314.608,0.0,0.0
2021-03-01,98.761,1570.0,1570.0,-2.478,740.0,740.0,-42.522,12704.0,12704.0
2021-04-01,78.011,1243.0,1243.0,-14.46,0.0,0.0,-277.54,0.0,0.0
2021-05-01,74.393,1185.0,1185.0,-11.142,0.0,0.0,-213.858,0.0,0.0
2021-06-01,104.523,1664.0,1664.0,-10.102,0.0,0.0,-193.898,0.0,0.0
2021-07-01,82.748,1313.0,1313.0,0.976,892.0,892.0,9.024,8244.0,8244.0
2021-08-01,101.435,1611.0,1611.0,93.613,2040.0,2040.0,1413.387,30797.0,30797.0
2021-09-01,71.513,1138.0,1138.0,-8.963,0.0,0.0,-172.037,0.0,0.0
2021-10-01,71.734,1138.0,1138.0,-9.657,0.0,0.0,-185.343,0.0,0.0
2021-11-01,65.311,1039.0,1039.0,-12.876,0.0,0.0,-247.124,0.0,0.0
2021-12-01,98.656,1570.0,1570.0,-15.203,0.0,0.0,-291.797,0.0,0.0
2022-01-01,87.789,1512.0,1512.0,-24.121,0.0,0.0,-341.879,0.0,0.0
2022-02-01,36.438,628.0,628.0,-19.969,0.0,0.0,-283.031,0.0,0.0
2022-03-01,110.389,1902.0,1902.0,-20.628,0.0,0.0,-292.372,0.0,0.0
2022-04-01,38.628,663.0,663.0,-15.421,0.0,0.0,-218.579,0.0,0.0
2022-05-01,43.06,744.0,744.0,-12.983,0.0,0.0,-184.017,0.0,0.0
2022-06-01,50.532,872.0,872.0,-12.06,0.0,0.0,-170.94,0.0,0.0
2022-07-01,59.986,1035.0,1035.0,-12.851,0.0,0.0,-182.149,0.0,0.0
2022-08-01,51.596,890.0,890.0,178.648,3038.0,3038.0,2846.352,48397.0,48397.0
2022-09-01,39.084,675.0,675.0,-12.39,0.0,0.0,-175.61,0.0,0.0
2022-10-01,35.133,605.0,605.0,8.442,1045.0,1045.0,98.558,12198.0,12198.0
2022-11-01,45.875,791.0,791.0,-18.387,0.0,0.0,-260.613,0.0,0.0
2022-12-01,174.49,3006.0,3006.0,192.183,3552.0,3552.0,5213.817,96365.0,96365.0
2023-01-01,6.614,245.0,245.0,-14.618,0.0,0.0,-306.382,0.0,0.0
2023-02-01,5.107,187.0,187.0,31.511,1501.0,1501.0,174.489,8310.0,8310.0
2023-03-01,6.225,228.0,228.0,-15.165,0.0,0.0,-317.835,0.0,0.0
2023-04-01,2.626,99.0,99.0,-10.292,0.0,0.0,-215.708,0.0,0.0
2023-05-01,6.278,233.0,233.0,-9.29,0.0,0.0,-194.71,0.0,0.0
2023-06-01,5.98,222.0,222.0,-8.561,0.0,0.0,-179.439,0.0,0.0
2023-07-01,8.212,304.0,304.0,268.885,4278.0,4278.0,2873.115,45707.0,45707.0
2023-08-01,11.543,426.0,426.0,11.979,1138.0,1138.0,59.021,5606.0,5606.0
2023-09-01,1.306,47.0,47.0,130.642,2261.0,2261.0,1067.358,18474.0,18474.0
2023-10-01,6.184,228.0,228.0,-9.791,0.0,0.0,-205.209,0.0,0.0
2023-11-01,27.488,1016.0,1016.0,-3.924,925.0,925.0,-15.076,3554.0,3554.0
2023-12-01,4.437,163.0,163.0,-13.616,0.0,0.0,-285.384,0.0,0.0
2024-01-01,6.671,322.0,322.0,264.92,3963.0,3963.0,3282.08,49103.0,49103.0
2024-02-01,0.729,35.0,35.0,-34.469,0.0,0.0,-284.531,0.0,0.0
2024-03-01,0.873,40.0,40.0,-33.604,0.0,0.0,-277.396,0.0,0.0
2024-04-01,10.823,524.0,524.0,-27.013,0.0,0.0,-222.987,0.0,0.0
2024-05-01,5.274,253.0,253.0,-21.394,0.0,0.0,-176.606,0.0,0.0
2024-06-01,2.562,127.0,127.0,-115.013,308.0,308.0,-95.987,257.0,257.0
2024-07-01,13.717,662.0,662.0,176.104,2295.0,2295.0,2086.896,27194.0,27194.0
2024-08-01,6.207,299.0,299.0,113.637,2185.0,2185.0,834.363,16043.0,16043.0
2024-09-01,1.037,52.0,52.0,-182.0,40.0,40.0,0.0,0.0,0.0
2024-10-01,0.798,40.0,40.0,-23.447,0.0,0.0,-193.553,0.0,0.0
2024-11-01,1.356,63.0,63.0,-25.825,0.0,0.0,-213.175,0.0,0.0
2024-12-01,12.953,627.0,627.0,-99.7,324.0,324.0,-235.3,765.0,765.0
