measured_on,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Other Generation,Other Quantity Consumed For Electricity,Other Total Fuel Consumed,Purchased Steam Generation,Purchased Steam Quantity Consumed For Electricity,Purchased Steam Total Fuel Consumed,Subbituminous Coal Generation,Subbituminous Coal Quantity Consumed For Electricity,Subbituminous Coal Total Fuel Consumed
2003-01-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2003-02-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2003-03-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2003-04-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2003-05-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2003-06-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2003-07-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2003-08-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2003-09-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2003-10-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2003-11-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2003-12-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2004-01-01,,,,8128.8330000000005,52350.0,52350.0,,,,0.0,0.0,0.0
2004-02-01,,,,8128.8330000000005,52350.0,52350.0,,,,0.0,0.0,0.0
2004-03-01,,,,8128.8330000000005,52350.0,52350.0,,,,0.0,0.0,0.0
2004-04-01,,,,8128.8330000000005,52350.0,52350.0,,,,0.0,0.0,0.0
2004-05-01,,,,8128.8330000000005,52350.0,52350.0,,,,0.0,0.0,0.0
2004-06-01,,,,8128.8330000000005,52350.0,52350.0,,,,0.0,0.0,0.0
2004-07-01,,,,8128.8330000000005,52350.0,52350.0,,,,0.0,0.0,0.0
2004-08-01,,,,8128.8330000000005,52350.0,52350.0,,,,0.0,0.0,0.0
2004-09-01,,,,8128.8330000000005,52350.0,52350.0,,,,0.0,0.0,0.0
2004-10-01,,,,8128.8330000000005,52350.0,52350.0,,,,0.0,0.0,0.0
2004-11-01,,,,8128.8330000000005,52350.0,52350.0,,,,0.0,0.0,0.0
2004-12-01,,,,8128.8330000000005,52350.0,52350.0,,,,0.0,0.0,0.0
2005-01-01,,,,15472.181,121006.3,121006.3,,,,0.0,0.0,0.0
2005-02-01,,,,26841.396,209923.74,209923.74,,,,0.0,0.0,0.0
2005-03-01,,,,33028.408,258311.7,258311.7,,,,0.0,0.0,0.0
2005-04-01,,,,25548.172,199809.56,199809.56,,,,0.0,0.0,0.0
2005-05-01,,,,14002.184000000001,109509.61,109509.61,,,,0.0,0.0,0.0
2005-06-01,,,,20058.943,156878.88,156878.88,,,,0.0,0.0,0.0
2005-07-01,,,,20766.03,162408.94,162408.94,,,,0.0,0.0,0.0
2005-08-01,,,,24692.224000000002,193115.28,193115.28,,,,0.0,0.0,0.0
2005-09-01,,,,8243.146,64468.78,64468.78,,,,0.0,0.0,0.0
2005-10-01,,,,12764.782,99832.02,99832.02,,,,0.0,0.0,0.0
2005-11-01,,,,16616.546000000002,129956.25,129956.25,,,,0.0,0.0,0.0
2005-12-01,,,,11545.987000000001,90299.95,90299.95,,,,0.0,0.0,0.0
2006-01-01,,,,10065.685,64823.0,64823.0,21699.459,0.0,0.0,,,
2006-02-01,,,,9056.252,58322.0,58322.0,19523.336000000003,0.0,0.0,,,
2006-03-01,,,,10610.729,68333.0,68333.0,22874.457000000002,0.0,0.0,,,
2006-04-01,,,,8747.654,56335.0,56335.0,18858.067000000003,0.0,0.0,,,
2006-05-01,,,,7060.302000000001,45468.0,45468.0,15220.498,0.0,0.0,,,
2006-06-01,,,,9610.128,61889.0,61889.0,20717.376,0.0,0.0,,,
2006-07-01,,,,9683.428,62361.0,62361.0,20875.394,0.0,0.0,,,
2006-08-01,,,,10763.05,69314.0,69314.0,23202.828,0.0,0.0,,,
2006-09-01,,,,8909.623,57378.0,57378.0,19207.237,0.0,0.0,,,
2006-10-01,,,,8991.331,57904.0,57904.0,19383.381,0.0,0.0,,,
2006-11-01,,,,5964.017000000001,38408.0,38408.0,12857.142,0.0,0.0,,,
2006-12-01,,,,9533.799,61398.0,61398.0,20552.826,0.0,0.0,,,
2007-01-01,4247.608,82466.0,82466.0,2454.555,47654.0,47654.0,20008.74,197766.0,197766.0,,,
2007-02-01,3609.107,70069.0,70069.0,2127.083,41296.0,41296.0,17339.29,171382.0,171382.0,,,
2007-03-01,4199.687,81535.0,81535.0,1748.256,33942.0,33942.0,14251.217,140859.0,140859.0,,,
2007-04-01,3955.442,76793.0,76793.0,1766.959,34305.0,34305.0,14403.675,142366.0,142366.0,,,
2007-05-01,4311.099,83698.0,83698.0,1731.259,33612.0,33612.0,14112.661,139490.0,139490.0,,,
2007-06-01,5047.691,97999.0,97999.0,2423.107,47044.0,47044.0,19752.385000000002,195233.0,195233.0,,,
2007-07-01,5449.836,105806.0,105806.0,1868.939,36285.0,36285.0,15234.989000000001,150583.0,150583.0,,,
2007-08-01,6496.808,126133.0,126133.0,1758.1570000000002,34134.0,34134.0,14331.929,141657.0,141657.0,,,
2007-09-01,5311.111,103113.0,103113.0,1804.6570000000002,35037.0,35037.0,14710.979,145403.0,145403.0,,,
2007-10-01,4464.883,86684.0,86684.0,3309.4750000000004,64252.0,64252.0,26977.769,266648.0,266648.0,,,
2007-11-01,3530.9210000000003,68551.0,68551.0,1585.457,30781.0,30781.0,12924.132,127742.0,127742.0,,,
2007-12-01,3660.2980000000002,71063.0,71063.0,4360.604,84659.0,84659.0,35546.234,351339.0,351339.0,,,
2008-01-01,4709.0740000000005,82481.0,82481.0,2236.248,39169.0,39169.0,14033.009,138281.0,138281.0,,,
2008-02-01,3979.3430000000003,69698.0,69698.0,3666.032,64211.0,64211.0,23005.253,226694.0,226694.0,,,
2008-03-01,4565.978,79973.0,79973.0,2025.1080000000002,35470.0,35470.0,12708.055,125225.0,125225.0,,,
2008-04-01,4439.946,77766.0,77766.0,2916.047,51075.0,51075.0,18298.913,180317.0,180317.0,,,
2008-05-01,5400.0,94581.0,94581.0,3834.081,67154.0,67154.0,24059.807,237085.0,237085.0,,,
2008-06-01,6559.3,114886.0,114886.0,3571.0,62546.0,62546.0,22408.905,220817.0,220817.0,,,
2008-07-01,7117.079000000001,124656.0,124656.0,4136.702,72454.0,72454.0,25958.822,255798.0,255798.0,,,
2008-08-01,7010.447,122788.0,122788.0,3932.076,68870.0,68870.0,24674.749,243145.0,243145.0,,,
2008-09-01,4725.117,82761.0,82761.0,2077.652,36390.0,36390.0,13037.778,128474.0,128474.0,,,
2008-10-01,4523.91,79236.0,79236.0,1497.08,26221.0,26221.0,9394.547,92574.0,92574.0,,,
2008-11-01,3477.3210000000004,60905.0,60905.0,2255.304,39502.0,39502.0,14152.586,139460.0,139460.0,,,
2008-12-01,3853.9880000000003,67503.0,67503.0,2952.167,51707.0,51707.0,18525.576,182551.0,182551.0,,,
2009-01-01,0.0,0.0,0.0,0.0,0.0,0.0,301.523,2943.0,2943.0,,,
2009-02-01,0.0,0.0,0.0,0.0,0.0,0.0,323.374,3156.0,3156.0,,,
2009-03-01,0.0,0.0,0.0,0.0,0.0,0.0,158.076,1543.0,1543.0,,,
2009-04-01,0.0,0.0,0.0,0.0,0.0,0.0,221.615,2163.0,2163.0,,,
2009-05-01,0.0,0.0,0.0,0.0,0.0,0.0,373.58700000000005,3646.0,3646.0,,,
2009-06-01,0.0,0.0,0.0,0.0,0.0,0.0,383.23900000000003,3740.0,3740.0,,,
2009-07-01,0.0,0.0,0.0,0.0,0.0,0.0,357.099,3485.0,3485.0,,,
2009-08-01,0.0,0.0,0.0,0.0,0.0,0.0,270.366,2639.0,2639.0,,,
2009-09-01,0.0,0.0,0.0,0.0,0.0,0.0,238.293,2326.0,2326.0,,,
2009-10-01,0.0,0.0,0.0,0.0,0.0,0.0,393.12600000000003,3837.0,3837.0,,,
2009-11-01,0.0,0.0,0.0,0.0,0.0,0.0,382.356,3732.0,3732.0,,,
2009-12-01,0.0,0.0,0.0,0.0,0.0,0.0,381.346,3722.0,3722.0,,,
2010-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2010-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2010-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2010-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2010-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2010-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2010-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2010-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2010-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2010-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2010-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2010-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
