measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Kerosene-Combustion (Gas) Turbine (including jet engine design) Generation,Kerosene-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Kerosene-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2003-01-01,23.0,465.0,465.0,,,,,,
2003-02-01,0.0,0.0,0.0,,,,,,
2003-03-01,14.0,146.0,146.0,,,,,,
2003-04-01,6.0,78.0,78.0,,,,,,
2003-05-01,0.0,0.0,0.0,,,,,,
2003-06-01,0.0,0.0,0.0,,,,,,
2003-07-01,127.0,1865.0,1865.0,,,,,,
2003-08-01,152.0,2335.0,2335.0,,,,,,
2003-09-01,45.0,582.0,582.0,,,,,,
2003-10-01,0.0,0.0,0.0,,,,,,
2003-11-01,0.0,0.0,0.0,,,,,,
2003-12-01,0.0,0.0,0.0,,,,,,
2004-01-01,418.244,5995.0,5995.0,,,,,,
2004-02-01,116.46300000000001,1669.0,1669.0,,,,,,
2004-03-01,191.67700000000002,2747.0,2747.0,,,,,,
2004-04-01,42.861000000000004,614.0,614.0,,,,,,
2004-05-01,125.375,1797.0,1797.0,,,,,,
2004-06-01,64.718,928.0,928.0,,,,,,
2004-07-01,74.417,1067.0,1067.0,,,,,,
2004-08-01,85.811,1230.0,1230.0,,,,,,
2004-09-01,55.662000000000006,798.0,798.0,,,,,,
2004-10-01,89.028,1276.0,1276.0,,,,,,
2004-11-01,38.078,546.0,546.0,,,,,,
2004-12-01,108.66600000000001,1557.0,1557.0,,,,,,
2005-01-01,,,,185.15900000000002,5105.02,5105.02,,,
2005-02-01,,,,63.615,1753.92,1753.92,,,
2005-03-01,,,,70.509,1944.0,1944.0,,,
2005-04-01,,,,85.40700000000001,2354.74,2354.74,,,
2005-05-01,,,,79.321,2186.96,2186.96,,,
2005-06-01,,,,102.95100000000001,2838.46,2838.46,,,
2005-07-01,,,,104.79100000000001,2889.2,2889.2,,,
2005-08-01,,,,123.105,3394.11,3394.11,,,
2005-09-01,,,,80.585,2221.82,2221.82,,,
2005-10-01,,,,89.491,2467.36,2467.36,,,
2005-11-01,,,,71.943,1983.54,1983.54,,,
2005-12-01,,,,152.122,4194.15,4194.15,,,
2006-01-01,,,,108.945,1863.0,1863.0,,,
2006-02-01,,,,57.007000000000005,975.0,975.0,,,
2006-03-01,,,,47.887,819.0,819.0,,,
2006-04-01,,,,91.729,1569.0,1569.0,,,
2006-05-01,,,,85.744,1466.0,1466.0,,,
2006-06-01,,,,77.935,1333.0,1333.0,,,
2006-07-01,,,,112.891,1931.0,1931.0,,,
2006-08-01,,,,109.504,1873.0,1873.0,,,
2006-09-01,,,,50.308,860.0,860.0,,,
2006-10-01,,,,53.141000000000005,909.0,909.0,,,
2006-11-01,,,,62.575,1070.0,1070.0,,,
2006-12-01,,,,69.334,1186.0,1186.0,,,
2007-01-01,,,,125.476,2199.0,2199.0,,,
2007-02-01,,,,213.73700000000002,3746.0,3746.0,,,
2007-03-01,,,,103.159,1805.0,1805.0,,,
2007-04-01,,,,74.489,1305.0,1305.0,,,
2007-05-01,,,,37.256,652.0,652.0,,,
2007-06-01,,,,49.651,872.0,872.0,,,
2007-07-01,,,,50.583000000000006,889.0,889.0,,,
2007-08-01,,,,51.005,894.0,894.0,,,
2007-09-01,,,,34.176,596.0,596.0,,,
2007-10-01,,,,19.458000000000002,343.0,343.0,,,
2007-11-01,,,,11.881,208.0,208.0,,,
2007-12-01,,,,45.127,793.0,793.0,,,
2008-01-01,,,,150.579,2569.0,2569.0,,,
2008-02-01,,,,96.253,1639.0,1639.0,,,
2008-03-01,,,,29.942,507.0,507.0,,,
2008-04-01,,,,12.708,214.0,214.0,,,
2008-05-01,,,,17.977,304.0,304.0,,,
2008-06-01,,,,127.55900000000001,2169.0,2169.0,,,
2008-07-01,,,,155.119,2642.0,2642.0,,,
