measured_on,Municiapl Landfill Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Municiapl Landfill Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Municiapl Landfill Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2003-01-01,3138.614,59794.0,59794.0
2003-02-01,2769.775,52767.0,52767.0
2003-03-01,2850.0060000000003,54295.0,54295.0
2003-04-01,2559.547,48762.0,48762.0
2003-05-01,2611.992,49761.0,49761.0
2003-06-01,2770.1130000000003,52773.0,52773.0
2003-07-01,3203.6710000000003,61033.0,61033.0
2003-08-01,3396.657,64710.0,64710.0
2003-09-01,2846.317,54225.0,54225.0
2003-10-01,2669.929,50865.0,50865.0
2003-11-01,2661.01,50695.0,50695.0
2003-12-01,2953.369,56265.0,56265.0
2004-01-01,2836.083,58345.0,58345.0
2004-02-01,2836.083,58345.0,58345.0
2004-03-01,2836.083,58345.0,58345.0
2004-04-01,2836.083,58345.0,58345.0
2004-05-01,2836.083,58345.0,58345.0
2004-06-01,2836.083,58345.0,58345.0
2004-07-01,2836.083,58345.0,58345.0
2004-08-01,2836.083,58345.0,58345.0
2004-09-01,2836.083,58345.0,58345.0
2004-10-01,2836.083,58345.0,58345.0
2004-11-01,2836.083,58345.0,58345.0
2004-12-01,2836.083,58345.0,58345.0
2005-01-01,2476.596,49369.75,49369.75
2005-02-01,2209.318,44041.7,44041.7
2005-03-01,2523.347,50301.71,50301.71
2005-04-01,2518.13,50197.73,50197.73
2005-05-01,2768.319,55185.11,55185.11
2005-06-01,2742.6040000000003,54672.49,54672.49
2005-07-01,2839.819,56610.44,56610.44
2005-08-01,2826.984,56354.58,56354.58
2005-09-01,2663.0,53085.64,53085.64
2005-10-01,2688.101,53586.02,53586.02
2005-11-01,2707.3720000000003,53970.17,53970.17
2005-12-01,2713.41,54090.53,54090.53
2006-01-01,2866.5640000000003,52180.0,52180.0
2006-02-01,2649.141,48223.0,48223.0
2006-03-01,2922.18,53193.0,53193.0
2006-04-01,2150.0170000000003,39137.0,39137.0
2006-05-01,2628.579,47848.0,47848.0
2006-06-01,2753.54,50123.0,50123.0
2006-07-01,2857.7180000000003,52019.0,52019.0
2006-08-01,2840.5330000000004,51706.0,51706.0
2006-09-01,2717.0370000000003,49458.0,49458.0
2006-10-01,2819.397,51322.0,51322.0
2006-11-01,2847.5550000000003,51834.0,51834.0
2006-12-01,2743.74,49945.0,49945.0
2007-01-01,2052.683,40232.0,40232.0
2007-02-01,1876.766,36784.0,36784.0
2007-03-01,2001.8190000000002,39235.0,39235.0
2007-04-01,2405.626,47149.0,47149.0
2007-05-01,2903.5190000000002,56908.0,56908.0
2007-06-01,2835.054,55566.0,55566.0
2007-07-01,2885.8430000000003,56561.0,56561.0
2007-08-01,2882.675,56499.0,56499.0
2007-09-01,2673.309,52396.0,52396.0
2007-10-01,3209.626,62907.0,62907.0
2007-11-01,2206.455,43246.0,43246.0
2007-12-01,2000.625,39211.0,39211.0
2008-01-01,2227.103,47156.0,47156.0
2008-02-01,2193.358,46442.0,46442.0
2008-03-01,1366.63,28937.0,28937.0
2008-04-01,2463.309,52158.0,52158.0
2008-05-01,2513.925,53230.0,53230.0
2008-06-01,2446.437,51801.0,51801.0
2008-07-01,2412.693,51087.0,51087.0
