measured_on,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed"
2003-01-01,0.0,0.0,0.0,104383.0,1051533.0,1051533.0,,,
2003-02-01,5800.0,53565.0,53565.0,121922.0,1208885.0,1208885.0,,,
2003-03-01,38.0,369.0,369.0,84541.0,883109.0,883109.0,,,
2003-04-01,0.0,0.0,0.0,128461.0,1330292.0,1330292.0,,,
2003-05-01,0.0,0.0,0.0,128593.0,1302858.0,1302858.0,,,
2003-06-01,66.0,633.0,633.0,132428.0,1381161.0,1381161.0,,,
2003-07-01,0.0,0.0,0.0,120164.0,1253832.0,1253832.0,,,
2003-08-01,0.0,0.0,0.0,143639.0,1473960.0,1473960.0,,,
2003-09-01,0.0,0.0,0.0,90594.0,949904.0,949904.0,,,
2003-10-01,0.0,0.0,0.0,1780.0,20152.0,20152.0,,,
2003-11-01,0.0,0.0,0.0,61718.0,652594.0,652594.0,,,
2003-12-01,0.0,0.0,0.0,83340.0,894403.0,894403.0,,,
2004-01-01,0.0,0.0,0.0,83800.0,921207.0,921207.0,,,
2004-02-01,0.0,0.0,0.0,86326.0,899170.0,899170.0,,,
2004-03-01,0.0,0.0,0.0,123334.0,1245727.0,1245727.0,,,
2004-04-01,0.0,0.0,0.0,64545.0,668977.0,668977.0,,,
2004-05-01,0.0,0.0,0.0,54944.0,594588.0,594588.0,,,
2004-06-01,0.0,0.0,0.0,75423.0,804643.0,804643.0,,,
2004-07-01,0.0,0.0,0.0,87938.0,930908.0,930908.0,,,
2004-08-01,59.0,632.0,632.0,96496.0,1049498.0,1049498.0,,,
2004-09-01,15.0,151.0,151.0,74508.0,771710.0,771710.0,,,
2004-10-01,0.0,0.0,0.0,92392.0,963093.0,963093.0,,,
2004-11-01,128.0,1392.0,1392.0,62075.0,682629.0,682629.0,,,
2004-12-01,0.0,0.0,0.0,66049.0,675588.0,675588.0,,,
