measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed"
2003-01-01,117170.0,1135496.0,1177001.0,,,
2003-02-01,78196.0,778849.0,806481.0,,,
2003-03-01,84666.0,847633.0,868164.0,,,
2003-04-01,125521.0,1260785.0,1283308.0,,,
2003-05-01,109972.0,1059558.0,1094661.0,,,
2003-06-01,115487.0,1135018.0,1164916.0,,,
2003-07-01,141026.0,1384096.0,1421703.0,,,
2003-08-01,138229.0,1358892.0,1388979.0,,,
2003-09-01,121580.0,1227347.0,1258075.0,,,
2003-10-01,39388.097,419119.0,431579.0,,,
2003-11-01,134690.0,1325758.0,1362761.0,,,
2003-12-01,137016.737,1429860.0,1480983.0,,,
2004-01-01,129238.14371,1245909.8,1374365.94,61.19029,589.9,650.72
2004-02-01,113675.49669,1095879.37,1357414.75,53.03431,511.27,633.29
2004-03-01,130351.577,1256643.76,1481009.4,66.47800000000001,640.88,755.3
2004-04-01,91643.99535,883486.47,1071415.24,4.47265,43.12,52.29
2004-05-01,106876.44684,1030333.69,1207068.48,167.70416,1616.74,1894.06
2004-06-01,116558.44354,1123672.18,1356030.72,158.31046,1526.18,1841.77
2004-07-01,130044.92324,1253687.49,1458526.41,217.57276,2097.49,2440.2
2004-08-01,117344.38138,1131248.95,1320182.79,153.89362,1483.6,1731.38
2004-09-01,118008.53014,1137651.63,1267114.08,192.08886,1851.82,2062.55
2004-10-01,99491.70243,959141.66,1050411.03,172.24557,1660.52,1818.53
2004-11-01,123712.31627,1192638.51,1320936.1,119.16573,1148.81,1272.39
2004-12-01,138202.525,1332330.19,1457049.6,0.0,0.0,0.0
2005-01-01,146745.229,1414685.43,1455122.14,0.0,0.0,0.0
2005-02-01,139860.579,1348314.52,1377079.05,0.0,0.0,0.0
2005-03-01,151435.286,1459899.55,1476313.52,0.0,0.0,0.0
2005-04-01,139423.71,1344102.92,1349270.12,0.0,0.0,0.0
2005-05-01,60062.66888,579029.27,596088.34,609.06612,5871.65,6044.64
2005-06-01,120193.05711,1158711.38,1173387.6,589.65489,5684.52,5756.52
2005-07-01,156191.41085,1505506.74,1505506.74,220.83115,2128.56,2128.56
2005-08-01,167054.67906,1610477.03,1633747.26,61.32694,591.22,599.76
