measured_on,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Solar - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Solar - Generation","Solar - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Solar - Quantity Consumed For Electricity","Solar - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Solar - Total Fuel Consumed"
2003-01-01,763.0,10619.0,10619.0,1125.0,11521.13,11521.13
2003-02-01,0.0,0.0,0.0,1759.0,18013.92,18013.92
2003-03-01,0.0,0.0,0.0,4905.0,50232.11,50232.11
2003-04-01,0.0,0.0,0.0,5259.0,53857.42,53857.42
2003-05-01,72.0,1147.0,1147.0,6426.0,65808.67,65808.67
2003-06-01,3036.0,37616.0,37616.0,7937.0,81282.82,81282.82
2003-07-01,4957.0,61300.0,61300.0,5756.0,58947.2,58947.2
2003-08-01,4923.0,61561.0,61561.0,6172.0,63207.45,63207.45
2003-09-01,4904.0,61449.0,61449.0,5442.0,55731.52,55731.52
2003-10-01,4515.0,56082.0,56082.0,3485.0,35689.89,35689.89
2003-11-01,0.0,0.0,0.0,1448.0,14828.97,14828.97
2003-12-01,1126.0,15360.0,15360.0,790.0,8090.39,8090.39
2004-01-01,0.0,609.0,609.0,264.0,2645.81,2645.81
2004-02-01,1026.0,413.0,413.0,0.0,0.0,0.0
2004-03-01,247.0,3394.0,3394.0,5050.0,50611.1,50611.1
2004-04-01,1190.0,22827.0,22827.0,5291.0,53026.4,53026.4
2004-05-01,178.0,2424.0,2424.0,7599.0,76157.18,76157.18
2004-06-01,3244.0,41360.0,41360.0,8065.0,80827.43,80827.43
2004-07-01,3296.0,42464.0,42464.0,7951.0,79684.92,79684.92
2004-08-01,3925.0,49739.0,49739.0,7137.0,71527.01,71527.01
2004-09-01,4477.0,56046.0,56046.0,5923.0,59360.31,59360.31
2004-10-01,2945.0,37589.0,37589.0,3221.0,32280.86,32280.86
2004-11-01,2240.0,28740.0,28740.0,1937.0,19412.61,19412.61
2004-12-01,42.0,424.0,424.0,1180.0,11825.96,11825.96
2005-01-01,0.0,544.15,544.15,96.0,959.9,959.9
2005-02-01,0.0,616.91,616.91,520.0,5199.48,5199.48
2005-03-01,0.0,0.0,0.0,3498.0,34976.5,34976.5
2005-04-01,21.0,380.18,380.18,5481.0,54804.52,54804.52
2005-05-01,0.0,0.0,0.0,7363.0,73622.64,73622.64
2005-06-01,2048.0,26589.82,26589.82,8182.0,81811.82,81811.82
2005-07-01,2617.0,31813.8,31813.8,7101.0,71002.9,71002.9
2005-08-01,1159.0,15711.23,15711.23,7249.0,72482.75,72482.75
2005-09-01,1537.0,20427.26,20427.26,5976.0,59754.02,59754.02
2005-10-01,0.0,0.0,0.0,3691.0,36906.31,36906.31
2005-11-01,0.0,0.0,0.0,1826.0,18258.17,18258.17
2005-12-01,0.0,0.0,0.0,844.0,8439.16,8439.16
2006-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2006-02-01,749.0,9613.0,9613.0,53.0,526.0,526.0
2006-03-01,0.0,0.0,0.0,3312.0,32852.0,32852.0
2006-04-01,0.0,0.0,0.0,4682.0,46441.0,46441.0
2006-05-01,3032.0,38508.0,38508.0,6164.0,61141.0,61141.0
2006-06-01,2950.0,39682.0,39682.0,5472.0,54277.0,54277.0
2006-07-01,3452.0,47107.0,47107.0,6255.0,62043.0,62043.0
2006-08-01,1107.0,15419.0,15419.0,7657.0,75950.0,75950.0
2006-09-01,4315.0,58319.0,58319.0,4934.0,48940.0,48940.0
2006-10-01,0.0,0.0,0.0,3211.0,31850.0,31850.0
2006-11-01,0.0,0.0,0.0,1780.0,17656.0,17656.0
2006-12-01,0.0,0.0,0.0,1556.0,15434.0,15434.0
2007-01-01,0.0,0.0,0.0,1603.0,15844.0,15844.0
2007-02-01,0.0,0.0,0.0,2382.0,23544.0,23544.0
2007-03-01,0.0,0.0,0.0,5883.0,58148.0,58148.0
2007-04-01,0.0,0.0,0.0,6320.0,62467.0,62467.0
2007-05-01,0.0,0.0,0.0,9472.0,93621.0,93621.0
2007-06-01,493.0,7848.0,7848.0,9520.0,94096.0,94096.0
2007-07-01,1916.0,39311.0,39311.0,8748.0,86465.0,86465.0
2007-08-01,596.0,10235.0,10235.0,7694.0,76047.0,76047.0
2007-09-01,1641.0,25626.0,25626.0,7024.0,69425.0,69425.0
2007-10-01,0.0,0.0,0.0,4788.0,47325.0,47325.0
2007-11-01,220.0,2733.0,2733.0,2217.0,21913.0,21913.0
2007-12-01,351.0,4479.0,4479.0,181.0,1789.0,1789.0
2008-01-01,0.0,0.0,0.0,1489.0,14673.0,14673.0
2008-02-01,0.0,0.0,0.0,3305.0,32567.0,32567.0
2008-03-01,0.0,0.0,0.0,6144.0,60543.0,60543.0
2008-04-01,0.0,0.0,0.0,7340.0,72328.0,72328.0
2008-05-01,280.0,4021.0,4021.0,7977.0,78605.0,78605.0
2008-06-01,396.0,6445.0,6445.0,9229.0,90943.0,90943.0
2008-07-01,607.0,9057.0,9057.0,8196.0,80763.0,80763.0
2008-08-01,2206.0,28844.0,28844.0,7965.0,78487.0,78487.0
2008-09-01,3087.0,38652.0,38652.0,6950.0,68485.0,68485.0
2008-10-01,0.0,0.0,0.0,4791.0,47211.0,47211.0
2008-11-01,0.0,0.0,0.0,2380.0,23453.0,23453.0
2008-12-01,3077.0,38905.0,38905.0,1390.0,13697.0,13697.0
2009-01-01,314.0,3953.0,3953.0,216.0,2108.0,2108.0
2009-02-01,3981.0,48608.0,48608.0,2251.0,21970.0,21970.0
2009-03-01,1973.0,24807.0,24807.0,5416.0,52860.0,52860.0
2009-04-01,0.0,0.0,0.0,7410.0,72322.0,72322.0
2009-05-01,2.0,372.0,372.0,7572.0,73903.0,73903.0
2009-06-01,3831.0,48716.0,48716.0,7815.0,76274.0,76274.0
2009-07-01,3225.0,41702.0,41702.0,8816.0,86044.0,86044.0
2009-08-01,2810.0,36137.0,36137.0,8178.0,79817.0,79817.0
2009-09-01,3753.0,46988.0,46988.0,6622.0,64631.0,64631.0
2009-10-01,2010.0,25791.0,25791.0,4567.0,44574.0,44574.0
2009-11-01,2253.0,28581.0,28581.0,2581.0,25191.0,25191.0
2009-12-01,0.0,0.0,0.0,1306.0,12747.0,12747.0
2010-01-01,432.0,5364.0,5364.0,282.0,2751.0,2751.0
2010-02-01,1385.0,17863.0,17863.0,2189.0,21356.0,21356.0
2010-03-01,1885.0,24492.0,24492.0,4860.0,47414.0,47414.0
2010-04-01,304.0,3818.0,3818.0,6457.0,62994.0,62994.0
2010-05-01,70.0,1037.0,1037.0,8861.0,86448.0,86448.0
2010-06-01,2028.0,26670.0,26670.0,9446.0,92155.0,92155.0
2010-07-01,1986.0,26333.0,26333.0,9245.0,90194.0,90194.0
2010-08-01,2432.0,30005.0,30005.0,8443.0,82370.0,82370.0
2010-09-01,3238.0,40653.0,40653.0,6939.0,67697.0,67697.0
2010-10-01,1734.0,22408.0,22408.0,3064.0,29892.0,29892.0
2010-11-01,1982.0,26308.0,26308.0,2715.0,26488.0,26488.0
2010-12-01,2508.0,32354.0,32354.0,1075.0,10488.0,10488.0
2011-01-01,394.0,5223.0,5223.0,26.0,253.0,253.0
2011-02-01,2357.0,29321.0,29321.0,2944.0,28604.0,28604.0
2011-03-01,2362.0,32214.0,32214.0,3405.0,33083.0,33083.0
2011-04-01,387.0,5526.0,5526.0,6541.0,63552.0,63552.0
2011-05-01,250.0,3687.0,3687.0,7883.0,76591.0,76591.0
2011-06-01,2489.0,32325.0,32325.0,8669.0,84228.0,84228.0
2011-07-01,2494.0,33034.0,33034.0,8314.0,80779.0,80779.0
2011-08-01,2857.0,37420.0,37420.0,8047.0,78185.0,78185.0
2011-09-01,3595.0,46383.0,46383.0,5660.0,54993.0,54993.0
2011-10-01,2097.0,27389.0,27389.0,4617.0,44859.0,44859.0
2011-11-01,2877.0,36929.0,36929.0,1720.0,16712.0,16712.0
2011-12-01,2284.0,29748.0,29748.0,1501.0,14584.0,14584.0
2012-01-01,449.0,5474.0,5474.0,152.0,1446.0,1446.0
2012-02-01,3174.0,38427.0,38427.0,2398.0,22819.0,22819.0
2012-03-01,2069.0,26310.0,26310.0,4289.0,40814.0,40814.0
2012-04-01,2132.0,31594.0,31594.0,6536.0,62197.0,62197.0
2012-05-01,55.0,793.0,793.0,8015.0,76271.0,76271.0
2012-06-01,2452.0,32020.0,32020.0,8959.0,85254.0,85254.0
