measured_on,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Generation,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Distillate Fuel Oil-Combined Cycle Steam Part Generation,Distillate Fuel Oil-Combined Cycle Steam Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Steam Part Total Fuel Consumed,Natural Gas-Combined Cycle Combustion Turbine Part Generation,Natural Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Natural Gas-Combined Cycle Steam Part Generation,Natural Gas-Combined Cycle Steam Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Steam Part Total Fuel Consumed,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2003-01-01,14.0,108.0,117.0,,,,146546.0,1166802.0,1257170.0,0.0,0.0,0.0,,,
2003-02-01,15755.0,126373.0,134849.0,,,,110201.0,883956.0,943247.0,0.0,0.0,0.0,,,
2003-03-01,3467.0,28371.0,29087.0,,,,67327.0,550968.0,564875.0,0.0,0.0,0.0,,,
2003-04-01,565.0,4644.0,5050.0,,,,43005.0,353455.0,384355.0,0.0,0.0,0.0,,,
2003-05-01,2.0,16.0,17.0,,,,79740.0,648125.0,710080.0,0.0,0.0,0.0,,,
2003-06-01,19.0,163.0,163.0,,,,123998.0,1005182.0,1052932.0,0.0,0.0,0.0,,,
2003-07-01,12.0,87.0,93.0,,,,134182.0,1083646.0,1149671.0,0.0,0.0,0.0,,,
2003-08-01,7.0,54.0,58.0,,,,142887.0,1153207.0,1229029.0,0.0,0.0,0.0,,,
2003-09-01,3.0,21.0,23.0,,,,98669.0,796242.0,868228.0,0.0,0.0,0.0,,,
2003-10-01,,,,1.0,10.0,12.0,110221.0,887832.0,964696.0,0.0,0.0,0.0,,,
2003-11-01,5.0,44.0,46.0,,,,95739.0,780552.0,834496.0,0.0,0.0,0.0,,,
2003-12-01,53.0,422.0,452.0,,,,118603.0,949989.0,1017628.0,0.0,0.0,0.0,,,
2004-01-01,,,,0.77081,0.0,0.0,85943.65912,886506.27,1014358.42,29869.40919,0.0,0.0,,,
2004-02-01,,,,7.95869,0.0,0.0,79164.13417,821858.89,941478.71,28430.50131,1742.76,1742.76,,,
2004-03-01,,,,0.0,0.0,0.0,34665.86,357743.52,416058.2,12069.71,0.0,0.0,,,
2004-04-01,,,,0.13241999999999998,0.0,0.0,61293.94202,645695.84,740491.72,23059.67758,0.0,0.0,,,
2004-05-01,,,,0.27532,0.0,0.0,86412.75237,933815.66,1094851.83,35723.85468,1094.95,1094.95,,,
2004-06-01,,,,0.55635,0.0,0.0,91282.44858,985132.81,1160525.62,38272.73365,6564.29,6564.29,,,
2004-07-01,,,,30.186539999999997,0.0,0.0,91186.75207,983423.6,1108635.35,37286.68346,0.0,0.0,,,
2004-08-01,,,,0.0,0.0,0.0,54342.31,577125.38,661371.24,22093.69,7963.96,7963.96,,,
2004-09-01,,,,0.0,0.0,0.0,11347.06,115708.11,140506.42,3983.79,1643.88,1643.88,,,
2004-10-01,,,,190.39613,0.0,0.0,7925.25259,81387.63,94921.71,3077.53387,2929.32,2929.32,,,
2004-11-01,,,,0.0,0.0,0.0,3004.09,30175.17,36155.06,937.99,0.0,0.0,,,
2004-12-01,,,,0.0,0.0,0.0,8714.48,88580.15,102834.17,2857.62,0.0,0.0,,,
2005-01-01,757.90216,7603.6,9250.1,235.43168,0.0,0.0,6364.80784,63854.52,77681.68,1977.13832,0.0,0.0,,,
2005-02-01,0.0,0.0,0.0,0.0,0.0,0.0,5533.85,56073.54,66040.75,1791.59,0.0,0.0,,,
2005-03-01,0.0,0.0,0.0,0.0,0.0,0.0,675.12,6793.87,8205.13,212.43,0.0,0.0,,,
2005-04-01,0.0,0.0,0.0,0.0,0.0,0.0,411.28,3148.2,4437.23,0.0,0.0,0.0,,,
2005-05-01,0.0,0.0,0.0,0.0,0.0,0.0,12350.04,133397.4,152164.33,5076.98,0.0,0.0,,,
2005-06-01,0.0,0.0,0.0,0.0,0.0,0.0,53149.21,586671.81,647258.8,23544.81,392.58,392.58,,,
2005-07-01,0.0,0.0,0.0,0.0,0.0,0.0,49488.43,536124.41,602770.73,21094.59,4162.53,4162.53,,,
2005-08-01,0.0,0.0,0.0,0.0,0.0,0.0,50770.77,546356.33,619814.43,20947.15,2617.85,2617.85,,,
2005-09-01,0.0,0.0,0.0,0.0,0.0,0.0,52188.91,399486.82,460932.25,0.0,0.0,0.0,,,
2005-10-01,0.0,0.0,0.0,0.0,0.0,0.0,9969.66,108716.73,121541.43,4233.08,0.0,0.0,,,
2005-11-01,0.0,0.0,0.0,0.0,0.0,0.0,7630.02,81533.78,91903.55,3069.08,363.88,363.88,,,
2005-12-01,0.0,0.0,0.0,0.0,0.0,0.0,20697.86,216785.3,252848.07,7690.16,514.51,514.51,,,
2006-01-01,0.0,0.0,0.0,0.0,0.0,0.0,6078.99,62199.15,75920.73,2046.7,0.0,0.0,,,
2006-02-01,,,,,,,855.0,10676.0,10676.0,273.0,13520.0,13520.0,,,
2006-03-01,,,,,,,1547.0,18512.0,18512.0,527.0,244.0,244.0,,,
2006-04-01,,,,,,,48026.0,585745.0,585745.0,21540.0,9904.0,9904.0,,,
2006-05-01,,,,,,,46178.0,558481.0,558481.0,20854.0,10037.0,10037.0,,,
2006-06-01,,,,,,,57437.0,693372.0,693372.0,26404.0,11173.0,11173.0,,,
2006-07-01,,,,,,,62514.0,758777.0,758777.0,29622.0,17036.0,17036.0,,,
2006-08-01,,,,,,,62601.0,761664.0,761664.0,29573.0,15713.0,15713.0,,,
2006-09-01,,,,,,,18668.0,228925.0,228925.0,8311.0,4065.0,4065.0,,,
2006-10-01,,,,,,,24852.0,302073.0,302073.0,10761.0,3056.0,3056.0,,,
2006-11-01,,,,,,,13754.0,166440.0,166440.0,5536.0,0.0,0.0,,,
2006-12-01,,,,,,,2359.0,27998.0,27998.0,768.0,0.0,0.0,,,
2007-01-01,,,,,,,33259.0,348683.0,368252.0,12743.0,759.0,759.0,,,
2007-02-01,,,,,,,15636.0,163370.0,184418.0,5908.0,329.0,329.0,,,
2007-03-01,,,,,,,37499.0,405014.0,445985.0,16306.0,3286.0,3286.0,,,
2007-04-01,,,,,,,17171.0,184828.0,207122.0,7483.0,2460.0,2460.0,,,
2007-05-01,,,,,,,32054.0,350305.0,394414.0,14259.0,1505.0,1505.0,,,
2007-06-01,,,,,,,38821.0,423143.0,472883.0,17205.0,2294.0,2294.0,,,
2007-07-01,,,,,,,34284.0,374589.0,418159.0,15091.0,492.0,492.0,,,
2007-08-01,,,,,,,54626.0,598070.0,665318.0,24706.0,4305.0,4305.0,,,
2007-09-01,,,,,,,47900.0,521034.0,582034.0,21431.0,5124.0,5124.0,,,
2007-10-01,,,,,,,24213.0,262634.0,294676.0,10564.0,1799.0,1799.0,,,
2007-11-01,,,,,,,5695.0,60693.0,68740.0,2381.0,682.0,682.0,,,
2007-12-01,,,,,,,18719.0,221967.0,239182.0,7989.0,701.0,701.0,,,
2008-01-01,,,,,,,19449.0,204350.0,231915.0,7622.0,876.0,876.0,,,
