measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,586752.0,6069528.0,6069528.0,3920.0,41754.0,41754.0,,,
2003-02-01,453403.0,4600464.0,4600464.0,5140.0,53708.0,53708.0,,,
2003-03-01,363284.0,3658871.0,3658871.0,4816.0,49532.0,49532.0,,,
2003-04-01,360426.0,3430060.0,3430060.0,239.0,2280.0,2280.0,,,
2003-05-01,523870.0,5158653.0,5158653.0,2543.0,26222.0,26222.0,,,
2003-06-01,429771.0,4313989.0,4313989.0,1615.0,16559.0,16559.0,,,
2003-07-01,636997.0,6284304.0,6284304.0,360.0,3654.0,3654.0,,,
2003-08-01,568679.0,5599735.0,5599735.0,557.0,5603.0,5603.0,,,
2003-09-01,438192.0,4278052.0,4278052.0,2527.0,25195.0,25195.0,,,
2003-10-01,446495.0,4290789.0,4290789.0,2027.0,19726.0,19726.0,,,
2003-11-01,661479.0,5299074.0,5299074.0,380.0,3109.0,3109.0,,,
2003-12-01,676725.0,6532763.0,6532763.0,734.0,7262.0,7262.0,,,
2004-01-01,712869.0,6876480.0,6876480.0,229.0,2274.0,2274.0,,,
2004-02-01,695787.0,6699631.0,6699631.0,82.0,806.0,806.0,,,
2004-03-01,390651.0,3827738.0,3827738.0,2083.0,20845.0,20845.0,,,
2004-04-01,582820.0,5599716.0,5599716.0,680.0,6647.0,6647.0,,,
2004-05-01,626052.0,6044918.0,6044918.0,109.0,1079.0,1079.0,,,
2004-06-01,534406.0,5190672.0,5190672.0,1203.0,12035.0,12035.0,,,
2004-07-01,590412.0,5712024.0,5712024.0,1289.0,12946.0,12946.0,,,
2004-08-01,567603.0,5421683.0,5421683.0,371.0,3695.0,3695.0,,,
2004-09-01,500359.0,4704794.0,4704794.0,1451.0,14349.0,14349.0,,,
2004-10-01,422244.0,4110308.0,4110308.0,3167.0,32016.0,32016.0,,,
2004-11-01,380063.0,3663534.0,3663534.0,1684.0,16855.0,16855.0,,,
2004-12-01,533333.0,5208004.0,5208004.0,1562.0,15909.0,15909.0,,,
2005-01-01,509505.0,4936215.2,4936215.2,1783.0,17939.4,17939.4,,,
2005-02-01,624446.0,5979672.0,5979672.0,148.0,1461.6,1461.6,,,
2005-03-01,690549.0,6613775.3,6613775.3,129.0,1281.8,1281.8,,,
2005-04-01,599424.0,5595384.0,5595384.0,894.0,8589.8,8589.8,,,
2005-05-01,501411.0,4779825.3,4779825.3,37.0,359.6,359.6,,,
2005-06-01,589768.0,5795230.6,5795230.6,726.0,7313.8,7313.8,,,
2005-07-01,661771.0,6398988.2,6398988.2,933.0,9210.4,9210.4,,,
2005-08-01,616015.0,5983186.5,5983186.5,921.0,9169.8,9169.8,,,
2005-09-01,633080.0,6075603.6,6075603.6,63.0,614.8,614.8,,,
2005-10-01,664186.0,6320875.7,6320875.7,165.0,1606.6,1606.6,,,
2005-11-01,566211.0,5405602.4,5405602.4,863.0,8410.0,8410.0,,,
2005-12-01,682262.0,6573591.2,6573591.2,334.0,3282.8,3282.8,,,
2006-01-01,653121.0,6306798.0,6306798.0,298.0,2923.0,2923.0,,,
2006-02-01,616070.0,5922807.0,5922807.0,357.0,3474.0,3474.0,,,
2006-03-01,677354.0,6564565.0,6564565.0,277.0,2743.0,2743.0,,,
2006-04-01,514473.0,5006019.0,5006019.0,4073.0,40304.0,40304.0,,,
2006-05-01,258210.0,2663992.0,2663992.0,4250.0,44411.0,44411.0,,,
2006-06-01,616617.0,5978359.0,5978359.0,927.0,8983.0,8983.0,,,
2006-07-01,645792.0,6284562.0,6284562.0,1244.0,12050.0,12050.0,,,
2006-08-01,620717.0,6000423.0,6000423.0,1511.0,14603.0,14603.0,,,
2006-09-01,605640.0,5850583.0,5850583.0,429.0,4121.0,4121.0,,,
2006-10-01,659045.0,6271684.0,6271684.0,343.0,3318.0,3318.0,,,
2006-11-01,654238.0,6277359.0,6277359.0,1438.0,14088.0,14088.0,,,
2006-12-01,634834.0,6151508.0,6151508.0,247.0,2424.0,2424.0,,,
2007-01-01,663195.77,6448274.0,6448274.0,372.23,3619.0,3619.0,,,
2007-02-01,567892.387,5646967.0,5646967.0,1562.613,15538.0,15538.0,,,
2007-03-01,701097.274,6730049.0,6730049.0,247.726,2378.0,2378.0,,,
2007-04-01,537328.801,4977371.0,4977371.0,661.1990000000001,6125.0,6125.0,,,
2007-05-01,429125.097,4362042.0,4362042.0,1906.903,19384.0,19384.0,,,
2007-06-01,624283.982,5950718.0,5950718.0,1136.018,10829.0,10829.0,,,
2007-07-01,622938.757,6024528.0,6024528.0,771.243,7459.0,7459.0,,,
2007-08-01,735777.299,7065377.0,7065377.0,105.70100000000001,1015.0,1015.0,,,
2007-09-01,645889.658,6167180.0,6167180.0,191.342,1827.0,1827.0,,,
2007-10-01,637810.353,6194354.0,6194354.0,1656.6470000000002,16089.0,16089.0,,,
2007-11-01,677073.757,6604742.0,6604742.0,916.243,8938.0,8938.0,,,
2007-12-01,680126.121,6604478.0,6604478.0,597.879,5806.0,5806.0,,,
2008-01-01,717558.268,6947710.0,6947710.0,72.732,704.0,704.0,,,
2008-02-01,502048.341,4938132.0,4938132.0,2381.659,23426.0,23426.0,,,
2008-03-01,749098.609,7175781.0,7175781.0,36.391,349.0,349.0,,,
2008-04-01,600287.285,5677567.0,5677567.0,116.715,1104.0,1104.0,,,
2008-05-01,112669.345,1232846.0,1232846.0,422.65500000000003,4625.0,4625.0,,,
2008-06-01,405125.293,4137260.0,4137260.0,7374.707,75313.0,75313.0,,,
2008-07-01,609289.581,5944952.0,5944952.0,1189.419,11605.0,11605.0,,,
2008-08-01,458010.321,4538973.0,4538973.0,1731.679,17161.0,17161.0,,,
2008-09-01,564351.395,5334983.0,5334983.0,797.605,7540.0,7540.0,,,
2008-10-01,431773.654,4266453.0,4266453.0,768.346,7592.0,7592.0,,,
2008-11-01,382817.861,3754471.0,3754471.0,755.139,7406.0,7406.0,,,
2008-12-01,471051.058,4710892.0,4710892.0,1453.942,14541.0,14541.0,,,
2009-01-01,627888.809,6187849.0,6187849.0,518.191,5107.0,5107.0,,,
2009-02-01,533421.419,5285818.0,5285818.0,1766.5810000000001,17506.0,17506.0,,,
2009-03-01,611564.352,6146061.0,6146061.0,629.648,6328.0,6328.0,,,
2009-04-01,592559.662,5601575.0,5601575.0,645.3380000000001,6101.0,6101.0,,,
2009-05-01,415405.546,3953607.0,3953607.0,4241.454000000001,40368.0,40368.0,,,
2009-06-01,501177.566,4990138.0,4990138.0,749.4340000000001,7462.0,7462.0,,,
2009-07-01,321593.537,3208641.0,3208641.0,2655.463,26494.0,26494.0,,,
2009-08-01,541556.016,5152041.0,5152041.0,450.98400000000004,4290.0,4290.0,,,
2009-09-01,333770.265,3205309.0,3205309.0,2054.735,19732.0,19732.0,,,
2009-10-01,564231.644,5404900.0,5404900.0,430.356,4122.0,4122.0,,,
2009-11-01,591231.381,5146986.0,5146986.0,743.619,6474.0,6474.0,,,
2009-12-01,610721.842,6165955.0,6165955.0,2157.158,21779.0,21779.0,,,
2010-01-01,726548.544,6858861.0,6858861.0,212.45600000000002,2006.0,2006.0,,,
2010-02-01,663655.179,6309204.0,6309204.0,211.821,2014.0,2014.0,,,
