measured_on,"Other Biomass Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Other Biomass Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Other Biomass Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2012-03-01,796.907,7568.0,7568.0
2012-04-01,883.864,8394.0,8394.0
2012-05-01,910.147,8643.0,8643.0
2012-06-01,901.548,8562.0,8562.0
2012-07-01,1039.496,9872.0,9872.0
2012-08-01,1027.684,9760.0,9760.0
2012-09-01,892.676,8478.0,8478.0
2012-10-01,1032.4,9805.0,9805.0
2012-11-01,812.866,7720.0,7720.0
2012-12-01,847.412,8048.0,8048.0
2013-01-01,754.974,8560.0,8560.0
2013-02-01,692.242,7849.0,7849.0
2013-03-01,978.764,11098.0,11098.0
2013-04-01,1059.59,12014.0,12014.0
2013-05-01,1061.505,12037.0,12037.0
2013-06-01,1035.152,11737.0,11737.0
2013-07-01,820.673,9306.0,9306.0
2013-08-01,933.683,10587.0,10587.0
2013-09-01,1006.773,11416.0,11416.0
2013-10-01,971.844,11020.0,11020.0
2013-11-01,863.959,9797.0,9797.0
2013-12-01,902.841,10237.0,10237.0
2014-01-01,908.996,11803.0,11803.0
2014-02-01,752.401,9770.0,9770.0
2014-03-01,799.305,10379.0,10379.0
2014-04-01,909.243,11806.0,11806.0
2014-05-01,919.064,11933.0,11933.0
2014-06-01,1073.559,13939.0,13939.0
2014-07-01,1028.866,13360.0,13360.0
2014-08-01,969.604,12590.0,12590.0
2014-09-01,989.141,12843.0,12843.0
2014-10-01,974.792,12657.0,12657.0
2014-11-01,828.599,10759.0,10759.0
2014-12-01,825.43,10718.0,10718.0
2015-01-01,758.089,9629.0,9629.0
2015-02-01,639.28,8120.0,8120.0
2015-03-01,778.226,9885.0,9885.0
2015-04-01,865.378,10992.0,10992.0
2015-05-01,930.52,11819.0,11819.0
2015-06-01,856.446,10878.0,10878.0
2015-07-01,976.58,12404.0,12404.0
2015-08-01,883.118,11218.0,11218.0
2015-09-01,960.713,12203.0,12203.0
2015-10-01,893.373,11348.0,11348.0
2015-11-01,847.068,10759.0,10759.0
2015-12-01,806.209,10240.0,10240.0
2016-01-01,925.228,10345.0,10345.0
2016-02-01,934.693,10450.0,10450.0
2016-03-01,1002.927,11213.0,11213.0
2016-04-01,987.964,11046.0,11046.0
2016-05-01,1046.738,11703.0,11703.0
2016-06-01,884.265,9887.0,9887.0
2016-07-01,992.998,11102.0,11102.0
2016-08-01,916.042,10242.0,10242.0
2016-09-01,852.981,9537.0,9537.0
2016-10-01,809.642,9052.0,9052.0
2016-11-01,934.182,10444.0,10444.0
2016-12-01,939.34,10502.0,10502.0
2017-01-01,840.698,9683.0,9683.0
2017-02-01,759.205,8744.0,8744.0
2017-03-01,827.842,9535.0,9535.0
2017-04-01,788.439,9081.0,9081.0
2017-05-01,850.333,9794.0,9794.0
2017-06-01,781.526,9001.0,9001.0
2017-07-01,751.285,8653.0,8653.0
2017-08-01,756.118,8709.0,8709.0
2017-09-01,720.982,8304.0,8304.0
2017-10-01,777.369,8953.0,8953.0
2017-11-01,746.515,8598.0,8598.0
2017-12-01,805.688,9280.0,9280.0
2018-01-01,696.306,7461.0,7461.0
2018-02-01,613.723,6576.0,6576.0
2018-03-01,660.878,7082.0,7082.0
2018-04-01,657.834,7049.0,7049.0
2018-05-01,691.259,7407.0,7407.0
