measured_on,Natural Gas - Fuel Cell - Natural Gas - Generation,Natural Gas - Fuel Cell - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Fuel Cell - Natural Gas - Total Fuel Consumed,Other Biomass Gas - Fuel Cell - Other Renewables - Generation,Other Biomass Gas - Fuel Cell - Other Renewables - Quantity Consumed For Electricity,Other Biomass Gas - Fuel Cell - Other Renewables - Total Fuel Consumed
2012-10-01,129.671,784.0,784.0,326.619,1975.0,1975.0
2012-11-01,111.96,677.0,677.0,357.187,2160.0,2160.0
2012-12-01,105.619,639.0,639.0,357.944,2165.0,2165.0
2013-01-01,163.681,1098.0,1098.0,494.229,3320.0,3320.0
2013-02-01,150.777,1012.0,1012.0,445.246,2989.0,2989.0
2013-03-01,145.415,976.0,976.0,478.336,3211.0,3211.0
2013-04-01,125.131,840.0,840.0,434.132,2914.0,2914.0
2013-05-01,132.148,887.0,887.0,481.547,3233.0,3233.0
2013-06-01,156.34,1050.0,1050.0,468.939,3148.0,3148.0
2013-07-01,198.378,1332.0,1332.0,482.252,3237.0,3237.0
2013-08-01,202.318,1359.0,1359.0,532.853,3577.0,3577.0
2013-09-01,201.812,1354.0,1354.0,486.07,3263.0,3263.0
2013-10-01,175.108,1175.0,1175.0,530.657,3562.0,3562.0
2013-11-01,172.722,1160.0,1160.0,527.672,3542.0,3542.0
2013-12-01,201.136,1350.0,1350.0,550.921,3698.0,3698.0
2014-01-01,153.965,1184.0,1184.0,508.062,3910.0,3910.0
2014-02-01,143.777,1106.0,1106.0,443.43,3412.0,3412.0
2014-03-01,124.767,960.0,960.0,463.416,3565.0,3565.0
2014-04-01,118.636,913.0,913.0,406.969,3131.0,3131.0
2014-05-01,119.625,920.0,920.0,419.325,3226.0,3226.0
2014-06-01,117.93,908.0,908.0,444.756,3421.0,3421.0
2014-07-01,166.856,1284.0,1284.0,444.878,3422.0,3422.0
2014-08-01,172.238,1325.0,1325.0,436.036,3355.0,3355.0
2014-09-01,180.164,1386.0,1386.0,439.501,3381.0,3381.0
2014-10-01,177.73,1368.0,1368.0,441.707,3399.0,3399.0
2014-11-01,128.445,988.0,988.0,379.267,2918.0,2918.0
2014-12-01,139.719,1075.0,1075.0,404.341,3111.0,3111.0
2015-01-01,250.674,1881.0,1881.0,90.14,676.0,676.0
2015-02-01,185.617,1391.0,1391.0,83.849,629.0,629.0
2015-03-01,217.456,1630.0,1630.0,87.39,655.0,655.0
2015-04-01,208.675,1564.0,1564.0,77.167,578.0,578.0
2015-05-01,203.722,1527.0,1527.0,84.283,632.0,632.0
2015-06-01,286.468,2148.0,2148.0,94.726,710.0,710.0
2015-07-01,323.099,2422.0,2422.0,96.542,723.0,723.0
2015-08-01,340.81,2555.0,2555.0,92.997,698.0,698.0
2015-09-01,338.456,2537.0,2537.0,91.02,682.0,682.0
2015-10-01,326.034,2443.0,2443.0,87.633,657.0,657.0
2015-11-01,240.392,1802.0,1802.0,81.207,608.0,608.0
2015-12-01,257.132,1928.0,1928.0,92.511,693.0,693.0
2016-01-01,0.092,558.0,558.0,0.262,1579.0,1579.0
2016-02-01,0.074,444.0,444.0,0.248,1494.0,1494.0
2016-03-01,0.057,345.0,345.0,0.228,1376.0,1376.0
2016-04-01,0.055,330.0,330.0,0.225,1360.0,1360.0
2016-05-01,0.059,356.0,356.0,0.264,1594.0,1594.0
2016-06-01,0.09,542.0,542.0,0.261,1573.0,1573.0
2016-07-01,0.106,639.0,639.0,0.252,1518.0,1518.0
2016-08-01,0.117,707.0,707.0,0.244,1469.0,1469.0
2016-09-01,0.097,586.0,586.0,0.257,1552.0,1552.0
2016-10-01,0.096,578.0,578.0,0.25,1511.0,1511.0
2016-11-01,0.074,444.0,444.0,0.256,1542.0,1542.0
2016-12-01,0.083,503.0,503.0,0.253,1530.0,1530.0
2017-01-01,157.29,1073.0,1073.0,572.524,3911.0,3911.0
2017-02-01,120.056,820.0,820.0,517.933,3537.0,3537.0
2017-03-01,99.423,679.0,679.0,579.998,3961.0,3961.0
2017-04-01,88.815,607.0,607.0,521.361,3560.0,3560.0
