measured_on,"Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed"
2022-01-01,2.73,48.0,48.0
2022-02-01,2.431,42.0,42.0
2022-03-01,1.936,34.0,34.0
2022-04-01,2.018,35.0,35.0
2022-05-01,2.981,52.0,52.0
2022-06-01,3.629,64.0,64.0
2022-07-01,4.276,74.0,74.0
2022-08-01,4.298,74.0,74.0
2022-09-01,3.623,62.0,62.0
2022-10-01,2.8,49.0,49.0
2022-11-01,2.625,46.0,46.0
2022-12-01,2.913,50.0,50.0
2023-01-01,46.859,776.0,776.0
2023-02-01,44.196,732.0,732.0
2023-03-01,43.618,722.0,722.0
2023-04-01,42.126,697.0,697.0
2023-05-01,60.142,996.0,996.0
2023-06-01,69.475,1151.0,1151.0
2023-07-01,76.193,1261.0,1261.0
2023-08-01,83.863,1388.0,1388.0
2023-09-01,70.65,1170.0,1170.0
2023-10-01,52.15,864.0,864.0
2023-11-01,48.351,800.0,800.0
2023-12-01,51.377,851.0,851.0
2024-01-01,4.147,72.0,72.0
2024-02-01,2.863,49.0,49.0
2024-03-01,3.249,56.0,56.0
2024-04-01,3.053,53.0,53.0
2024-05-01,4.079,71.0,71.0
2024-06-01,4.602,79.0,79.0
2024-07-01,4.974,86.0,86.0
2024-08-01,5.621,97.0,97.0
2024-09-01,4.664,80.0,80.0
2024-10-01,4.04,70.0,70.0
2024-11-01,3.236,56.0,56.0
2024-12-01,3.472,60.0,60.0
