measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Kerosene-Combustion (Gas) Turbine (including jet engine design) Generation,Kerosene-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Kerosene-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,-13.0,0.0,0.0,,,,,,
2003-02-01,-11.0,0.0,0.0,,,,,,
2003-03-01,-12.0,0.0,0.0,,,,,,
2003-04-01,-12.0,0.0,0.0,,,,,,
2003-05-01,137.0,2815.0,2815.0,,,,,,
2003-06-01,144.0,2990.0,2990.0,,,,,,
2003-07-01,-13.0,0.0,0.0,,,,,,
2003-08-01,79.0,1546.0,1546.0,,,,,,
2003-09-01,42.0,526.0,526.0,,,,,,
2003-10-01,-12.0,0.0,0.0,,,,,,
2003-11-01,-12.0,0.0,0.0,,,,,,
2003-12-01,-12.0,0.0,0.0,,,,,,
2004-01-01,141.094,2142.0,2142.0,,,,0.0,0.0,0.0
2004-02-01,39.289,596.0,596.0,,,,0.0,0.0,0.0
2004-03-01,64.662,981.0,981.0,,,,0.0,0.0,0.0
2004-04-01,14.459000000000001,219.0,219.0,,,,0.0,0.0,0.0
2004-05-01,42.295,642.0,642.0,,,,0.0,0.0,0.0
2004-06-01,21.833000000000002,331.0,331.0,,,,0.0,0.0,0.0
2004-07-01,25.104000000000003,381.0,381.0,,,,0.0,0.0,0.0
2004-08-01,28.948,439.0,439.0,,,,0.0,0.0,0.0
2004-09-01,18.777,285.0,285.0,,,,0.0,0.0,0.0
2004-10-01,30.033,456.0,456.0,,,,0.0,0.0,0.0
2004-11-01,12.846,195.0,195.0,,,,0.0,0.0,0.0
2004-12-01,36.659,556.0,556.0,,,,0.0,0.0,0.0
2005-01-01,,,,95.41300000000001,2146.51,2146.51,,,
2005-02-01,,,,32.781,737.47,737.47,,,
2005-03-01,,,,36.333,817.39,817.39,,,
2005-04-01,,,,44.01,990.1,990.1,,,
2005-05-01,,,,40.874,919.55,919.55,,,
2005-06-01,,,,53.051,1193.48,1193.48,,,
2005-07-01,,,,53.999,1214.82,1214.82,,,
2005-08-01,,,,63.436,1427.12,1427.12,,,
2005-09-01,,,,41.526,934.21,934.21,,,
2005-10-01,,,,46.115,1037.45,1037.45,,,
2005-11-01,,,,37.072,834.02,834.02,,,
2005-12-01,,,,78.38900000000001,1763.52,1763.52,,,
2006-01-01,,,,148.43300000000002,2659.0,2659.0,,,
2006-02-01,,,,77.67,1391.0,1391.0,,,
2006-03-01,,,,65.244,1169.0,1169.0,,,
2006-04-01,,,,124.977,2239.0,2239.0,,,
2006-05-01,,,,116.822,2093.0,2093.0,,,
2006-06-01,,,,106.183,1902.0,1902.0,,,
2006-07-01,,,,153.809,2756.0,2756.0,,,
2006-08-01,,,,149.19400000000002,2673.0,2673.0,,,
2006-09-01,,,,68.542,1228.0,1228.0,,,
2006-10-01,,,,72.403,1297.0,1297.0,,,
2006-11-01,,,,85.256,1527.0,1527.0,,,
2006-12-01,,,,94.465,1692.0,1692.0,,,
2007-01-01,,,,9.072000000000001,401.0,401.0,,,
2007-02-01,,,,15.454,678.0,678.0,,,
2007-03-01,,,,7.4590000000000005,328.0,328.0,,,
2007-04-01,,,,5.386,237.0,237.0,,,
2007-05-01,,,,2.694,119.0,119.0,,,
2007-06-01,,,,3.59,158.0,158.0,,,
2007-07-01,,,,3.657,158.0,158.0,,,
2007-08-01,,,,3.688,164.0,164.0,,,
2007-09-01,,,,2.471,107.0,107.0,,,
2007-10-01,,,,1.407,62.0,62.0,,,
2007-11-01,,,,0.859,40.0,40.0,,,
2007-12-01,,,,3.2630000000000003,141.0,141.0,,,
2008-01-01,,,,44.618,753.0,753.0,,,
2008-02-01,,,,28.519000000000002,485.0,485.0,,,
2008-03-01,,,,8.872,153.0,153.0,,,
2008-04-01,,,,3.765,65.0,65.0,,,
2008-05-01,,,,5.3260000000000005,93.0,93.0,,,
2008-06-01,,,,37.795,643.0,643.0,,,
2008-07-01,,,,45.961000000000006,780.0,780.0,,,
2008-08-01,,,,17.378,294.0,294.0,,,
2008-09-01,,,,11.934000000000001,202.0,202.0,,,
2008-10-01,,,,4.405,76.0,76.0,,,
2008-11-01,,,,31.325000000000003,534.0,534.0,,,
2008-12-01,,,,88.102,1500.0,1500.0,,,
2009-01-01,,,,130.87300000000002,1531.0,1531.0,,,
2009-02-01,,,,21.037000000000003,246.0,246.0,,,
2009-03-01,,,,13.422,156.0,156.0,,,
2009-04-01,,,,3.902,45.0,45.0,,,
2009-05-01,,,,3.214,39.0,39.0,,,
2009-06-01,,,,9.888,117.0,117.0,,,
2009-07-01,,,,13.947000000000001,162.0,162.0,,,
2009-08-01,,,,23.083000000000002,268.0,268.0,,,
2009-09-01,,,,4.562,56.0,56.0,,,
2009-10-01,,,,2.146,28.0,28.0,,,
2009-11-01,,,,1.881,22.0,22.0,,,
2009-12-01,,,,15.045,179.0,179.0,,,
2010-01-01,,,,25.563000000000002,542.0,542.0,,,
2010-02-01,,,,7.109,151.0,151.0,,,
2010-03-01,,,,4.601,101.0,101.0,,,
2010-04-01,,,,4.3260000000000005,95.0,95.0,,,
2010-05-01,,,,5.933000000000001,129.0,129.0,,,
2010-06-01,,,,21.982,470.0,470.0,,,
2010-07-01,,,,43.52,934.0,934.0,,,
2010-08-01,,,,23.717000000000002,509.0,509.0,,,
2010-09-01,,,,10.836,235.0,235.0,,,
2010-10-01,,,,2.541,56.0,56.0,,,
2010-11-01,,,,2.555,56.0,56.0,,,
2010-12-01,,,,15.317,330.0,330.0,,,
2011-01-01,,,,90.681,1521.0,1521.0,,,
2011-02-01,,,,22.613,376.0,376.0,,,
2011-03-01,,,,16.387,275.0,275.0,,,
2011-04-01,,,,9.485,157.0,157.0,,,
2011-05-01,,,,15.218,252.0,252.0,,,
