measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Other Gases - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Generation","Other Gases - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Quantity Consumed For Electricity","Other Gases - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Total Fuel Consumed"
2009-01-01,12835.0,145977.0,1428975.0,,,,,,
2009-02-01,22849.0,259869.0,1449710.0,,,,,,
2009-03-01,20679.0,235189.0,1971275.0,,,,,,
2009-04-01,25202.0,286631.0,1624435.0,,,,,,
2009-05-01,25508.0,290111.0,1586300.0,,,,,,
2009-06-01,27698.0,315019.0,1526850.0,,,,,,
2009-07-01,30151.0,342917.0,1766390.0,,,,,,
2009-08-01,28905.0,328746.0,1782920.0,,,,,,
2009-09-01,29620.0,336878.0,2242715.0,,,,,,
2009-10-01,15860.0,180381.0,1608050.0,,,,,,
2009-11-01,29182.0,331897.0,1905155.0,,,,,,
2009-12-01,28757.0,327063.0,2007380.0,,,,,,
2010-01-01,27132.0,308581.0,1769290.0,,,,,,
2010-02-01,27288.0,310356.0,1704040.0,,,,,,
2010-03-01,29473.0,335206.0,1941550.0,,,,,,
2010-04-01,26069.0,296491.0,1906605.0,,,,,,
2010-05-01,31203.0,354882.0,1905445.0,,,,,,
2010-06-01,32708.0,371999.0,1864990.0,,,,,,
2010-07-01,32702.0,371931.0,2014630.0,,,,,,
2010-08-01,33505.0,381064.0,1926035.0,,,,,,
2010-09-01,21780.0,247711.0,1913565.0,,,,,,
2010-10-01,36060.0,410122.0,2093075.0,,,,,,
2010-11-01,33554.0,381621.0,1972435.0,,,,,,
2010-12-01,32996.0,375275.0,1888480.0,,,,,,
2011-01-01,29956.0,340700.0,1870790.0,,,,,,
2011-02-01,28813.0,327700.0,1880360.0,,,,,,
2011-03-01,29250.0,332670.0,2104820.0,,,,,,
2011-04-01,27790.0,316065.0,1912376.0,,,,,,
2011-05-01,25854.0,294046.0,2090610.0,,,,,,
2011-06-01,28216.0,320910.0,1962430.0,,,,,,
2011-07-01,31624.0,359670.0,2188630.0,,,,,,
2011-08-01,30117.0,342531.0,1868760.0,,,,,,
2011-09-01,30149.0,342895.0,2155280.0,,,,,,
2011-10-01,31420.0,357350.0,1832945.0,,,,,,
2011-11-01,27522.0,313017.0,2128600.0,,,,,,
2011-12-01,30321.0,344851.0,2413525.0,,,,,,
2012-01-01,0.0,0.0,0.0,,,,29956.0,340700.0,534566.0
2012-02-01,0.0,0.0,0.0,,,,27859.0,316850.0,506080.0
2012-03-01,0.0,0.0,0.0,,,,26677.0,303406.0,507522.0
2012-04-01,0.0,0.0,0.0,,,,28051.0,319033.0,494521.0
2012-05-01,0.0,0.0,0.0,,,,26561.0,302087.0,507967.0
2012-06-01,0.0,0.0,0.0,,,,30225.0,343793.0,500708.0
2012-07-01,0.0,0.0,0.0,,,,29624.0,336924.0,517724.0
2012-08-01,0.0,0.0,0.0,,,,30051.0,341780.0,507224.0
2012-09-01,0.0,0.0,0.0,,,,13326.0,151561.0,488938.0
2012-10-01,0.0,0.0,0.0,,,,19430.0,220984.0,488834.0
2012-11-01,0.0,0.0,0.0,,,,27733.0,315417.0,475758.0
2012-12-01,0.0,0.0,0.0,,,,29624.0,336924.0,535558.0
2013-01-01,0.0,0.0,0.0,364.687,4148.0,6482.0,30264.313,344206.0,537955.0
2013-02-01,0.0,0.0,0.0,230.827,2625.0,4305.0,27349.173,311051.0,510048.0
2013-03-01,0.0,0.0,0.0,119.225,1356.0,2131.0,30256.775,344120.0,540853.0
2013-04-01,0.0,0.0,0.0,186.369,2120.0,2675.0,29878.631,339820.0,428886.0
2013-05-01,0.0,0.0,0.0,188.859,2148.0,3460.0,29328.141,333559.0,537309.0
2013-06-01,0.0,0.0,0.0,158.782,1806.0,2723.0,30149.218,342897.0,517078.0
2013-07-01,0.0,0.0,0.0,354.831,4036.0,5651.0,30288.169,344477.0,482383.0
2013-08-01,0.0,0.0,0.0,155.901,1773.0,2723.0,30381.099,345534.0,530680.0
2013-09-01,0.0,0.0,0.0,181.289,2062.0,3071.0,30475.711,346610.0,516286.0
2013-10-01,0.0,0.0,0.0,160.053,1820.0,2703.0,31660.947,360091.0,534735.0
2013-11-01,0.0,0.0,0.0,297.001,3378.0,4995.0,30956.999,352084.0,520660.0
2013-12-01,0.0,0.0,0.0,854.291,9716.0,14923.0,30248.709,344029.0,528400.0
2014-01-01,0.0,0.0,0.0,2423.149,27559.0,42515.0,29769.851,338582.0,522325.0
2014-02-01,0.0,0.0,0.0,1386.773,15772.0,24472.0,28105.227,319650.0,495965.0
2014-03-01,0.0,0.0,0.0,1423.986,16195.0,23849.0,31613.014,359545.0,529449.0
2014-04-01,0.0,0.0,0.0,955.207,10864.0,16074.0,31135.793,354118.0,523954.0
2014-05-01,0.0,0.0,0.0,1367.798,15556.0,33821.0,21040.202,239297.0,520251.0
2014-06-01,0.0,0.0,0.0,784.57,8923.0,14583.0,27877.43,317059.0,518153.0
2014-07-01,0.0,0.0,0.0,570.311,6486.0,9468.0,32475.689,369357.0,539161.0
2014-08-01,0.0,0.0,0.0,771.292,8772.0,12893.0,32584.708,370597.0,544675.0
2014-09-01,0.0,0.0,0.0,841.952,9576.0,22117.0,19499.048,221769.0,512213.0
2014-10-01,0.0,0.0,0.0,1444.629,16430.0,26975.0,29134.371,331355.0,544019.0
2014-11-01,0.0,0.0,0.0,2152.856,24485.0,38739.0,28858.144,328213.0,519275.0
2014-12-01,0.0,0.0,0.0,2074.232,23591.0,37257.0,30350.768,345189.0,545153.0
2015-01-01,0.0,0.0,0.0,1522.526,17316.0,25353.0,30537.474,347313.0,508517.0
2015-02-01,0.0,0.0,0.0,1724.461,19613.0,31467.0,26928.539,306267.0,491369.0
2015-03-01,0.0,0.0,0.0,2867.31,32002.0,32002.0,28535.69,318487.0,318487.0
2015-04-01,0.0,0.0,0.0,1417.308,16120.0,25302.0,28575.692,325001.0,510137.0
2015-05-01,0.0,0.0,0.0,668.931,7608.0,11974.0,29840.069,339381.0,534132.0
2015-06-01,0.0,0.0,0.0,357.681,4068.0,6669.0,27437.319,312054.0,511591.0
2015-07-01,0.0,0.0,0.0,768.771,8743.0,13869.0,28695.229,326360.0,517674.0
2015-08-01,0.0,0.0,0.0,663.578,7547.0,11824.0,29552.422,336110.0,526599.0
2015-09-01,0.0,0.0,0.0,586.245,6668.0,10352.0,28528.755,324467.0,503740.0
2015-10-01,0.0,0.0,0.0,707.905,8051.0,12458.0,29777.095,338665.0,524023.0
2015-11-01,0.0,0.0,0.0,1046.902,11907.0,18715.0,28438.098,323436.0,508378.0
2015-12-01,0.0,0.0,0.0,1470.244,16722.0,27367.0,27841.756,316654.0,518246.0
2016-01-01,0.0,0.0,0.0,7404.834,33244.0,182926.0,20850.166,93606.0,515073.0
2016-02-01,0.0,0.0,0.0,7196.672,32309.0,174543.0,19953.328,89580.0,483934.0
2016-03-01,0.0,0.0,0.0,6425.693,28848.0,147908.0,21921.307,98415.0,504590.0
2016-04-01,0.0,0.0,0.0,5426.807,24364.0,118493.0,21813.193,97930.0,476285.0
2016-05-01,0.0,0.0,0.0,5342.578,23985.0,113650.0,22820.422,102452.0,485448.0
2016-06-01,0.0,0.0,0.0,5471.263,24563.0,123884.0,21299.737,95625.0,482284.0
2016-07-01,0.0,0.0,0.0,4603.227,20666.0,101851.0,23102.773,103719.0,511172.0
2016-08-01,0.0,0.0,0.0,4703.765,21117.0,101625.0,23620.235,106042.0,510318.0
2016-09-01,0.0,0.0,0.0,1900.474,8532.0,121253.0,7516.526,33745.0,479564.0
2016-10-01,0.0,0.0,0.0,288.101,1293.0,140049.0,1032.899,4637.0,502102.0
2016-11-01,0.0,0.0,0.0,0.0,0.0,116477.0,0.0,0.0,491680.0
2016-12-01,0.0,0.0,0.0,0.0,0.0,171881.0,0.0,0.0,489505.0
2017-01-01,0.0,0.0,0.0,1322.945,5939.0,39609.0,16604.055,74543.0,497123.0
2017-02-01,0.0,0.0,0.0,715.856,3214.0,39665.0,8526.144,38278.0,472428.0
2017-03-01,0.0,0.0,0.0,2046.462,9188.0,43518.0,23746.538,106609.0,504968.0
2017-04-01,0.0,0.0,0.0,1784.969,8014.0,33596.0,25281.031,113499.0,475835.0
2017-05-01,0.0,0.0,0.0,1816.715,8156.0,42174.0,20564.285,92323.0,477385.0
2017-06-01,0.0,0.0,0.0,2331.713,10468.0,42179.0,24605.287,110465.0,445090.0
2017-07-01,0.0,0.0,0.0,2391.937,10739.0,45257.0,25781.063,115743.0,487793.0
2017-08-01,0.0,0.0,0.0,2179.382,9784.0,38624.0,27443.618,123207.0,486365.0
2017-09-01,0.0,0.0,0.0,1709.16,7673.0,31534.0,26631.84,119563.0,491359.0
2017-10-01,0.0,0.0,0.0,1838.511,8254.0,34622.0,27042.489,121407.0,509257.0
2017-11-01,0.0,0.0,0.0,1849.309,8302.0,35192.0,26013.691,116788.0,495033.0
2017-12-01,0.0,0.0,0.0,3156.59,14171.0,60339.0,25328.41,113711.0,484159.0
2018-01-01,0.0,0.0,0.0,3728.066,16737.0,66628.0,23721.934,106499.0,423961.0
2018-02-01,0.0,0.0,0.0,1716.468,7706.0,34787.0,23737.532,106569.0,481073.0
2018-03-01,0.0,0.0,0.0,1804.381,8101.0,38234.0,24617.619,110520.0,521634.0
2018-04-01,0.0,0.0,0.0,1776.007,7973.0,34817.0,25413.993,114095.0,498223.0
2018-05-01,0.0,0.0,0.0,1250.989,5616.0,24716.0,26802.011,120327.0,529539.0
2018-06-01,0.0,0.0,0.0,110.55,496.0,23788.0,2288.45,10274.0,492423.0
2018-07-01,0.0,0.0,0.0,901.769,4048.0,23208.0,20107.231,90271.0,517484.0
2018-08-01,0.0,0.0,0.0,1051.044,4719.0,20997.0,27223.956,122221.0,543863.0
2018-09-01,0.0,0.0,0.0,931.804,4183.0,18925.0,26014.196,116790.0,528338.0
2018-10-01,0.0,0.0,0.0,837.328,3759.0,16575.0,27318.672,122646.0,540777.0
2018-11-01,0.0,0.0,0.0,1436.153,6448.0,29159.0,25732.847,115527.0,522467.0
2018-12-01,0.0,0.0,0.0,1206.827,5418.0,23901.0,27138.173,121836.0,537459.0
2019-01-01,0.0,0.0,0.0,1972.401,8855.0,39168.0,25916.599,116352.0,514647.0
2019-02-01,0.0,0.0,0.0,1500.805,6738.0,32360.0,23450.195,105279.0,505628.0
2019-03-01,0.0,0.0,0.0,1524.093,6842.0,30098.0,27006.907,121247.0,533331.0
2019-04-01,0.0,0.0,0.0,1110.737,4987.0,22141.0,26590.263,119376.0,530042.0
2019-05-01,0.0,0.0,0.0,614.408,2758.0,13400.0,24769.592,111202.0,540197.0
2019-06-01,0.0,0.0,0.0,765.852,3438.0,15513.0,25943.148,116471.0,525505.0
2019-07-01,0.0,0.0,0.0,433.384,1946.0,8629.0,27633.616,124060.0,550184.0
2019-08-01,0.0,0.0,0.0,617.35,2772.0,12363.0,27617.65,123989.0,553082.0
2019-09-01,0.0,0.0,0.0,520.415,2336.0,9762.0,28537.585,128119.0,535333.0
2019-10-01,0.0,0.0,0.0,722.211,3242.0,13682.0,29234.789,131249.0,553830.0
2019-11-01,0.0,0.0,0.0,739.081,3318.0,14415.0,27577.919,123810.0,537889.0
2019-12-01,0.0,0.0,0.0,913.285,4100.0,18807.0,27210.715,122162.0,560329.0
2020-01-01,0.0,0.0,0.0,1333.235,5986.0,27138.0,26923.765,120874.0,548027.0
2020-02-01,0.0,0.0,0.0,1434.402,6440.0,29231.0,25669.598,115243.0,523104.0
2020-03-01,0.0,0.0,0.0,1313.837,5898.0,25209.0,27526.163,123578.0,528149.0
