measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed
2001-01-01,17.882,184.0,184.0,179.773,1855.0,1855.0
2001-02-01,14.947000000000001,154.0,154.0,150.267,1550.0,1550.0
2001-03-01,13.866000000000001,143.0,143.0,139.394,1438.0,1438.0
2001-04-01,12.85,132.0,132.0,129.184,1333.0,1333.0
2001-05-01,15.389000000000001,159.0,159.0,154.708,1596.0,1596.0
2001-06-01,16.453,170.0,170.0,165.40800000000002,1707.0,1707.0
2001-07-01,18.406000000000002,190.0,190.0,185.043,1909.0,1909.0
2001-08-01,18.292,189.0,189.0,183.89,1897.0,1897.0
2001-09-01,16.733,173.0,173.0,168.22,1736.0,1736.0
2001-10-01,16.251,168.0,168.0,163.376,1686.0,1686.0
2001-11-01,13.192,136.0,136.0,132.619,1368.0,1368.0
2001-12-01,13.739,142.0,142.0,138.11700000000002,1425.0,1425.0
2002-01-01,21.635,224.0,224.0,257.836,2613.0,2613.0
2002-02-01,20.728,214.0,214.0,247.03300000000002,2504.0,2504.0
2002-03-01,19.794,205.0,205.0,235.9,2391.0,2391.0
2002-04-01,19.747,204.0,204.0,235.342,2385.0,2385.0
2002-05-01,17.162000000000003,178.0,178.0,204.529,2073.0,2073.0
2002-06-01,21.74,225.0,225.0,259.086,2626.0,2626.0
2002-07-01,25.291,262.0,262.0,301.413,3055.0,3055.0
2002-08-01,23.196,240.0,240.0,276.438,2802.0,2802.0
2002-09-01,20.755,215.0,215.0,247.354,2507.0,2507.0
2002-10-01,20.383000000000003,211.0,211.0,242.91400000000002,2462.0,2462.0
2002-11-01,21.563000000000002,223.0,223.0,256.98400000000004,2605.0,2605.0
2002-12-01,23.006,238.0,238.0,274.172,2779.0,2779.0
2003-01-01,41.523,438.0,438.0,98.522,1024.0,1024.0
2003-02-01,36.073,381.0,381.0,85.592,890.0,890.0
2003-03-01,32.333,341.0,341.0,76.718,798.0,798.0
2003-04-01,28.168000000000003,297.0,297.0,66.836,695.0,695.0
2003-05-01,31.19,329.0,329.0,74.005,770.0,770.0
