measured_on,Electricity used for energy storage Generation,Electricity used for energy storage Quantity Consumed For Electricity,Electricity used for energy storage Total Fuel Consumed,Solar Generation,Solar Quantity Consumed For Electricity,Solar Total Fuel Consumed
2021-01-01,-3.466,0.0,0.0,143.0,1265.0,1265.0
2021-02-01,-3.7,0.0,0.0,187.326,1657.0,1657.0
2021-03-01,-4.163,0.0,0.0,241.871,2139.0,2139.0
2021-04-01,-4.043,0.0,0.0,302.759,2678.0,2678.0
2021-05-01,-3.421,0.0,0.0,330.002,2919.0,2919.0
2021-06-01,-3.948,0.0,0.0,320.561,2835.0,2835.0
2021-07-01,-3.953,0.0,0.0,307.037,2715.0,2715.0
2021-08-01,-3.964,0.0,0.0,302.002,2671.0,2671.0
2021-09-01,-4.404,0.0,0.0,260.404,2303.0,2303.0
2021-10-01,-3.805,0.0,0.0,216.741,1917.0,1917.0
2021-11-01,-4.081,0.0,0.0,172.459,1525.0,1525.0
2021-12-01,-4.052,0.0,0.0,117.838,1042.0,1042.0
2022-01-01,0.0,0.0,0.0,176.455,602.0,602.0
2022-02-01,0.0,0.0,0.0,210.476,718.0,718.0
2022-03-01,0.0,0.0,0.0,279.047,952.0,952.0
2022-04-01,0.0,0.0,0.0,314.774,1074.0,1074.0
2022-05-01,0.0,0.0,0.0,368.925,1259.0,1259.0
2022-06-01,0.0,0.0,0.0,384.143,1311.0,1311.0
2022-07-01,0.0,0.0,0.0,370.5,1264.0,1264.0
2022-08-01,0.0,0.0,0.0,344.007,1174.0,1174.0
2022-09-01,0.0,0.0,0.0,290.313,991.0,991.0
2022-10-01,0.0,0.0,0.0,267.463,913.0,913.0
2022-11-01,0.0,0.0,0.0,198.278,677.0,677.0
2022-12-01,0.0,0.0,0.0,138.619,473.0,473.0
2023-01-01,9.0,0.0,0.0,157.0,536.0,536.0
2023-02-01,8.0,0.0,0.0,204.0,696.0,696.0
2023-03-01,8.0,0.0,0.0,258.0,880.0,880.0
2023-04-01,9.0,0.0,0.0,322.0,1099.0,1099.0
2023-05-01,8.0,0.0,0.0,272.0,928.0,928.0
2023-06-01,4.0,0.0,0.0,303.0,1034.0,1034.0
2023-07-01,19.0,0.0,0.0,357.0,1218.0,1218.0
2023-08-01,2.0,0.0,0.0,326.0,1112.0,1112.0
2023-09-01,18.0,0.0,0.0,224.0,764.0,764.0
2023-10-01,20.0,0.0,0.0,244.0,833.0,833.0
2023-11-01,12.0,0.0,0.0,178.0,607.0,607.0
2023-12-01,12.0,0.0,0.0,160.0,546.0,546.0
2024-01-01,-3.0,0.0,0.0,171.0,583.0,583.0
2024-02-01,-3.0,0.0,0.0,180.0,614.0,614.0
2024-03-01,0.0,0.0,0.0,278.0,949.0,949.0
2024-04-01,0.0,0.0,0.0,325.0,1109.0,1109.0
2024-05-01,0.0,0.0,0.0,326.0,1112.0,1112.0
2024-06-01,0.0,0.0,0.0,342.0,1167.0,1167.0
2024-07-01,-2.0,0.0,0.0,347.0,1184.0,1184.0
2024-08-01,-4.0,0.0,0.0,327.0,1116.0,1116.0
2024-09-01,-4.0,0.0,0.0,243.0,829.0,829.0
2024-10-01,-4.0,0.0,0.0,238.0,812.0,812.0
2024-11-01,-3.0,0.0,0.0,191.0,652.0,652.0
2024-12-01,-4.0,0.0,0.0,152.0,519.0,519.0
