measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Kerosene Generation,Kerosene Quantity Consumed For Electricity,Kerosene Total Fuel Consumed
2003-01-01,,,,2779.41,29881.0,29881.0
2003-02-01,,,,2510.097,26985.0,26985.0
2003-03-01,,,,2575.328,27687.0,27687.0
2003-04-01,,,,2324.414,24989.0,24989.0
2003-05-01,,,,2351.574,25281.0,25281.0
2003-06-01,,,,2608.32,28041.0,28041.0
2003-07-01,,,,3032.272,32599.0,32599.0
2003-08-01,,,,3078.3140000000003,33094.0,33094.0
2003-09-01,,,,2595.1440000000002,27900.0,27900.0
2003-10-01,,,,2486.8340000000003,26735.0,26735.0
2003-11-01,,,,2442.596,26260.0,26260.0
2003-12-01,,,,2756.699,29636.0,29636.0
2004-01-01,,,,23568.575,247761.0,247761.0
2004-02-01,,,,142.483,1498.0,1498.0
2004-03-01,,,,5891.369000000001,61932.0,61932.0
2004-04-01,,,,0.0,0.0,0.0
2004-05-01,,,,0.0,0.0,0.0
2004-06-01,,,,0.0,0.0,0.0
2004-07-01,,,,0.0,0.0,0.0
2004-08-01,,,,0.0,0.0,0.0
2004-09-01,,,,0.0,0.0,0.0
2004-10-01,,,,0.0,0.0,0.0
2004-11-01,,,,0.0,0.0,0.0
2004-12-01,,,,399.572,4200.0,4200.0
2005-01-01,0.0,0.0,0.0,11635.834,126064.05,126064.05
2005-02-01,0.0,0.0,0.0,2678.339,29017.46,29017.46
2005-03-01,0.0,0.0,0.0,2298.337,24900.46,24900.46
2005-04-01,0.0,0.0,0.0,2299.64,24914.59,24914.59
2005-05-01,0.0,0.0,0.0,2318.601,25120.0,25120.0
2005-06-01,0.0,0.0,0.0,2808.667,30429.44,30429.44
2005-07-01,0.0,0.0,0.0,5319.2970000000005,57629.91,57629.91
2005-08-01,0.0,0.0,0.0,4711.347000000001,51043.31,51043.31
2005-09-01,0.0,0.0,0.0,2621.503,28401.69,28401.69
2005-10-01,0.0,0.0,0.0,3675.389,39819.62,39819.62
2005-11-01,0.0,0.0,0.0,2474.859,26812.93,26812.93
2005-12-01,0.0,0.0,0.0,6779.187,73446.54,73446.54
2006-01-01,0.0,0.0,0.0,4183.508,46601.0,46601.0
2006-02-01,0.0,0.0,0.0,2189.097,24385.0,24385.0
2006-03-01,0.0,0.0,0.0,1838.863,20483.0,20483.0
2006-04-01,0.0,0.0,0.0,3522.4210000000003,39237.0,39237.0
2006-05-01,0.0,0.0,0.0,3292.577,36676.0,36676.0
2006-06-01,0.0,0.0,0.0,2992.7250000000004,33336.0,33336.0
2006-07-01,0.0,0.0,0.0,4335.034000000001,48288.0,48288.0
2006-08-01,0.0,0.0,0.0,4204.9580000000005,46839.0,46839.0
2006-09-01,0.0,0.0,0.0,1931.825,21519.0,21519.0
2006-10-01,0.0,0.0,0.0,2040.632,22731.0,22731.0
2006-11-01,0.0,0.0,0.0,2402.907,26766.0,26766.0
2006-12-01,0.0,0.0,0.0,2662.453,29657.0,29657.0
2007-01-01,11428.166000000001,132951.0,132951.0,0.0,0.0,0.0
2007-02-01,19466.862,226470.0,226470.0,0.0,0.0,0.0
2007-03-01,9395.598,109307.0,109307.0,0.0,0.0,0.0
2007-04-01,6784.377,78925.0,78925.0,0.0,0.0,0.0
2007-05-01,3393.212,39475.0,39475.0,0.0,0.0,0.0
2007-06-01,4522.1630000000005,52611.0,52611.0,0.0,0.0,0.0
2007-07-01,4607.052000000001,53600.0,53600.0,0.0,0.0,0.0
2007-08-01,4645.417,54044.0,54044.0,0.0,0.0,0.0
2007-09-01,3112.717,36213.0,36213.0,0.0,0.0,0.0
