measured_on,Municiapl Landfill Gas - Combustion (Gas) Turbine (including jet engine design) - Municipal Landfill Gas - Generation,Municiapl Landfill Gas - Combustion (Gas) Turbine (including jet engine design) - Municipal Landfill Gas - Quantity Consumed For Electricity,Municiapl Landfill Gas - Combustion (Gas) Turbine (including jet engine design) - Municipal Landfill Gas - Total Fuel Consumed,Other Biomass Gas - Combustion (Gas) Turbine (including jet engine design) - Other Renewables - Generation,Other Biomass Gas - Combustion (Gas) Turbine (including jet engine design) - Other Renewables - Quantity Consumed For Electricity,Other Biomass Gas - Combustion (Gas) Turbine (including jet engine design) - Other Renewables - Total Fuel Consumed
2003-01-01,,,,7299.04,180827.0,180827.0
2003-02-01,,,,6128.92,146684.0,146684.0
2003-03-01,,,,4893.14,56379.0,56379.0
2003-04-01,,,,5322.38,62367.0,62367.0
2003-05-01,,,,5476.24,61976.0,61976.0
2003-06-01,,,,5110.7,57075.0,57075.0
2003-07-01,,,,2548.98,37794.0,37794.0
2003-08-01,,,,3557.4,46204.0,46204.0
2003-09-01,,,,5526.22,62067.0,62067.0
2003-10-01,,,,5816.3,64983.0,64983.0
2003-11-01,,,,6080.9,71165.0,71165.0
2003-12-01,,,,3113.46,34946.0,34946.0
2005-01-01,,,,915.9110000000001,21795.3,21795.3
2005-02-01,,,,817.065,19443.12,19443.12
2005-03-01,,,,933.201,22206.73,22206.73
2005-04-01,,,,931.272,22160.82,22160.82
2005-05-01,,,,1023.798,24362.61,24362.61
2005-06-01,,,,1014.288,24136.3,24136.3
2005-07-01,,,,1050.241,24991.85,24991.85
2005-08-01,,,,1045.4940000000001,24878.9,24878.9
2005-09-01,,,,984.849,23435.75,23435.75
2005-10-01,,,,994.1320000000001,23656.65,23656.65
2005-11-01,,,,1001.258,23826.25,23826.25
2005-12-01,,,,1003.4910000000001,23879.38,23879.38
2006-01-01,13.898000000000001,1506.0,1506.0,,,
2006-02-01,12.843,1391.0,1391.0,,,
2006-03-01,14.167,1535.0,1535.0,,,
2006-04-01,10.424000000000001,1129.0,1129.0,,,
2006-05-01,12.744,1381.0,1381.0,,,
2006-06-01,13.35,1446.0,1446.0,,,
2006-07-01,13.855,1501.0,1501.0,,,
2006-08-01,13.771,1492.0,1492.0,,,
2006-09-01,13.173,1427.0,1427.0,,,
2006-10-01,13.669,1481.0,1481.0,,,
2006-11-01,13.805,1496.0,1496.0,,,
2006-12-01,13.302000000000001,1441.0,1441.0,,,
