measured_on,Wood Waste Solids Generation,Wood Waste Solids Quantity Consumed For Electricity,Wood Waste Solids Total Fuel Consumed
2001-01-01,3218.6690000000003,65274.0,98922.0
2001-02-01,2802.719,56838.0,86138.0
2001-03-01,3017.6960000000004,61198.0,92745.0
2001-04-01,2968.5930000000003,60202.0,91236.0
2001-05-01,3111.772,63106.0,95636.0
2001-06-01,3063.824,62133.0,94163.0
2001-07-01,3515.547,71294.0,108046.0
2001-08-01,3637.333,73764.0,111789.0
2001-09-01,3027.089,61388.0,93034.0
2001-10-01,2860.132,58003.0,87902.0
2001-11-01,2354.417,47747.0,72360.0
2001-12-01,2537.715,51464.0,77993.0
2002-01-01,2978.8610000000003,8484.0,40408.0
2002-02-01,2598.5080000000003,7401.0,35248.0
2002-03-01,3301.308,9402.0,44782.0
2002-04-01,2662.51,7583.0,36117.0
2002-05-01,2760.654,7862.0,37448.0
2002-06-01,3583.677,10206.0,48612.0
2002-07-01,4326.942,12323.0,58694.0
2002-08-01,4119.45,11732.0,55880.0
2002-09-01,3713.782,10577.0,50377.0
2002-10-01,3147.9860000000003,8965.0,42702.0
2002-11-01,2899.7070000000003,8258.0,39334.0
2002-12-01,3179.976,9057.0,43136.0
2004-01-01,3510.1040000000003,25713.05,47144.43
2004-02-01,3111.523,22793.26,41791.05
2004-03-01,3294.4660000000003,24133.4,44248.14
2004-04-01,3059.21,22410.05,41088.42
2004-05-01,2906.676,21292.67,39039.75
2004-06-01,3465.219,25384.24,46541.52
2004-07-01,3663.491,26836.67,49204.53
2004-08-01,3619.2360000000003,26512.49,48610.17
2004-09-01,3444.9030000000002,25235.42,46268.64
2004-10-01,3471.208,25428.11,46621.98
2004-11-01,2995.27,21941.66,40229.64
2004-12-01,3438.214,25186.42,46178.82
2005-01-01,3355.0040000000004,24576.87,91035.54
2005-02-01,3019.398,22118.41,81929.16
2005-03-01,3223.25,23611.71,87460.56
2005-04-01,3174.451,23254.23,86136.3
2005-05-01,3179.3120000000004,23289.85,86268.24
2005-06-01,3292.0260000000003,24115.53,89326.62
2005-07-01,3430.9840000000004,25133.45,93097.26
2005-08-01,3388.337,24821.04,91940.04
2005-09-01,3269.641,23951.55,88719.3
2005-10-01,3337.145,24446.05,90550.98
2005-11-01,3233.512,23686.88,87739.02
2005-12-01,3292.701,24120.48,89344.98
2006-01-01,3168.838,23213.12,93173.22
2006-02-01,2745.117,20109.18,80714.52
2006-03-01,2916.905,21367.61,85765.68
2006-04-01,2915.884,21360.12,85735.62
2006-05-01,2896.295,21216.62,85159.62
2006-06-01,2972.1490000000003,21772.29,87390.0
2006-07-01,3235.262,23699.71,95126.22
2006-08-01,3172.2540000000004,23238.15,93273.66
2006-09-01,3054.264,22373.82,89804.34
2006-10-01,2912.328,21334.07,85631.04
2006-11-01,2896.5190000000002,21218.27,85166.28
2006-12-01,3105.0660000000003,22745.96,91298.16
2007-01-01,2867.388,24876.0,103986.0
2007-02-01,2471.934,21438.0,89640.0
2007-03-01,2312.321,20052.0,83844.0
2007-04-01,2191.107,19008.0,79452.0
2007-05-01,1894.432,16434.0,68688.0
2007-06-01,2762.974,23958.0,100188.0
2007-07-01,2886.842,25038.0,104688.0
2007-08-01,2871.7760000000003,24912.0,104130.0
2007-09-01,2740.047,23760.0,99360.0
2007-10-01,2754.368,23886.0,99882.0
2007-11-01,2574.5440000000003,22338.0,93366.0
2007-12-01,2391.2690000000002,20736.0,86706.0
2008-01-01,2825.237,20696.0,81396.0
2008-02-01,2662.79,19506.0,76734.0
2008-03-01,2960.445,21687.0,85302.0
2008-04-01,2578.6980000000003,18890.0,74304.0
2008-05-01,2470.047,18094.0,71172.0
2008-06-01,3081.4590000000003,22573.0,88794.0
2008-07-01,3446.0950000000003,25244.0,99306.0
2008-08-01,3438.6290000000004,25189.0,99090.0
2008-09-01,3303.0420000000004,24196.0,95184.0
2008-10-01,2811.8810000000003,20598.0,81036.0
2008-11-01,3002.4030000000002,21994.0,86526.0
2008-12-01,3324.7940000000003,24356.0,95814.0
2009-01-01,2815.14,24050.0,94608.0
2009-02-01,2557.538,21849.0,85950.0
2009-03-01,2559.9480000000003,21870.0,86040.0
2009-04-01,2335.367,19951.0,78480.0
2009-05-01,1932.2330000000002,16507.0,64944.0
2009-06-01,2666.058,22777.0,89604.0
2009-07-01,2938.6870000000004,25106.0,98766.0
2009-08-01,2892.438,24711.0,97200.0
2009-09-01,2606.217,22265.0,87588.0
2009-10-01,2403.407,20533.0,80766.0
2009-11-01,2475.493,21149.0,83196.0
2009-12-01,2771.474,23677.0,93150.0
2010-01-01,2476.096,21507.0,106524.0
2010-02-01,2371.697,20600.0,102024.0
2010-03-01,2394.358,20797.0,102996.0
2010-04-01,2014.027,17494.0,86634.0
2010-05-01,1865.479,16203.0,80244.0
2010-06-01,2566.771,22295.0,110412.0
2010-07-01,2740.444,23803.0,117882.0
2010-08-01,2726.364,23681.0,117270.0
2010-09-01,2609.577,22667.0,112248.0
2010-10-01,2355.141,20457.0,101304.0
2010-11-01,2186.813,18995.0,94068.0
2010-12-01,2300.233,19980.0,98946.0
2011-01-01,2224.738,19690.0,104328.0
2011-02-01,2027.082,17940.0,95076.0
2011-03-01,2056.994,18205.0,96480.0
2011-04-01,1731.771,15327.0,81234.0
2011-05-01,1790.573,15847.0,83988.0
2011-06-01,2253.198,19942.0,105678.0
2011-07-01,2515.045,22259.0,117972.0
2011-08-01,2398.974,21232.0,112518.0
2011-09-01,2358.851,20877.0,110646.0
