measured_on,Solar - Photovoltaic - Solar - Generation,Solar - Photovoltaic - Solar - Quantity Consumed For Electricity,Solar - Photovoltaic - Solar - Total Fuel Consumed
2021-04-01,336.779,2978.0,2978.0
2021-05-01,332.561,2941.0,2941.0
2021-06-01,380.013,3361.0,3361.0
2021-07-01,349.203,3088.0,3088.0
2021-08-01,355.5,3144.0,3144.0
2021-09-01,325.533,2879.0,2879.0
2021-10-01,204.484,1808.0,1808.0
2021-11-01,164.509,1455.0,1455.0
2021-12-01,133.418,1180.0,1180.0
2022-01-01,198.971,679.0,679.0
2022-02-01,223.582,763.0,763.0
2022-03-01,307.038,1048.0,1048.0
2022-04-01,330.917,1129.0,1129.0
2022-05-01,423.71,1446.0,1446.0
2022-06-01,495.105,1689.0,1689.0
2022-07-01,458.344,1564.0,1564.0
2022-08-01,444.504,1517.0,1517.0
2022-09-01,386.204,1318.0,1318.0
2022-10-01,343.587,1172.0,1172.0
2022-11-01,222.037,758.0,758.0
2022-12-01,125.001,427.0,427.0
2023-01-01,92.0,314.0,314.0
2023-02-01,269.0,918.0,918.0
2023-03-01,302.0,1030.0,1030.0
2023-04-01,406.0,1385.0,1385.0
2023-05-01,498.0,1699.0,1699.0
2023-06-01,491.0,1675.0,1675.0
2023-07-01,522.0,1781.0,1781.0
2023-08-01,478.0,1631.0,1631.0
2023-09-01,328.0,1119.0,1119.0
2023-10-01,261.0,891.0,891.0
2023-11-01,198.0,676.0,676.0
2023-12-01,100.0,341.0,341.0
2024-01-01,84.0,287.0,287.0
2024-02-01,300.0,1024.0,1024.0
2024-03-01,341.0,1163.0,1163.0
2024-04-01,385.0,1314.0,1314.0
2024-05-01,520.0,1774.0,1774.0
2024-06-01,478.0,1631.0,1631.0
2024-07-01,459.0,1566.0,1566.0
2024-08-01,483.0,1648.0,1648.0
2024-09-01,437.0,1491.0,1491.0
2024-10-01,365.0,1245.0,1245.0
2024-11-01,129.0,440.0,440.0
2024-12-01,119.0,406.0,406.0
