measured_on,Hydroelectric Generation,Hydroelectric Quantity Consumed For Electricity,Hydroelectric Total Fuel Consumed
2001-01-01,531.8240000000001,5495.34,5495.34
2001-02-01,561.432,5801.28,5801.28
2001-03-01,684.995,7078.05,7078.05
2001-04-01,422.85400000000004,4369.35,4369.35
2001-05-01,385.942,3987.94,3987.94
2001-06-01,496.709,5132.49,5132.49
2001-07-01,729.791,7540.93,7540.93
2001-08-01,751.089,7761.0,7761.0
2001-09-01,580.667,6000.03,6000.03
2001-10-01,793.844,8202.79,8202.79
2001-11-01,559.466,5780.96,5780.96
2001-12-01,757.3870000000001,7826.08,7826.08
2002-01-01,755.855,7689.31,7689.31
2002-02-01,609.962,6205.14,6205.14
2002-03-01,751.8480000000001,7648.55,7648.55
2002-04-01,744.635,7575.17,7575.17
2002-05-01,602.655,6130.81,6130.81
2002-06-01,608.291,6188.14,6188.14
2002-07-01,802.912,8168.02,8168.02
2002-08-01,715.7320000000001,7281.14,7281.14
2002-09-01,644.667,6558.2,6558.2
2002-10-01,679.251,6910.02,6910.02
2002-11-01,593.044,6033.04,6033.04
2002-12-01,689.149,7010.71,7010.71
2003-01-01,437.81100000000004,4483.62,4483.62
2003-02-01,419.749,4298.65,4298.65
2003-03-01,424.122,4343.43,4343.43
2003-04-01,387.732,3970.76,3970.76
2003-05-01,394.659,4041.7,4041.7
2003-06-01,412.389,4223.28,4223.28
2003-07-01,477.445,4889.51,4889.51
2003-08-01,510.9,5232.13,5232.13
2003-09-01,435.67,4461.7,4461.7
2003-10-01,424.343,4345.7,4345.7
2003-11-01,426.678,4369.61,4369.61
2003-12-01,465.50100000000003,4767.2,4767.2
2004-01-01,501.75,5028.54,5028.54
2004-02-01,501.75,5028.54,5028.54
2004-03-01,501.75,5028.54,5028.54
2004-04-01,501.75,5028.54,5028.54
2004-05-01,501.75,5028.54,5028.54
2004-06-01,501.75,5028.54,5028.54
2004-07-01,501.75,5028.54,5028.54
2004-08-01,501.75,5028.54,5028.54
2004-09-01,501.75,5028.54,5028.54
2004-10-01,501.75,5028.54,5028.54
2004-11-01,501.75,5028.54,5028.54
2004-12-01,501.75,5028.54,5028.54
2005-01-01,566.8860000000001,5668.29,5668.29
2005-02-01,494.771,4947.22,4947.22
2005-03-01,479.90700000000004,4798.59,4798.59
2005-04-01,518.274,5182.22,5182.22
2005-05-01,606.428,6063.68,6063.68
2005-06-01,558.4060000000001,5583.5,5583.5
2005-07-01,520.4,5203.48,5203.48
2005-08-01,365.603,3655.67,3655.67
2005-09-01,311.483,3114.52,3114.52
2005-10-01,361.86,3618.24,3618.24
2005-11-01,379.689,3796.51,3796.51
2005-12-01,446.293,4462.48,4462.48
2006-01-01,482.83,4789.0,4789.0
2006-02-01,435.37,4318.0,4318.0
2006-03-01,383.567,3805.0,3805.0
2006-04-01,417.50100000000003,4141.0,4141.0
2006-05-01,493.625,4896.0,4896.0
2006-06-01,485.01800000000003,4811.0,4811.0
2006-07-01,508.608,5045.0,5045.0
2006-08-01,504.93300000000005,5008.0,5008.0
2006-09-01,327.761,3251.0,3251.0
2006-10-01,288.945,2866.0,2866.0
2006-11-01,338.45,3357.0,3357.0
2006-12-01,358.392,3555.0,3555.0
2007-01-01,430.634,4256.0,4256.0
2007-02-01,366.137,3619.0,3619.0
2007-03-01,447.16200000000003,4420.0,4420.0
2007-04-01,476.446,4709.0,4709.0
2007-05-01,448.779,4436.0,4436.0
2007-06-01,380.51,3761.0,3761.0
2007-07-01,294.096,2907.0,2907.0
2007-08-01,292.119,2887.0,2887.0
2007-09-01,244.87,2420.0,2420.0
2007-10-01,420.75300000000004,4159.0,4159.0
2007-11-01,306.492,3029.0,3029.0
2007-12-01,332.00300000000004,3282.0,3282.0
2008-01-01,472.415,4655.0,4655.0
2008-02-01,228.18900000000002,2249.0,2249.0
2008-03-01,114.558,1129.0,1129.0
2008-04-01,376.279,3708.0,3708.0
2008-05-01,371.22900000000004,3658.0,3658.0
2008-06-01,473.983,4671.0,4671.0
2008-07-01,561.073,5529.0,5529.0
2008-08-01,431.642,4253.0,4253.0
2008-09-01,337.19,3323.0,3323.0
2008-10-01,313.85900000000004,3093.0,3093.0
2008-11-01,476.471,4695.0,4695.0
2008-12-01,427.112,4209.0,4209.0
2009-01-01,270.476,2640.0,2640.0
2009-02-01,184.077,1797.0,1797.0
2009-03-01,249.54700000000003,2436.0,2436.0
2009-04-01,246.905,2410.0,2410.0
2009-05-01,259.757,2535.0,2535.0
2009-06-01,317.05600000000004,3094.0,3094.0
2009-07-01,332.563,3246.0,3246.0
2009-08-01,317.552,3099.0,3099.0
2009-09-01,256.975,2508.0,2508.0
2009-10-01,309.545,3021.0,3021.0
2009-11-01,317.44800000000004,3098.0,3098.0
2009-12-01,229.09900000000002,2236.0,2236.0
2010-01-01,468.10400000000004,4567.0,4567.0
2010-02-01,360.779,3520.0,3520.0
2010-03-01,300.89500000000004,2936.0,2936.0
2010-04-01,653.639,6377.0,6377.0
2010-05-01,486.267,4744.0,4744.0
2010-06-01,665.041,6488.0,6488.0
2010-07-01,710.264,6929.0,6929.0
2010-08-01,626.578,6113.0,6113.0
2010-09-01,347.69800000000004,3392.0,3392.0
2010-10-01,530.988,5180.0,5180.0
2010-11-01,674.9440000000001,6585.0,6585.0
2010-12-01,500.803,4886.0,4886.0
2011-01-01,588.717,5720.0,5720.0
2011-02-01,410.07,3984.0,3984.0
2011-03-01,139.161,1352.0,1352.0
2011-04-01,193.072,1876.0,1876.0
2011-05-01,223.485,2171.0,2171.0
2011-06-01,747.212,7260.0,7260.0
2011-07-01,778.404,7563.0,7563.0
2011-08-01,699.787,6799.0,6799.0
2011-09-01,624.872,6071.0,6071.0
2011-10-01,635.623,6176.0,6176.0
2011-11-01,472.147,4587.0,4587.0
2011-12-01,273.45,2657.0,2657.0
2012-01-01,203.373,1935.0,1935.0
2012-02-01,364.852,3472.0,3472.0
2012-03-01,261.536,2489.0,2489.0
2012-04-01,528.016,5025.0,5025.0
2012-05-01,323.123,3075.0,3075.0
2012-06-01,410.153,3903.0,3903.0
2012-07-01,418.183,3979.0,3979.0
2012-08-01,375.911,3577.0,3577.0
2012-09-01,388.166,3694.0,3694.0
2012-10-01,423.774,4033.0,4033.0
2012-11-01,455.046,4330.0,4330.0
2012-12-01,303.867,2892.0,2892.0
2013-01-01,0.744,7.0,7.0
2013-02-01,0.71,7.0,7.0
2013-03-01,0.686,7.0,7.0
2013-04-01,0.756,7.0,7.0
2013-05-01,1.018,10.0,10.0
2013-06-01,0.987,9.0,9.0
2013-07-01,0.696,7.0,7.0
2013-08-01,1.13,11.0,11.0
2013-09-01,0.987,9.0,9.0
2013-10-01,1.04,10.0,10.0
2013-11-01,0.944,9.0,9.0
2013-12-01,0.302,3.0,3.0
2014-01-01,444.147,4224.0,4224.0
2014-02-01,333.158,3168.0,3168.0
2014-03-01,637.689,6064.0,6064.0
2014-04-01,561.993,5345.0,5345.0
2014-05-01,580.659,5522.0,5522.0
2014-06-01,730.252,6945.0,6945.0
2014-07-01,910.086,8655.0,8655.0
2014-08-01,713.861,6789.0,6789.0
