measured_on,"Geothermal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Geothermal - Generation","Geothermal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Geothermal - Quantity Consumed For Electricity","Geothermal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Geothermal - Total Fuel Consumed"
2003-01-01,58739.32,601549.38,601549.38
2003-02-01,51333.37,525705.04,525705.04
2003-03-01,52826.0,540991.07,540991.07
2003-04-01,47618.0,487655.94,487655.94
2003-05-01,55266.0,565979.11,565979.11
2003-06-01,51282.0,525178.96,525178.96
2003-07-01,51325.0,525619.33,525619.33
2003-08-01,52388.0,536505.51,536505.51
2003-09-01,51838.0,530872.96,530872.96
2003-10-01,53773.0,550689.29,550689.29
2003-11-01,54785.0,561053.19,561053.19
2003-12-01,57059.0,584341.22,584341.22
2004-01-01,55114.0,552352.51,552352.51
2004-02-01,49594.0,497031.07,497031.07
2004-03-01,49198.0,493062.36,493062.36
2004-04-01,46860.0,469630.92,469630.92
2004-05-01,52607.0,527227.35,527227.35
2004-06-01,49850.0,499596.7,499596.7
2004-07-01,51029.0,511412.64,511412.64
2004-08-01,48658.0,487650.48,487650.48
2004-09-01,48277.0,483832.09,483832.09
2004-10-01,52137.0,522517.01,522517.01
2004-11-01,51641.0,517546.1,517546.1
2004-12-01,52448.0,525633.86,525633.86
2005-01-01,51434.0,514288.57,514288.57
2005-02-01,47278.0,472732.72,472732.72
2005-03-01,51169.0,511638.83,511638.83
2005-04-01,44775.0,447705.23,447705.23
2005-05-01,48905.0,489001.1,489001.1
2005-06-01,49333.0,493280.67,493280.67
2005-07-01,49472.0,494670.53,494670.53
2005-08-01,48289.0,482841.71,482841.71
2005-09-01,48693.0,486881.31,486881.31
2005-10-01,50426.0,504209.57,504209.57
2005-11-01,49470.0,494650.53,494650.53
2005-12-01,50490.0,504849.51,504849.51
2006-01-01,51089.0,506751.79,506751.79
2006-02-01,43702.0,433480.14,433480.14
2006-03-01,47394.0,470101.09,470101.09
2006-04-01,39834.0,395113.45,395113.45
2006-05-01,43443.0,430911.12,430911.12
2006-06-01,43332.0,429810.11,429810.11
2006-07-01,47940.0,475516.86,475516.86
2006-08-01,49897.0,494928.34,494928.34
2006-09-01,48247.0,478561.99,478561.99
