measured_on,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed"
2003-01-01,4.0,46.0,46.0
2003-02-01,22.0,232.0,232.0
2003-03-01,570.0,6413.0,6413.0
2003-04-01,86.0,991.0,991.0
2003-05-01,499.0,6120.0,6120.0
2003-06-01,536.0,5472.0,5472.0
2003-07-01,740.0,8263.0,8263.0
2003-08-01,575.0,6367.0,6367.0
2003-09-01,362.0,4064.0,4064.0
2003-10-01,54.0,604.0,604.0
2003-11-01,0.0,0.0,0.0
2003-12-01,0.0,0.0,0.0
2004-01-01,1.222,14.0,14.0
2004-02-01,0.6930000000000001,8.0,8.0
2004-03-01,0.0,0.0,0.0
2004-04-01,1.42,16.0,16.0
2004-05-01,5.513,64.0,64.0
2004-06-01,86.16900000000001,997.0,997.0
2004-07-01,125.85300000000001,1455.0,1455.0
2004-08-01,1.387,16.0,16.0
2004-09-01,8.683,100.0,100.0
2004-10-01,1.3210000000000002,15.0,15.0
2004-11-01,1.8820000000000001,22.0,22.0
2004-12-01,0.8580000000000001,10.0,10.0
2005-01-01,0.0,0.0,0.0
2005-02-01,0.0,0.0,0.0
2005-03-01,0.0,0.0,0.0
2005-04-01,0.0,0.0,0.0
2005-05-01,30.0,231.2,231.2
2005-06-01,107.0,1338.64,1338.64
2005-07-01,218.0,2448.0,2448.0
2005-08-01,297.0,3450.0,3450.0
2005-09-01,63.0,756.36,756.36
2005-10-01,20.0,257.4,257.4
2005-11-01,0.0,0.0,0.0
2005-12-01,0.0,0.0,0.0
2006-01-01,25.0,264.0,264.0
2006-02-01,33.0,408.0,408.0
2006-03-01,2.0,23.0,23.0
2006-04-01,16.0,178.0,178.0
2006-05-01,10.0,126.0,126.0
2006-06-01,6.0,75.0,75.0
2006-07-01,0.0,0.0,0.0
2006-08-01,0.0,0.0,0.0
2006-09-01,0.0,0.0,0.0
2006-10-01,0.0,0.0,0.0
2006-11-01,0.0,0.0,0.0
