measured_on,"Electricity used for energy storage-Energy Storage, Battery Generation","Electricity used for energy storage-Energy Storage, Battery Quantity Consumed For Electricity","Electricity used for energy storage-Energy Storage, Battery Total Fuel Consumed",Solar-Photovoltaic Generation,Solar-Photovoltaic Quantity Consumed For Electricity,Solar-Photovoltaic Total Fuel Consumed
2021-03-01,-26.312,0.0,0.0,492.907,4359.0,4359.0
2021-04-01,-22.915,0.0,0.0,398.946,3528.0,3528.0
2021-05-01,-25.915,0.0,0.0,495.833,4385.0,4385.0
2021-06-01,-25.163,0.0,0.0,514.009,4546.0,4546.0
2021-07-01,-26.554,0.0,0.0,404.492,3577.0,3577.0
2021-08-01,-25.416,0.0,0.0,407.726,3606.0,3606.0
2021-09-01,-25.123,0.0,0.0,378.922,3351.0,3351.0
2021-10-01,-26.791,0.0,0.0,280.033,2477.0,2477.0
2021-11-01,-24.782,0.0,0.0,276.952,2449.0,2449.0
2021-12-01,-28.029,0.0,0.0,148.18,1311.0,1311.0
2022-01-01,-22.961,0.0,0.0,371.396,1267.0,1267.0
2022-02-01,-19.053,0.0,0.0,244.412,834.0,834.0
2022-03-01,-19.705,0.0,0.0,364.769,1245.0,1245.0
2022-04-01,-23.586,0.0,0.0,445.675,1521.0,1521.0
2022-05-01,-23.591,0.0,0.0,501.616,1712.0,1712.0
2022-06-01,-23.97,0.0,0.0,504.544,1722.0,1722.0
2022-07-01,-22.957,0.0,0.0,556.94,1900.0,1900.0
2022-08-01,-22.493,0.0,0.0,491.291,1676.0,1676.0
2022-09-01,-22.926,0.0,0.0,407.303,1390.0,1390.0
2022-10-01,-23.646,0.0,0.0,322.852,1102.0,1102.0
2022-11-01,-22.805,0.0,0.0,266.295,909.0,909.0
2022-12-01,-23.307,0.0,0.0,172.907,590.0,590.0
2023-01-01,-20.0,0.0,0.0,127.0,433.0,433.0
2023-02-01,-23.0,0.0,0.0,228.0,778.0,778.0
2023-03-01,-25.0,0.0,0.0,371.0,1266.0,1266.0
2023-04-01,-26.0,0.0,0.0,425.0,1450.0,1450.0
2023-05-01,-32.0,0.0,0.0,620.0,2115.0,2115.0
2023-06-01,-27.0,0.0,0.0,424.0,1447.0,1447.0
2023-07-01,-30.0,0.0,0.0,453.0,1546.0,1546.0
2023-08-01,-29.0,0.0,0.0,418.0,1426.0,1426.0
2023-09-01,-25.0,0.0,0.0,360.0,1228.0,1228.0
2023-10-01,-27.0,0.0,0.0,310.0,1058.0,1058.0
2023-11-01,-24.0,0.0,0.0,259.0,884.0,884.0
2023-12-01,-21.0,0.0,0.0,161.0,549.0,549.0
2024-01-01,-20.0,0.0,0.0,99.0,338.0,338.0
2024-02-01,-25.0,0.0,0.0,328.0,1119.0,1119.0
2024-03-01,-26.0,0.0,0.0,349.0,1191.0,1191.0
2024-04-01,-24.0,0.0,0.0,399.0,1361.0,1361.0
2024-05-01,-28.0,0.0,0.0,434.0,1481.0,1481.0
2024-06-01,-32.0,0.0,0.0,489.0,1668.0,1668.0
2024-07-01,-31.0,0.0,0.0,516.0,1761.0,1761.0
2024-08-01,-5.0,0.0,0.0,442.0,1508.0,1508.0
2024-09-01,-1.0,0.0,0.0,401.0,1368.0,1368.0
2024-10-01,-3.0,0.0,0.0,339.0,1157.0,1157.0
2024-11-01,-6.0,0.0,0.0,270.0,921.0,921.0
2024-12-01,-6.0,0.0,0.0,169.0,577.0,577.0
